 0.3396000000000000E+04, 0.4282837565000000E+05, 0.2400000000000000E-04,   95,   95,    1, 0.0000000000000000E+00, 0.0000000000000000E+00                                                                                                         
    1,    0, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00             
    1,    1, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00, 0.0000000000000000E+00             
    2,    0,-0.8750219700430002E-03, 0.0000000000000000E+00, 0.1547904495910000E-10, 0.0000000000000000E+00             
    2,    1, 0.3664518937730000E-09,-0.7287214919000001E-10, 0.8164116388449999E-11, 0.8165368442029999E-11             
    2,    2,-0.8463585721700000E-04, 0.4893449981340000E-04, 0.4652027070330001E-11, 0.5643928645470000E-11             
    3,    0,-0.1189565905240000E-04, 0.0000000000000000E+00, 0.1135895876330000E-10, 0.0000000000000000E+00             
    3,    1, 0.3804318770040000E-05, 0.2517725661910000E-04, 0.8299671470229999E-11, 0.8383074900539997E-11             
    3,    2,-0.1594795112250000E-04, 0.8361402580200000E-05, 0.7047450371320001E-11, 0.7132626905740001E-11             
    3,    3, 0.3505409391250000E-04, 0.2557437230560000E-04, 0.4949675841300001E-11, 0.5242665353120001E-11             
    4,    0, 0.5129122716550000E-05, 0.0000000000000000E+00, 0.1205459925680000E-10, 0.0000000000000000E+00             
    4,    1, 0.4216375046790000E-05, 0.3763431548440000E-05, 0.1073702600410000E-10, 0.1087525647740000E-10             
    4,    2,-0.9525402358870000E-06,-0.8980852612480000E-05, 0.8774693641880001E-11, 0.8844268052190001E-11             
    4,    3, 0.6456840382310000E-05,-0.1931964722280000E-06, 0.6227655457199999E-11, 0.6238160599990001E-11             
    4,    4, 0.3097397843780000E-06,-0.1287302821220000E-04, 0.3870127142910000E-11, 0.3689223548420000E-11             
    5,    0,-0.1727318250360000E-05, 0.0000000000000000E+00, 0.1241217995500000E-10, 0.0000000000000000E+00             
    5,    1, 0.4837413556920001E-06, 0.2123086546520000E-05, 0.1175789631960000E-10, 0.1190434698220000E-10             
    5,    2,-0.4298078482240000E-05,-0.1165946678760000E-05, 0.1027083463240000E-10, 0.1036462932170000E-10             
    5,    3, 0.3312674724160000E-05, 0.2717144482820000E-06, 0.8270462062860000E-11, 0.8263393895849999E-11             
    5,    4,-0.4640392068040001E-05,-0.3382108137740000E-05, 0.5920702513729999E-11, 0.5928356159390001E-11             
    5,    5,-0.4449820461480000E-05, 0.3779822587580000E-05, 0.3841800669050000E-11, 0.3845187798400001E-11             
    6,    0, 0.1346742212930000E-05, 0.0000000000000000E+00, 0.1341720457260000E-10, 0.0000000000000000E+00             
    6,    1, 0.1802373429570000E-05,-0.1518458023770000E-05, 0.1287424701670000E-10, 0.1301613962100000E-10             
    6,    2, 0.8616658613880000E-06, 0.1469162213200000E-05, 0.1176521164090000E-10, 0.1188521866680000E-10             
    6,    3, 0.9556190742789999E-06, 0.3330025019999999E-06, 0.1012700600200000E-10, 0.1010514695970000E-10             
    6,    4, 0.1008437994200000E-05, 0.2638791133419999E-05, 0.8143433107089997E-11, 0.8114222101279999E-11             
    6,    5, 0.1657678761770000E-05, 0.1622918356380000E-05, 0.5940848794020001E-11, 0.5924470531339999E-11             
    6,    6, 0.2762079514550000E-05, 0.8218371527099999E-06, 0.3659862077920000E-11, 0.3678103345919999E-11             
    7,    0, 0.1059540697970000E-05, 0.0000000000000000E+00, 0.1453023994820000E-10, 0.0000000000000000E+00             
    7,    1, 0.1375013495770000E-05,-0.2272903129550000E-06, 0.1417323632150000E-10, 0.1433064136650000E-10             
    7,    2, 0.2814001862030000E-05,-0.6295114547250000E-06, 0.1320577799790001E-10, 0.1335382280830000E-10             
    7,    3, 0.8804863398400000E-06,-0.3968935127720000E-06, 0.1188982544830000E-10, 0.1185816952300000E-10             
    7,    4, 0.2469006697160000E-05,-0.4221551601710000E-06, 0.1013216615480000E-10, 0.1008120782540000E-10             
    7,    5,-0.1914778452630000E-06,-0.1358573478030000E-05, 0.8156889791000001E-11, 0.8132620189250000E-11             
    7,    6,-0.5592760336840001E-06,-0.1901477170210000E-05, 0.5818338178470002E-11, 0.5805198658459999E-11             
    7,    7, 0.4407586602149999E-06,-0.1775589928770000E-05, 0.3531292199429999E-11, 0.3529592461260000E-11             
    8,    0, 0.1445586344470000E-06, 0.0000000000000000E+00, 0.1600097741720000E-10, 0.0000000000000000E+00             
    8,    1,-0.1325622862750000E-06, 0.7505248258189999E-06, 0.1555546827280000E-10, 0.1571013960540000E-10             
    8,    2, 0.1810390053690000E-05, 0.5071576088380001E-06, 0.1481691560820000E-10, 0.1500092247250000E-10             
    8,    3,-0.1206925523590000E-05,-0.1341421537240000E-05, 0.1363828315370000E-10, 0.1359482985790000E-10             
    8,    4, 0.1588273753050000E-05, 0.1483116594020000E-06, 0.1211181038640000E-10, 0.1203722805760000E-10             
    8,    5,-0.2791523600080000E-05,-0.1630173999050000E-05, 0.1029061747430000E-10, 0.1026343663840000E-10             
    8,    6,-0.9140808039710000E-06,-0.1790075835300000E-05, 0.8295556264969999E-11, 0.8275405154220000E-11             
    8,    7,-0.4739894066110001E-06, 0.1644591412660000E-05, 0.6097486807750001E-11, 0.6118466775950000E-11             
    8,    8,-0.3106060008179999E-06,-0.2503497326160000E-06, 0.3514530218950001E-11, 0.3517561953170000E-11             
    9,    0,-0.2876040203180001E-06, 0.0000000000000000E+00, 0.1746600376010000E-10, 0.0000000000000000E+00             
    9,    1, 0.4209609299110000E-06,-0.4902209075330001E-06, 0.1713367935470000E-10, 0.1729592723820000E-10             
