  25  10
  p[mbar]: 101.11 118.69 139.28 163.46 191.87 225.16 264.30 310.17 364.08 427.27
 lat[deg]
   -60.0   112.48 111.13 111.05 111.18 112.03 113.25 115.73 119.47 123.66 128.88
   -55.0   113.68 112.79 112.96 113.09 113.69 114.48 116.45 119.71 123.52 128.51
   -50.0   114.15 113.61 114.05 114.32 114.91 115.54 117.26 120.21 123.72 128.48
   -45.0   113.83 113.51 114.15 114.59 115.29 115.95 117.64 120.50 123.90 128.54
   -40.0   113.33 113.09 113.85 114.41 115.24 116.01 117.76 120.64 124.01 128.58
   -35.0   111.80 111.65 112.55 113.32 114.37 115.36 117.31 120.33 123.79 128.40
   -30.0   110.94 110.83 111.80 112.66 113.83 114.96 117.02 120.14 123.67 128.33
   -25.0   110.30 110.28 111.38 112.43 113.81 115.13 117.38 120.63 124.22 128.88
   -20.0   112.00 112.05 113.19 114.21 115.51 116.70 118.77 121.82 125.21 129.68
   -15.0   114.13 114.30 115.46 116.37 117.44 118.34 120.06 122.79 125.91 130.17
   -10.0   113.93 114.21 115.45 116.41 117.49 118.35 119.99 122.59 125.56 129.68
    -5.0   113.37 113.76 115.11 116.17 117.31 118.17 119.76 122.26 125.08 129.06
     0.0   113.36 113.72 115.00 115.96 116.98 117.72 119.22 121.67 124.54 128.63
     5.0   113.45 113.69 114.85 115.68 116.59 117.27 118.80 121.39 124.50 128.93
    10.0   112.82 113.01 114.18 115.10 116.18 117.07 118.81 121.61 124.86 129.34
    15.0   111.54 111.72 112.97 114.06 115.37 116.51 118.47 121.34 124.53 128.80
    20.0   111.23 111.40 112.66 113.77 115.10 116.23 118.12 120.85 123.83 127.88
    25.0   111.62 111.66 112.77 113.74 114.94 115.96 117.74 120.42 123.38 127.43
    30.0   112.70 112.46 113.21 113.76 114.56 115.26 116.88 119.58 122.76 127.16
    35.0   113.14 112.77 113.38 113.78 114.45 115.06 116.68 119.46 122.77 127.35
    40.0   114.10 113.58 114.01 114.23 114.73 115.22 116.77 119.57 122.96 127.65
    45.0   114.78 114.09 114.34 114.40 114.76 115.17 116.70 119.50 122.94 127.68
    50.0   115.41 114.32 114.19 113.96 114.16 114.54 116.17 119.16 122.80 127.73
    55.0   115.60 113.97 113.39 112.86 112.98 113.49 115.40 118.73 122.69 127.83
    60.0   114.77 112.80 112.03 111.49 111.77 112.54 114.76 118.35 122.48 127.69
