U.S. Standard Atmosphere (1976), calculated using epic/tools/C/us_standard_atmos_alt.c
Based on formulas from http://www.atmosculator.com/The Standard Atmosphere.html

  Z[km]  Temp[K]  Press[hPa]  Dens[kg/m^3]  Theta[K]  N2[1/s^2]  NH[m/s]
 40.000   251.05   2.775e+00     3.851e-03   1352.00  4.910e-04   162.84
 40.500   252.45   2.593e+00     3.578e-03   1386.18  4.883e-04   163.29
 41.000   253.85   2.424e+00     3.327e-03   1421.03  4.856e-04   163.74
 41.500   255.25   2.267e+00     3.094e-03   1456.55  4.830e-04   164.19
 42.000   256.65   2.120e+00     2.878e-03   1492.76  4.803e-04   164.64
 42.500   258.05   1.984e+00     2.679e-03   1529.67  4.777e-04   165.09
 43.000   259.45   1.857e+00     2.494e-03   1567.28  4.751e-04   165.54
 43.500   260.85   1.739e+00     2.323e-03   1605.61  4.726e-04   165.99
 44.000   262.25   1.629e+00     2.164e-03   1644.66  4.701e-04   166.43
 44.500   263.65   1.527e+00     2.018e-03   1684.45  4.676e-04   166.87
 45.000   265.05   1.431e+00     1.881e-03   1724.98  4.651e-04   167.32
 45.500   266.45   1.342e+00     1.755e-03   1766.27  4.627e-04   167.76
 46.000   267.85   1.259e+00     1.638e-03   1808.31  4.602e-04   168.20
 46.500   269.25   1.182e+00     1.529e-03   1851.14  4.579e-04   168.65
 47.000   270.65   1.109e+00     1.428e-03   1894.75  4.054e-04   159.51
 47.500   270.65   1.041e+00     1.340e-03   1929.27  3.540e-04   149.06
 48.000   270.65   9.775e-01     1.258e-03   1964.41  3.540e-04   149.06
 48.500   270.65   9.177e-01     1.181e-03   2000.19  3.540e-04   149.06
 49.000   270.65   8.616e-01     1.109e-03   2036.62  3.540e-04   149.06
 49.500   270.65   8.089e-01     1.041e-03   2073.71  3.540e-04   149.06
 50.000   270.65   7.594e-01     9.775e-04   2111.48  3.540e-04   149.06
 50.500   270.65   7.130e-01     9.177e-04   2149.94  3.540e-04   149.06
 51.000   270.65   6.694e-01     8.616e-04   2189.10  3.036e-04   138.04
 51.500   269.25   6.283e-01     8.130e-04   2217.55  2.539e-04   125.58
 52.000   267.85   5.896e-01     7.669e-04   2246.52  2.552e-04   125.25
 52.500   266.45   5.531e-01     7.232e-04   2276.02  2.566e-04   124.92
 53.000   265.05   5.187e-01     6.817e-04   2306.06  2.579e-04   124.59
 53.500   263.65   4.862e-01     6.425e-04   2336.67  2.593e-04   124.26
 54.000   262.25   4.556e-01     6.053e-04   2367.85  2.607e-04   123.93
 54.500   260.85   4.268e-01     5.700e-04   2399.61  2.621e-04   123.60
 55.000   259.45   3.997e-01     5.367e-04   2431.98  2.635e-04   123.27
 55.500   258.05   3.742e-01     5.051e-04   2464.96  2.649e-04   122.94
 56.000   256.65   3.501e-01     4.753e-04   2498.57  2.664e-04   122.60
 56.500   255.25   3.275e-01     4.470e-04   2532.82  2.678e-04   122.27
 57.000   253.85   3.063e-01     4.203e-04   2567.74  2.693e-04   121.93
 57.500   252.45   2.863e-01     3.951e-04   2603.34  2.708e-04   121.60
 58.000   251.05   2.675e-01     3.712e-04   2639.63  2.723e-04   121.26
 58.500   249.65   2.499e-01     3.487e-04   2676.64  2.738e-04   120.92
 59.000   248.25   2.333e-01     3.274e-04   2714.38  2.754e-04   120.58
 59.500   246.85   2.177e-01     3.073e-04   2752.86  2.769e-04   120.24
 60.000   245.45   2.031e-01     2.883e-04   2792.12  2.785e-04   119.90
 60.500   244.05   1.894e-01     2.704e-04   2832.17  2.801e-04   119.56
 61.000   242.65   1.766e-01     2.536e-04   2873.02  2.817e-04   119.21
 61.500   241.25   1.646e-01     2.376e-04   2914.71  2.834e-04   118.87
 62.000   239.85   1.533e-01     2.226e-04   2957.25  2.850e-04   118.52
 62.500   238.45   1.427e-01     2.085e-04   3000.66  2.867e-04   118.18
 63.000   237.05   1.328e-01     1.952e-04   3044.97  2.884e-04   117.83
 63.500   235.65   1.236e-01     1.827e-04   3090.21  2.901e-04   117.48
 64.000   234.25   1.149e-01     1.709e-04   3136.39  2.918e-04   117.13
 64.500   232.85   1.068e-01     1.598e-04   3183.55  2.936e-04   116.78
 65.000   231.45   9.922e-02     1.493e-04   3231.70  2.954e-04   116.43
 65.500   230.05   9.214e-02     1.395e-04   3280.89  2.972e-04   116.08
 66.000   228.65   8.553e-02     1.303e-04   3331.13  2.990e-04   115.72
 66.500   227.25   7.935e-02     1.216e-04   3382.45  3.008e-04   115.37
 67.000   225.85   7.359e-02     1.135e-04   3434.89  3.027e-04   115.01
 67.500   224.45   6.821e-02     1.059e-04   3488.48  3.046e-04   114.66
 68.000   223.05   6.320e-02     9.871e-05   3543.24  3.065e-04   114.30
 68.500   221.65   5.852e-02     9.199e-05   3599.22  3.084e-04   113.94
 69.000   220.25   5.417e-02     8.568e-05   3656.45  3.104e-04   113.58
 69.500   218.85   5.012e-02     7.978e-05   3714.96  3.124e-04   113.22
 70.000   217.45   4.634e-02     7.424e-05   3774.79  3.144e-04   112.85
 70.500   216.05   4.283e-02     6.906e-05   3835.98  3.164e-04   112.49
 71.000   214.65   3.956e-02     6.421e-05   3898.57  3.366e-04   115.28
 71.500   213.65   3.653e-02     5.957e-05   3969.94  3.567e-04   118.11
 72.000   212.65   3.372e-02     5.524e-05   4042.97  3.584e-04   117.83
 72.500   211.65   3.111e-02     5.121e-05   4117.70  3.601e-04   117.55
 73.000   210.65   2.869e-02     4.745e-05   4194.17  3.618e-04   117.27
 73.500   209.65   2.645e-02     4.395e-05   4272.43  3.635e-04   117.00
 74.000   208.65   2.438e-02     4.070e-05   4352.54  3.652e-04   116.72
 74.500   207.65   2.246e-02     3.768e-05   4434.55  3.670e-04   116.44
 75.000   206.65   2.068e-02     3.486e-05   4518.51  3.688e-04   116.16
 75.500   205.65   1.903e-02     3.224e-05   4604.48  3.706e-04   115.87
 76.000   204.65   1.751e-02     2.981e-05   4692.51  3.724e-04   115.59
 76.500   203.65   1.611e-02     2.756e-05   4782.68  3.742e-04   115.31
 77.000   202.65   1.481e-02     2.546e-05   4875.03  3.760e-04   115.03
 77.500   201.65   1.361e-02     2.351e-05   4969.63  3.779e-04   114.74
 78.000   200.65   1.250e-02     2.170e-05   5066.56  3.798e-04   114.46
 78.500   199.65   1.148e-02     2.003e-05   5165.87  3.817e-04   114.17
 79.000   198.65   1.053e-02     1.848e-05   5267.65  3.836e-04   113.89
 79.500   197.65   9.665e-03     1.704e-05   5371.95  3.856e-04   113.60
 80.000   196.65   8.863e-03     1.570e-05   5478.87  3.875e-04   113.31
 80.500   195.65   8.123e-03     1.446e-05   5588.48  3.895e-04   113.02
 81.000   194.65   7.443e-03     1.332e-05   5700.86  3.915e-04   112.73
 81.500   193.65   6.816e-03     1.226e-05   5816.10  3.935e-04   112.44
 82.000   192.65   6.239e-03     1.128e-05   5934.27  3.956e-04   112.15
 82.500   191.65   5.708e-03     1.038e-05   6055.49  3.976e-04   111.86
 83.000   190.65   5.220e-03     9.539e-06   6179.83  3.997e-04   111.57
 83.500   189.65   4.772e-03     8.766e-06   6307.41  4.018e-04   111.28
 84.000   188.65   4.360e-03     8.051e-06   6438.31  4.039e-04   110.98
 84.500   187.65   3.981e-03     7.392e-06   6572.64  4.061e-04   110.68
