 Data from HASI_L4_ATMO_PROFILE_DESCEN.TAB
 Huygens Atmospheric Structure Instrument (HASI)
 Extended below 3 m assuming a constant temperature lapse rate
 and an ideal gas, based on the two lowest-altitude measured points.
 Columns are altitude, pressure, temperature, density.

 1827

  z[m]        p[Pa]  T[K]      rho[kg/m^3]
  114233.0    632.0  152.9971  0.0142050
  113878.0    638.0  151.9753  0.0143750
  113715.0    640.0  151.7391  0.0144550
  113553.0    643.0  151.5898  0.0145480
  113391.0    646.0  151.4320  0.0146290
  113229.0    649.0  151.3423  0.0146680
  113068.0    652.0  151.2939  0.0147990
  112907.0    655.0  151.2032  0.0149630
  112747.0    658.0  151.0294  0.0150220
  112587.0    661.0  150.5789  0.0151200
  112428.0    664.0  150.0612  0.0152000
  112271.0    667.0  149.6800  0.0152710
  112114.0    669.0  149.2517  0.0153530
  111957.0    673.0  149.0536  0.0154380
  111801.0    675.0  148.9689  0.0155320
  111645.0    678.0  148.8793  0.0156460
  111490.0    681.0  148.7588  0.0157490
  111335.0    684.0  148.6157  0.0157880
  111181.0    687.0  148.3932  0.0158990
  110855.0    695.0  148.0463  0.0160710
  110689.0    698.0  147.9403  0.0161750
  110501.0    702.0  147.5250  0.0162900
  110294.0    706.0  147.3816  0.0164410
  110069.0    710.0  147.1780  0.0165790
  109828.0    715.0  146.8785  0.0166210
  109571.0    720.0  146.6547  0.0167290
  109300.0    726.0  146.4089  0.0170560
  109018.0    732.0  146.2690  0.0170620
  108726.0    738.0  146.2061  0.0171730
  108424.0    744.0  146.2265  0.0173070
  108115.0    750.0  146.2281  0.0174500
  107799.0    757.0  146.0107  0.0177310
  107477.0    764.0  145.9061  0.0177240
  107150.0    771.0  146.1475  0.0179200
  106819.0    779.0  146.1200  0.0181740
  106484.0    787.0  146.1995  0.0181350
  106147.0    794.0  146.3173  0.0183920
  105807.0    802.0  145.6353  0.0189180
  105464.0    810.0  145.0624  0.0189960
  105121.0    818.0  144.6780  0.0191930
  104777.0    826.0  144.0051  0.0194560
  104432.0    834.0  143.6693  0.0197510
  104088.0    843.0  143.3275  0.0199630
  103745.0    851.0  143.2144  0.0200810
  103402.0    860.0  143.0589  0.0204180
  103060.0    869.0  143.2078  0.0204990
  102342.0    887.0  143.2425  0.0209790
  102004.0    896.0  143.0093  0.0211580
  101667.0    905.0  142.9748  0.0213400
  101331.0    914.0  143.0917  0.0215230
  100997.0    923.0  143.2319  0.0215840
  100664.0    932.0  142.9576  0.0218360
  100333.0    941.0  142.3533  0.0222720
  100003.0    951.0  141.9533  0.0226990
   99675.0    960.0  141.6807  0.0229240
   99348.0    969.0  141.1972  0.0231140
   99023.0    979.0  141.2710  0.0233700
   98699.0    988.0  141.4031  0.0235470
   98378.0    997.0  141.3969  0.0237930
   98057.0   1007.0  141.4889  0.0241160
   97739.0   1017.0  141.5910  0.0243390
   97422.0   1026.0  141.5848  0.0245220
   97106.0   1036.0  141.0152  0.0247940
   96792.0   1046.0  140.7861  0.0251970
   96145.0   1066.0  140.6244  0.0256210
   95836.0   1076.0  140.2352  0.0259590
   95530.0   1086.0  139.8808  0.0262260
   95224.0   1096.0  139.8341  0.0265510
   94921.0   1106.0  139.3985  0.0268420
   94619.0   1116.0  139.1443  0.0270190
   94319.0   1127.0  138.9840  0.0273570
   94021.0   1137.0  138.6094  0.0278070
   93724.0   1147.0  138.1494  0.0281320
   93429.0   1157.0  137.7605  0.0283390
   93136.0   1167.0  137.6535  0.0286030
   92845.0   1178.0  137.6548  0.0288840
   92556.0   1188.0  137.4123  0.0291560
   92268.0   1199.0  137.1024  0.0294930
   91981.0   1210.0  137.1303  0.0297350
   91696.0   1220.0  137.0661  0.0301060
   91413.0   1231.0  137.2329  0.0303820
   91131.0   1242.0  137.3913  0.0304490
   90850.0   1253.0  137.3004  0.0307220
   90569.0   1265.0  136.8974  0.0311560
   90289.0   1275.0  136.8561  0.0314470
   90011.0   1286.0  136.9325  0.0316940
   89735.0   1298.0  136.7352  0.0319650
   89459.0   1310.0  136.2915  0.0324400
   89185.0   1321.0  136.0030  0.0328140
   88912.0   1331.0  135.7240  0.0330980
   88641.0   1343.0  135.6434  0.0332680
   88081.0   1366.0  135.5571  0.0338120
   87815.0   1378.0  135.1072  0.0340210
   87551.0   1390.0  134.4854  0.0348180
   87288.0   1401.0  133.6457  0.0354160
   87026.0   1412.0  132.9552  0.0357390
   86766.0   1424.0  132.9719  0.0361790
   86507.0   1435.0  132.9017  0.0364680
   86250.0   1447.0  132.6714  0.0367000
   85994.0   1459.0  132.5719  0.0371010
   85739.0   1471.0  132.4708  0.0374910
   85485.0   1483.0  132.3132  0.0377540
   85232.0   1495.0  132.1957  0.0380020
   84981.0   1507.0  132.0179  0.0382560
   84731.0   1520.0  131.5164  0.0387040
   84482.0   1532.0  131.0046  0.0393290
   84234.0   1545.0  130.5808  0.0396680
   83988.0   1557.0  130.0978  0.0402910
   83743.0   1570.0  129.8956  0.0406910
   83229.0   1596.0  129.6106  0.0413960
   82989.0   1608.0  129.0964  0.0418730
   82749.0   1621.0  128.6239  0.0425560
   82511.0   1634.0  128.3749  0.0428720
   82274.0   1647.0  128.3501  0.0431820
   82038.0   1660.0  128.0624  0.0437060
   81804.0   1673.0  127.8875  0.0441790
   81570.0   1686.0  127.7881  0.0444400
   81338.0   1700.0  127.7715  0.0449130
   81107.0   1713.0  127.6947  0.0452830
   80878.0   1726.0  127.5011  0.0456190
   80650.0   1740.0  127.2561  0.0461530
   80423.0   1753.0  126.6993  0.0466120
   80198.0   1767.0  125.9513  0.0471770
   79973.0   1781.0  125.7450  0.0477810
   79750.0   1794.0  125.2253  0.0482140
   79528.0   1808.0  125.0140  0.0487520
   79307.0   1821.0  124.9076  0.0493470
   79087.0   1835.0  124.6756  0.0497170
   78867.0   1849.0  124.4545  0.0501770
   78648.0   1863.0  124.0979  0.0506670
   78431.0   1877.0  123.7050  0.0511830
   78214.0   1891.0  123.3761  0.0518280
   77999.0   1906.0  122.9315  0.0523980
   77785.0   1921.0  122.2179  0.0532350
   77572.0   1935.0  121.3538  0.0540390
   77360.0   1949.0  120.7682  0.0546260
   76899.0   1980.0  120.4561  0.0555980
   76694.0   1994.0  120.3431  0.0560910
   76490.0   2009.0  120.2342  0.0564100
   76286.0   2024.0  120.1798  0.0569850
   76084.0   2039.0  119.6024  0.0578760
   75883.0   2054.0  118.5738  0.0587180
   75682.0   2068.0  117.9785  0.0594280
   75483.0   2083.0  117.8700  0.0598030
   75285.0   2099.0  117.9015  0.0602390
   75088.0   2114.0  117.9244  0.0606100
   74890.0   2129.0  117.8110  0.0612870
   74693.0   2145.0  117.3851  0.0619470
   74498.0   2160.0  116.8054  0.0625520
   74303.0   2176.0  116.4182  0.0631950
   74109.0   2192.0  116.1064  0.0639130
   73916.0   2208.0  115.8810  0.0645080
   73724.0   2224.0  115.6019  0.0650980
   73533.0   2239.0  115.1615  0.0657060
   73130.0   2274.0  114.8379  0.0670400
   72942.0   2290.0  114.5742  0.0678190
   72755.0   2306.0  114.1039  0.0685070
