 Titan topography, in spherical harmonics to 8th order.
 The topography units are meters.

 Corlies P, Hayes AG, Birch SPD, Lorenz R, Stiles BW, Kirk R,
   Poggiali V, Zebker H, Iess L, 2017, Titan's topography and
   shape at the end of the Cassini mission, Geophys. Res. Letts.,
   44, 11,754-11,761, doi:10.1002/2017GL075518.

 max_l
 8

 l   m   C_lm                       Error(1-sigma)
 0   0   2574761.1845318055711687   17.7290231038645025
 1   0       -10.4281054625753313   26.2860022540993441
 1   1        22.0338903676311020   21.3546203563992165
 1  -1         2.1792864847229794   28.2509374877641903
 2   0      -347.1055029915296473   23.8063952281568874
 2   1         4.9891470959410071   13.6660090233017080
 2  -1       -18.0129789401835296   26.4365645529298057
 2   2        63.0885047841002233    9.6313741257360874
 2  -2         4.4191916573181516    6.2668400753958444
 3   0       -12.5366364035871811   31.5550089952022645
 3   1        49.4080174865521258    8.2441667810110335
 3  -1        50.9231103166675894   12.2511857932736294
 3   2         5.7384150485158898    5.0234261883461597
 3  -2        -0.9182286673531053    3.6927325449660264
 3   3         5.5707328988191875    1.3466446508186536
 3  -3        -0.4333298857090995    1.4862385369300994
 4   0      -164.1296945086796768   37.5524648288110399
 4   1        -3.8203205551908468    7.2962250673762483
 4  -1       -76.1224546987796202   12.5780696970124772
 4   2        -2.7711927929340163    2.5980539533413975
 4  -2        -4.7036790557322092    2.1279178222845809
 4   3        -2.1334620255497612    0.6482420547275146
 4  -3         2.1847525720249905    0.7873243579950877
 4   4        -0.2586182538157118    0.2155749618341280
 4  -4        -1.0356080557749010    0.1681403405270704
 5   0        81.5985723303165287   29.7970189071179981
 5   1         5.6099044738366501    6.6736557389659295
 5  -1        31.9224461225385312   10.4631785294511346
 5   2         5.4780539258254066    1.4238733202130041
 5  -2         2.2709422241114225    1.5619917758495137
 5   3         0.1048587907253022    0.3272589115067778
 5  -3         0.2709315938031978    0.3346231281826382
 5   4         0.2303417194971189    0.1000774392818247
 5  -4         0.0057582689519222    0.0665745506905823
 5   5        -0.0223461082441503    0.0207264586946638
 5  -5        -0.0025606128211138    0.0227175869530386
 6   0        -1.1207112747360952   39.2978168060898057
 6   1         2.3982211913753417    5.3985075810530141
 6  -1        37.3708931496221339    9.3595561678141372
 6   2        -1.7619254755104521    1.2284462638525502
 6  -2        -0.6647876035003719    1.0173897796947748
 6   3        -0.1289540412852830    0.1877522766207460
 6  -3         0.2116839766338217    0.1490828820459270
 6   4         0.0365678676311063    0.0379633583096207
 6  -4        -0.0749461898651305    0.0353756612914684
 6   5         0.0130360909145679    0.0089454951802532
 6  -5         0.0191300406246668    0.0086963327434073
 6   6        -0.0028416970625713    0.0018245419607020
 6  -6         0.0053622503707800    0.0018740469724294
 7   0      -103.7984110689722002   39.9795212838853615
 7   1       -15.0191978290640691    4.4331660834993416
 7  -1        -7.5700578174437396    7.7779682424134240
 7   2         0.6443949369859183    0.7494766964224960
 7  -2         0.5934923128415903    0.7482311569145574
 7   3         0.0695864621390001    0.1166559846267092
 7  -3         0.1621431321073032    0.0930778385335647
 7   4        -0.0185761760336050    0.0135703959679670
 7  -4         0.0093540338101263    0.0189212393370163
 7   5         0.0018632848050810    0.0031253617917138
 7  -5        -0.0018710960905679    0.0026326151724665
 7   6         0.0008839413055775    0.0005595710927852
 7  -6         0.0000606295032384    0.0007899876792116
 7   7        -0.0003395725074552    0.0001097974039336
 7  -7         0.0001192801568048    0.0001085982576019
 8   0       160.3335915469797328   32.4566362156985733
 8   1        12.5006620024942094    3.6613326784404712
 8  -1        16.8761247501242906    7.5605701718133114
 8   2         0.6739772547953180    0.5612575895939919
 8  -2        -0.2911621310677219    0.5333717773854223
 8   3         0.0604998625249209    0.0779879700497320
 8  -3        -0.0141896222487503    0.0692261189891726
 8   4         0.0223514744840827    0.0081033288695368
 8  -4        -0.0092997911832136    0.0104411811140960
 8   5         0.0060768684539561    0.0013308357443795
 8  -5         0.0013692869327748    0.0012042650698257
 8   6        -0.0005792111942999    0.0002089940609939
 8  -6         0.0007826871229470    0.0002453764192625
 8   7        -0.0000261249190379    0.0000413424645410
 8  -7        -0.0000410957368807    0.0000411384068883
 8   8         0.0000143340282968    0.0000069690645760
 8  -8        -0.0000011152919856    0.0000070832131089
