   Data from
     Borysow A, 2002, Collision-induced absorption coefficients
       of H2 pairs at temperatures from 60 K to 1000 K,
       Astron. Astrophys. 390, 779-782, doi: 10.1051/0004-6361:20020555
  
   No. temperatures:    7
   No. rows:         1649
   What follows was obtained in August 2011 from the link
     http://www.astro.ku.dk/~aborysow/programs/final_CIA_LT.dat

     CIA spectra of H2-H2 from 60 to 350K, in  cm^{-1}/amagat^{2}
     freq  60K       100K     150K       200K      250K      300K      350K
   (cm^-1) 
   550.0 2.302E-06 3.793E-06 4.473E-06 4.557E-06 4.396E-06 4.138E-06 3.854E-06
   560.0 2.908E-06 4.637E-06 5.179E-06 5.110E-06 4.834E-06 4.492E-06 4.148E-06
   570.0 3.726E-06 5.563E-06 5.883E-06 5.640E-06 5.245E-06 4.822E-06 4.420E-06
   580.0 4.603E-06 6.418E-06 6.496E-06 6.092E-06 5.594E-06 5.103E-06 4.654E-06
   590.0 5.223E-06 7.003E-06 6.918E-06 6.410E-06 5.847E-06 5.313E-06 4.834E-06
   600.0 5.342E-06 7.189E-06 7.091E-06 6.562E-06 5.983E-06 5.437E-06 4.949E-06
   610.0 5.027E-06 6.997E-06 7.018E-06 6.547E-06 6.001E-06 5.475E-06 4.998E-06
   620.0 4.491E-06 6.547E-06 6.750E-06 6.393E-06 5.917E-06 5.435E-06 4.987E-06
   630.0 3.904E-06 5.964E-06 6.356E-06 6.137E-06 5.752E-06 5.332E-06 4.927E-06
   640.0 3.357E-06 5.345E-06 5.894E-06 5.814E-06 5.531E-06 5.183E-06 4.830E-06
   650.0 2.884E-06 4.748E-06 5.408E-06 5.456E-06 5.274E-06 5.003E-06 4.705E-06
   660.0 2.491E-06 4.201E-06 4.931E-06 5.086E-06 5.000E-06 4.803E-06 4.564E-06
   670.0 2.173E-06 3.715E-06 4.478E-06 4.721E-06 4.720E-06 4.596E-06 4.413E-06
   680.0 1.925E-06 3.291E-06 4.062E-06 4.372E-06 4.446E-06 4.388E-06 4.259E-06
   690.0 1.736E-06 2.924E-06 3.684E-06 4.047E-06 4.185E-06 4.186E-06 4.107E-06
   700.0 1.590E-06 2.607E-06 3.347E-06 3.748E-06 3.940E-06 3.995E-06 3.962E-06
   710.0 1.464E-06 2.332E-06 3.047E-06 3.479E-06 3.717E-06 3.818E-06 3.826E-06
   720.0 1.334E-06 2.091E-06 2.783E-06 3.239E-06 3.516E-06 3.657E-06 3.702E-06
   730.0 1.197E-06 1.879E-06 2.552E-06 3.028E-06 3.338E-06 3.514E-06 3.592E-06
   740.0 1.063E-06 1.694E-06 2.353E-06 2.846E-06 3.184E-06 3.390E-06 3.495E-06
   750.0 9.397E-07 1.532E-06 2.183E-06 2.692E-06 3.054E-06 3.284E-06 3.413E-06
