Coeffs,Value,Error
C00,2574761.1845318055711687,17.7290231038645025
C10,-10.4281054625753313,26.2860022540993441
C11,22.0338903676311020,21.3546203563992165
C1-1,2.1792864847229794,28.2509374877641903
C20,-347.1055029915296473,23.8063952281568874
C21,4.9891470959410071,13.6660090233017080
C2-1,-18.0129789401835296,26.4365645529298057
C22,63.0885047841002233,9.6313741257360874
C2-2,4.4191916573181516,6.2668400753958444
C30,-12.5366364035871811,31.5550089952022645
C31,49.4080174865521258,8.2441667810110335
C3-1,50.9231103166675894,12.2511857932736294
C32,5.7384150485158898,5.0234261883461597
C3-2,-0.9182286673531053,3.6927325449660264
C33,5.5707328988191875,1.3466446508186536
C3-3,-0.4333298857090995,1.4862385369300994
C40,-164.1296945086796768,37.5524648288110399
C41,-3.8203205551908468,7.2962250673762483
C4-1,-76.1224546987796202,12.5780696970124772
C42,-2.7711927929340163,2.5980539533413975
C4-2,-4.7036790557322092,2.1279178222845809
C43,-2.1334620255497612,0.6482420547275146
C4-3,2.1847525720249905,0.7873243579950877
C44,-0.2586182538157118,0.2155749618341280
C4-4,-1.0356080557749010,0.1681403405270704
C50,81.5985723303165287,29.7970189071179981
C51,5.6099044738366501,6.6736557389659295
C5-1,31.9224461225385312,10.4631785294511346
C52,5.4780539258254066,1.4238733202130041
C5-2,2.2709422241114225,1.5619917758495137
C53,0.1048587907253022,0.3272589115067778
C5-3,0.2709315938031978,0.3346231281826382
C54,0.2303417194971189,0.1000774392818247
C5-4,0.0057582689519222,0.0665745506905823
C55,-0.0223461082441503,0.0207264586946638
C5-5,-0.0025606128211138,0.0227175869530386
C60,-1.1207112747360952,39.2978168060898057
C61,2.3982211913753417,5.3985075810530141
C6-1,37.3708931496221339,9.3595561678141372
C62,-1.7619254755104521,1.2284462638525502
C6-2,-0.6647876035003719,1.0173897796947748
C63,-0.1289540412852830,0.1877522766207460
C6-3,0.2116839766338217,0.1490828820459270
C64,0.0365678676311063,0.0379633583096207
C6-4,-0.0749461898651305,0.0353756612914684
C65,0.0130360909145679,0.0089454951802532
C6-5,0.0191300406246668,0.0086963327434073
C66,-0.0028416970625713,0.0018245419607020
C6-6,0.0053622503707800,0.0018740469724294
C70,-103.7984110689722002,39.9795212838853615
C71,-15.0191978290640691,4.4331660834993416
C7-1,-7.5700578174437396,7.7779682424134240
C72,0.6443949369859183,0.7494766964224960
C7-2,0.5934923128415903,0.7482311569145574
C73,0.0695864621390001,0.1166559846267092
C7-3,0.1621431321073032,0.0930778385335647
C74,-0.0185761760336050,0.0135703959679670
C7-4,0.0093540338101263,0.0189212393370163
C75,0.0018632848050810,0.0031253617917138
C7-5,-0.0018710960905679,0.0026326151724665
C76,0.0008839413055775,0.0005595710927852
C7-6,0.0000606295032384,0.0007899876792116
C77,-0.0003395725074552,0.0001097974039336
C7-7,0.0001192801568048,0.0001085982576019
C80,160.3335915469797328,32.4566362156985733
C81,12.5006620024942094,3.6613326784404712
C8-1,16.8761247501242906,7.5605701718133114
C82,0.6739772547953180,0.5612575895939919
C8-2,-0.2911621310677219,0.5333717773854223
C83,0.0604998625249209,0.0779879700497320
C8-3,-0.0141896222487503,0.0692261189891726
C84,0.0223514744840827,0.0081033288695368
C8-4,-0.0092997911832136,0.0104411811140960
C85,0.0060768684539561,0.0013308357443795
C8-5,0.0013692869327748,0.0012042650698257
C86,-0.0005792111942999,0.0002089940609939
C8-6,0.0007826871229470,0.0002453764192625
C87,-0.0000261249190379,0.0000413424645410
C8-7,-0.0000410957368807,0.0000411384068883
C88,0.0000143340282968,0.0000069690645760
C8-8,-0.0000011152919856,0.0000070832131089
