 Data from the paper: Lindel et al, 1983, The Atmosphere of Titan:
 An Analysis of the Voyager 1 Radio Occultation Measurements,
 Icarus 53, 348-363. Assumes pure N^2 atmosphere.  The units are 
 z[km], n[10^-17 cm^-3], p[mbar], T[K].
                 Ingress                  Egress
#  z       n        p       T       n        p       T
106 
 176.      0.57     1.33  167.2     0.62     1.42  165.7
 178.      0.55     1.26  167.2     0.59     1.35  165.7
 180.      0.52     1.20  167.2     0.56     1.29  166.9
 182.      0.50     1.15  167.3     0.53     1.23  167.6
 184.      0.47     1.10  167.4     0.51     1.17  167.4
 186.      0.45     1.04  167.6     0.49     1.12  167.0
 188.      0.43     1.00  167.9     0.46     1.07  166.3
 190.      0.41     0.95  168.1     0.45     1.02  165.4
 192.      0.39     0.91  168.3     0.43     0.97  163.9
 194.      0.37     0.87  168.6     0.41     0.92  164.2
 196.      0.35     0.83  168.8     0.38     0.88  168.4
 198.      0.34     0.79  169.1     0.35     0.84  172.0
 200.      0.32     0.75  169.4     0.33     0.80  174.2
