   6  14
  p[mbar]:  32.96  38.69  45.40  53.30  62.55  73.40  86.16 101.11 118.69 139.28 163.46 191.87 225.16 264.30
 lat[deg]
    10.0   0.4420 0.4436 0.4434 0.4419 0.4368 0.4289 0.4204 0.4105 0.3998 0.3901 0.3812 0.3727 0.3687 0.3674
    20.0   0.4531 0.4556 0.4565 0.4560 0.4520 0.4450 0.4372 0.4275 0.4165 0.4055 0.3943 0.3828 0.3753 0.3704
    30.0   0.4554 0.4506 0.4447 0.4388 0.4314 0.4237 0.4178 0.4127 0.4078 0.4035 0.3984 0.3914 0.3864 0.3821
    40.0   0.4503 0.4389 0.4268 0.4159 0.4054 0.3974 0.3945 0.3953 0.3989 0.4043 0.4087 0.4095 0.4095 0.4071
    50.0   0.4502 0.4353 0.4198 0.4058 0.3930 0.3835 0.3801 0.3816 0.3866 0.3941 0.4010 0.4043 0.4066 0.4059
    60.0   0.4547 0.4383 0.4212 0.4058 0.3914 0.3800 0.3744 0.3733 0.3756 0.3807 0.3858 0.3882 0.3909 0.3918
