   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.75387E+00    0.55892E+02  0.48556E-02  0.44830E+00
   0.11868E+03    0.74564E+00    0.55796E+02  0.58760E-02  0.45038E+00
   0.13928E+03    0.73258E+00    0.55920E+02  0.73642E-02  0.46329E+00
   0.16347E+03    0.71805E+00    0.56317E+02  0.93991E-02  0.47324E+00
   0.19186E+03    0.70192E+00    0.56926E+02  0.12040E-01  0.47042E+00
   0.22518E+03    0.68401E+00    0.57727E+02  0.15276E-01  0.45270E+00
   0.26429E+03    0.66494E+00    0.58520E+02  0.18989E-01  0.42278E+00
   0.31018E+03    0.64525E+00    0.59183E+02  0.22933E-01  0.38370E+00
   0.36405E+03    0.62266E+00    0.59749E+02  0.26736E-01  0.33743E+00
   0.42727E+03    0.60110E+00    0.60437E+02  0.29943E-01  0.28861E+00
   0.50147E+03    0.58564E+00    0.61409E+02  0.32077E-01  0.25071E+00
   0.58855E+03    0.56570E+00    0.62724E+02  0.32739E-01  0.24364E+00
   0.69076E+03    0.54265E+00    0.64367E+02  0.31710E-01  0.27021E+00
   0.81072E+03    0.52107E+00    0.66202E+02  0.29037E-01  0.30733E+00
   0.95151E+03    0.50437E+00    0.68993E+02  0.25043E-01  0.33045E+00

   0.21667E+01    0.33270E+00    0.11317E+03  0.98802E-03  0.78392E-02
   0.25430E+01    0.34230E+00    0.10548E+03  0.11751E-02  0.10460E-01
   0.29846E+01    0.35572E+00    0.97792E+02  0.13190E-02  0.13547E-01
   0.35029E+01    0.37702E+00    0.90105E+02  0.14138E-02  0.17267E-01
   0.41112E+01    0.40678E+00    0.82419E+02  0.14688E-02  0.21926E-01
   0.48252E+01    0.43462E+00    0.74733E+02  0.15046E-02  0.27968E-01
   0.56631E+01    0.47947E+00    0.71683E+02  0.15463E-02  0.35968E-01
   0.66466E+01    0.53372E+00    0.69956E+02  0.16166E-02  0.46615E-01
   0.78008E+01    0.56933E+00    0.68231E+02  0.17321E-02  0.60705E-01
   0.91555E+01    0.60453E+00    0.66505E+02  0.19023E-02  0.79133E-01
   0.10745E+02    0.64239E+00    0.65206E+02  0.21301E-02  0.10286E+00
   0.12612E+02    0.66183E+00    0.64426E+02  0.24125E-02  0.13282E+00
   0.14802E+02    0.67815E+00    0.63643E+02  0.27395E-02  0.16978E+00
   0.17372E+02    0.69191E+00    0.63072E+02  0.30936E-02  0.21405E+00
   0.20389E+02    0.70343E+00    0.62509E+02  0.34488E-02  0.26515E+00
   0.23930E+02    0.71437E+00    0.61914E+02  0.37726E-02  0.32144E+00
   0.28085E+02    0.72517E+00    0.61296E+02  0.40295E-02  0.37972E+00
   0.32963E+02    0.73528E+00    0.60646E+02  0.41886E-02  0.43519E+00
   0.38687E+02    0.74191E+00    0.59955E+02  0.42328E-02  0.48180E+00
   0.45405E+02    0.74886E+00    0.59223E+02  0.41703E-02  0.51323E+00
   0.53291E+02    0.75549E+00    0.58452E+02  0.40436E-02  0.52478E+00
   0.62545E+02    0.75586E+00    0.57660E+02  0.39353E-02  0.51567E+00
   0.73407E+02    0.75659E+00    0.56919E+02  0.39603E-02  0.49142E+00
   0.86154E+02    0.75710E+00    0.56334E+02  0.42375E-02  0.46417E+00

   0.11167E+04    0.48628E+00    0.72955E+02  0.20271E-01  0.32701E+00
   0.13107E+04    0.46460E+00    0.77330E+02  0.15350E-01  0.29625E+00
   0.15383E+04    0.44401E+00    0.81828E+02  0.10842E-01  0.24576E+00
   0.18054E+04    0.42278E+00    0.86423E+02  0.71246E-02  0.18690E+00
   0.21190E+04    0.40238E+00    0.91691E+02  0.43455E-02  0.13044E+00
   0.24869E+04    0.38234E+00    0.98074E+02  0.24555E-02  0.83592E-01
   0.29188E+04    0.36435E+00    0.10447E+03  0.12832E-02  0.49210E-01
   0.34257E+04    0.34847E+00    0.11088E+03  0.61935E-03  0.26615E-01
   0.40206E+04    0.33516E+00    0.11728E+03  0.27574E-03  0.13225E-01
   0.47189E+04    0.33542E+00    0.12368E+03  0.11312E-03  0.60359E-02
   0.55383E+04    0.33553E+00    0.12600E+03  0.42726E-04  0.25299E-02
