   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.78345E+00    0.49069E+02  0.11265E-01  0.58813E+00
   0.11868E+03    0.78668E+00    0.50042E+02  0.11763E-01  0.58682E+00
   0.13928E+03    0.78612E+00    0.51670E+02  0.11933E-01  0.58168E+00
   0.16347E+03    0.78686E+00    0.53814E+02  0.12074E-01  0.56213E+00
   0.19186E+03    0.79068E+00    0.56153E+02  0.12789E-01  0.52418E+00
   0.22518E+03    0.79879E+00    0.58384E+02  0.14684E-01  0.47336E+00
   0.26429E+03    0.81190E+00    0.60078E+02  0.17897E-01  0.42279E+00
   0.31018E+03    0.82892E+00    0.61001E+02  0.22029E-01  0.38480E+00
   0.36405E+03    0.84407E+00    0.61237E+02  0.26437E-01  0.35992E+00
   0.42727E+03    0.85622E+00    0.61197E+02  0.30413E-01  0.33882E+00
   0.50147E+03    0.86488E+00    0.61324E+02  0.33274E-01  0.31951E+00
   0.58855E+03    0.85470E+00    0.61945E+02  0.34458E-01  0.31712E+00
   0.69076E+03    0.82440E+00    0.63219E+02  0.33649E-01  0.34483E+00
   0.81072E+03    0.77896E+00    0.65052E+02  0.30878E-01  0.38789E+00
   0.95151E+03    0.72533E+00    0.68122E+02  0.26538E-01  0.41696E+00

   0.21667E+01    0.33301E+00    0.11318E+03  0.23247E-02  0.17402E-01
   0.25430E+01    0.34229E+00    0.10549E+03  0.27939E-02  0.23331E-01
   0.29846E+01    0.35514E+00    0.97799E+02  0.31792E-02  0.30341E-01
   0.35029E+01    0.37568E+00    0.90103E+02  0.34689E-02  0.38761E-01
   0.41112E+01    0.40449E+00    0.82404E+02  0.36859E-02  0.49184E-01
   0.48252E+01    0.43120E+00    0.74696E+02  0.38792E-02  0.62452E-01
   0.56631E+01    0.47477E+00    0.71610E+02  0.41076E-02  0.79592E-01
   0.66466E+01    0.52755E+00    0.69838E+02  0.44241E-02  0.10173E+00
   0.78008E+01    0.56146E+00    0.68047E+02  0.48645E-02  0.13000E+00
   0.91555E+01    0.59469E+00    0.66231E+02  0.54431E-02  0.16541E+00
   0.10745E+02    0.63022E+00    0.64804E+02  0.61509E-02  0.20871E+00
   0.12612E+02    0.64690E+00    0.63850E+02  0.69557E-02  0.26014E+00
   0.14802E+02    0.66010E+00    0.62829E+02  0.78009E-02  0.31917E+00
   0.17372E+02    0.67054E+00    0.61934E+02  0.86078E-02  0.38416E+00
   0.20389E+02    0.67880E+00    0.60944E+02  0.92821E-02  0.45219E+00
   0.23930E+02    0.68700E+00    0.59800E+02  0.97289E-02  0.51897E+00
   0.28085E+02    0.69614E+00    0.58505E+02  0.98773E-02  0.57921E+00
   0.32963E+02    0.70630E+00    0.57054E+02  0.97111E-02  0.62725E+00
   0.38687E+02    0.71527E+00    0.55468E+02  0.93035E-02  0.65825E+00
   0.45405E+02    0.72721E+00    0.53803E+02  0.88422E-02  0.66951E+00
   0.53291E+02    0.74142E+00    0.52154E+02  0.86065E-02  0.66193E+00
   0.62545E+02    0.75153E+00    0.50655E+02  0.88338E-02  0.64090E+00
   0.73407E+02    0.76331E+00    0.49517E+02  0.95294E-02  0.61572E+00
   0.86154E+02    0.77531E+00    0.48965E+02  0.10447E-01  0.59644E+00

   0.11167E+04    0.66302E+00    0.72490E+02  0.21296E-01  0.41258E+00
   0.13107E+04    0.59620E+00    0.77247E+02  0.15912E-01  0.37206E+00
   0.15383E+04    0.53502E+00    0.82007E+02  0.11042E-01  0.30558E+00
   0.18054E+04    0.48112E+00    0.86723E+02  0.71010E-02  0.22893E+00
   0.21190E+04    0.43699E+00    0.91997E+02  0.42234E-02  0.15672E+00
   0.24869E+04    0.40130E+00    0.98322E+02  0.23194E-02  0.98149E-01
   0.29188E+04    0.37393E+00    0.10465E+03  0.11744E-02  0.56283E-01
   0.34257E+04    0.35293E+00    0.11098E+03  0.54753E-03  0.29564E-01
   0.40206E+04    0.33707E+00    0.11734E+03  0.23482E-03  0.14227E-01
   0.47189E+04    0.33617E+00    0.12371E+03  0.92548E-04  0.62724E-02
   0.55383E+04    0.33580E+00    0.12601E+03  0.33494E-04  0.25329E-02
