   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.75513E+00    0.51243E+02  0.40886E-02  0.40418E+00
   0.11868E+03    0.75487E+00    0.51441E+02  0.49641E-02  0.40053E+00
   0.13928E+03    0.74986E+00    0.51797E+02  0.61415E-02  0.40100E+00
   0.16347E+03    0.74338E+00    0.52346E+02  0.76743E-02  0.40070E+00
   0.19186E+03    0.73544E+00    0.53052E+02  0.96118E-02  0.39444E+00
   0.22518E+03    0.72597E+00    0.53955E+02  0.11955E-01  0.37871E+00
   0.26429E+03    0.71579E+00    0.54913E+02  0.14625E-01  0.35218E+00
   0.31018E+03    0.70563E+00    0.55823E+02  0.17446E-01  0.31576E+00
   0.36405E+03    0.69321E+00    0.56698E+02  0.20150E-01  0.27310E+00
   0.42727E+03    0.68196E+00    0.57694E+02  0.22406E-01  0.23205E+00
   0.50147E+03    0.67597E+00    0.58912E+02  0.23870E-01  0.20506E+00
   0.58855E+03    0.66314E+00    0.60378E+02  0.24256E-01  0.20273E+00
   0.69076E+03    0.64317E+00    0.62097E+02  0.23410E-01  0.22068E+00
   0.81072E+03    0.61939E+00    0.63987E+02  0.21371E-01  0.24216E+00
   0.95151E+03    0.59490E+00    0.66895E+02  0.18381E-01  0.25233E+00

   0.21667E+01    0.32116E+00    0.11307E+03  0.12418E-02  0.91029E-02
   0.25430E+01    0.32858E+00    0.10536E+03  0.14899E-02  0.12197E-01
   0.29846E+01    0.34033E+00    0.97636E+02  0.16911E-02  0.15850E-01
   0.35029E+01    0.36057E+00    0.89910E+02  0.18385E-02  0.20228E-01
   0.41112E+01    0.38974E+00    0.82174E+02  0.19431E-02  0.25633E-01
   0.48252E+01    0.41726E+00    0.74427E+02  0.20297E-02  0.32492E-01
   0.56631E+01    0.46175E+00    0.71295E+02  0.21277E-02  0.41327E-01
   0.66466E+01    0.51535E+00    0.69461E+02  0.22632E-02  0.52719E-01
   0.78008E+01    0.54987E+00    0.67595E+02  0.24528E-02  0.67266E-01
   0.91555E+01    0.58344E+00    0.65692E+02  0.27018E-02  0.85553E-01
   0.10745E+02    0.61918E+00    0.64169E+02  0.30047E-02  0.10810E+00
   0.12612E+02    0.63603E+00    0.63110E+02  0.33456E-02  0.13528E+00
   0.14802E+02    0.64949E+00    0.61988E+02  0.36989E-02  0.16724E+00
   0.17372E+02    0.66037E+00    0.61012E+02  0.40307E-02  0.20369E+00
   0.20389E+02    0.66930E+00    0.59984E+02  0.43019E-02  0.24382E+00
   0.23930E+02    0.67825E+00    0.58874E+02  0.44728E-02  0.28610E+00
   0.28085E+02    0.68805E+00    0.57713E+02  0.45113E-02  0.32823E+00
   0.32963E+02    0.69843E+00    0.56530E+02  0.44016E-02  0.36724E+00
   0.38687E+02    0.70683E+00    0.55356E+02  0.41539E-02  0.39977E+00
   0.45405E+02    0.71707E+00    0.54242E+02  0.38117E-02  0.42272E+00
   0.53291E+02    0.72849E+00    0.53235E+02  0.34582E-02  0.43409E+00
   0.62545E+02    0.73485E+00    0.52376E+02  0.32128E-02  0.43400E+00
   0.73407E+02    0.74250E+00    0.51738E+02  0.32015E-02  0.42534E+00
   0.86154E+02    0.75053E+00    0.51387E+02  0.34949E-02  0.41348E+00

   0.11167E+04    0.56429E+00    0.71070E+02  0.14840E-01  0.24401E+00
   0.13107E+04    0.52722E+00    0.75751E+02  0.11207E-01  0.21745E+00
   0.15383E+04    0.49067E+00    0.80607E+02  0.78928E-02  0.17824E+00
   0.18054E+04    0.45497E+00    0.85559E+02  0.51693E-02  0.13431E+00
   0.21190E+04    0.42290E+00    0.91132E+02  0.31411E-02  0.93032E-01
   0.24869E+04    0.39440E+00    0.97745E+02  0.17672E-02  0.59234E-01
   0.29188E+04    0.37088E+00    0.10430E+03  0.91892E-03  0.34663E-01
   0.34257E+04    0.35172E+00    0.11079E+03  0.44100E-03  0.18641E-01
   0.40206E+04    0.33665E+00    0.11724E+03  0.19508E-03  0.92094E-02
   0.47189E+04    0.33605E+00    0.12367E+03  0.79453E-04  0.41787E-02
   0.55383E+04    0.33578E+00    0.12599E+03  0.29768E-04  0.17407E-02
