   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.76844E+00    0.52007E+02  0.40151E-02  0.43129E+00
   0.11868E+03    0.77201E+00    0.52153E+02  0.49249E-02  0.43048E+00
   0.13928E+03    0.77222E+00    0.52416E+02  0.61774E-02  0.43260E+00
   0.16347E+03    0.77270E+00    0.52856E+02  0.78243E-02  0.43112E+00
   0.19186E+03    0.77374E+00    0.53466E+02  0.99104E-02  0.42096E+00
   0.22518E+03    0.77543E+00    0.54306E+02  0.12432E-01  0.40008E+00
   0.26429E+03    0.77850E+00    0.55228E+02  0.15300E-01  0.36926E+00
   0.31018E+03    0.78305E+00    0.56113E+02  0.18328E-01  0.33143E+00
   0.36405E+03    0.78564E+00    0.56942E+02  0.21228E-01  0.29147E+00
   0.42727E+03    0.78793E+00    0.57853E+02  0.23644E-01  0.25643E+00
   0.50147E+03    0.79188E+00    0.58953E+02  0.25204E-01  0.23518E+00
   0.58855E+03    0.78335E+00    0.60297E+02  0.25600E-01  0.23404E+00
   0.69076E+03    0.76083E+00    0.61932E+02  0.24670E-01  0.24915E+00
   0.81072E+03    0.72755E+00    0.63806E+02  0.22463E-01  0.26720E+00
   0.95151E+03    0.68791E+00    0.66763E+02  0.19248E-01  0.27449E+00

   0.21667E+01    0.32420E+00    0.11310E+03  0.13933E-02  0.10350E-01
   0.25430E+01    0.33207E+00    0.10539E+03  0.16695E-02  0.13854E-01
   0.29846E+01    0.34405E+00    0.97674E+02  0.18918E-02  0.17984E-01
   0.35029E+01    0.36431E+00    0.89954E+02  0.20521E-02  0.22928E-01
   0.41112E+01    0.39334E+00    0.82224E+02  0.21626E-02  0.29028E-01
   0.48252E+01    0.42059E+00    0.74480E+02  0.22508E-02  0.36770E-01
   0.56631E+01    0.46483E+00    0.71352E+02  0.23495E-02  0.46750E-01
   0.66466E+01    0.51819E+00    0.69526E+02  0.24872E-02  0.59625E-01
   0.78008E+01    0.55257E+00    0.67673E+02  0.26818E-02  0.76074E-01
   0.91555E+01    0.58615E+00    0.65782E+02  0.29386E-02  0.96757E-01
   0.10745E+02    0.62200E+00    0.64272E+02  0.32504E-02  0.12225E+00
   0.12612E+02    0.63906E+00    0.63228E+02  0.35991E-02  0.15297E+00
   0.14802E+02    0.65280E+00    0.62125E+02  0.39564E-02  0.18901E+00
   0.17372E+02    0.66402E+00    0.61171E+02  0.42857E-02  0.22998E+00
   0.20389E+02    0.67329E+00    0.60167E+02  0.45455E-02  0.27483E+00
   0.23930E+02    0.68263E+00    0.59087E+02  0.46956E-02  0.32163E+00
   0.28085E+02    0.69281E+00    0.57966E+02  0.47049E-02  0.36754E+00
   0.32963E+02    0.70361E+00    0.56833E+02  0.45606E-02  0.40893E+00
   0.38687E+02    0.71243E+00    0.55725E+02  0.42761E-02  0.44186E+00
   0.45405E+02    0.72317E+00    0.54691E+02  0.38973E-02  0.46290E+00
   0.53291E+02    0.73520E+00    0.53777E+02  0.35065E-02  0.47033E+00
   0.62545E+02    0.74242E+00    0.53014E+02  0.32199E-02  0.46532E+00
   0.73407E+02    0.75133E+00    0.52455E+02  0.31649E-02  0.45256E+00
   0.86154E+02    0.76117E+00    0.52151E+02  0.34257E-02  0.43914E+00

   0.11167E+04    0.63886E+00    0.71030E+02  0.15463E-01  0.26330E+00
   0.13107E+04    0.58281E+00    0.75809E+02  0.11606E-01  0.23338E+00
   0.15383E+04    0.52907E+00    0.80736E+02  0.81147E-02  0.19038E+00
   0.18054E+04    0.47951E+00    0.85718E+02  0.52702E-02  0.14275E+00
   0.21190E+04    0.43738E+00    0.91283E+02  0.31721E-02  0.98326E-01
   0.24869E+04    0.40227E+00    0.97865E+02  0.17659E-02  0.62207E-01
   0.29188E+04    0.37481E+00    0.10438E+03  0.90768E-03  0.36142E-01
   0.34257E+04    0.35353E+00    0.11084E+03  0.43014E-03  0.19278E-01
   0.40206E+04    0.33741E+00    0.11727E+03  0.18770E-03  0.94384E-02
   0.47189E+04    0.33634E+00    0.12368E+03  0.75340E-04  0.42396E-02
   0.55383E+04    0.33588E+00    0.12600E+03  0.27792E-04  0.17465E-02
