   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.75396E+00    0.52880E+02  0.32267E-02  0.36841E+00
   0.11868E+03    0.75220E+00    0.53175E+02  0.39063E-02  0.36132E+00
   0.13928E+03    0.74608E+00    0.53578E+02  0.48682E-02  0.35943E+00
   0.16347E+03    0.73900E+00    0.54108E+02  0.61849E-02  0.35855E+00
   0.19186E+03    0.73099E+00    0.54728E+02  0.79135E-02  0.35359E+00
   0.22518E+03    0.72194E+00    0.55481E+02  0.10061E-01  0.34122E+00
   0.26429E+03    0.71254E+00    0.56253E+02  0.12563E-01  0.32032E+00
   0.31018E+03    0.70331E+00    0.56979E+02  0.15269E-01  0.29129E+00
   0.36405E+03    0.69167E+00    0.57702E+02  0.17949E-01  0.25597E+00
   0.42727E+03    0.68079E+00    0.58608E+02  0.20301E-01  0.21922E+00
   0.50147E+03    0.67456E+00    0.59809E+02  0.21997E-01  0.19073E+00
   0.58855E+03    0.66088E+00    0.61317E+02  0.22737E-01  0.18239E+00
   0.69076E+03    0.63967E+00    0.63106E+02  0.22327E-01  0.19566E+00
   0.81072E+03    0.61462E+00    0.65057E+02  0.20742E-01  0.21689E+00
   0.95151E+03    0.58919E+00    0.67970E+02  0.18158E-01  0.23044E+00

   0.21667E+01    0.32550E+00    0.11311E+03  0.96439E-03  0.72131E-02
   0.25430E+01    0.33366E+00    0.10540E+03  0.11556E-02  0.96599E-02
   0.29846E+01    0.34590E+00    0.97690E+02  0.13097E-02  0.12548E-01
   0.35029E+01    0.36638E+00    0.89974E+02  0.14212E-02  0.16016E-01
   0.41112E+01    0.39557E+00    0.82250E+02  0.14989E-02  0.20312E-01
   0.48252E+01    0.42298E+00    0.74518E+02  0.15621E-02  0.25790E-01
   0.56631E+01    0.46736E+00    0.71406E+02  0.16341E-02  0.32892E-01
   0.66466E+01    0.52091E+00    0.69598E+02  0.17354E-02  0.42118E-01
   0.78008E+01    0.55554E+00    0.67765E+02  0.18794E-02  0.54004E-01
   0.91555E+01    0.58939E+00    0.65902E+02  0.20709E-02  0.69100E-01
   0.10745E+02    0.62552E+00    0.64425E+02  0.23061E-02  0.87935E-01
   0.12612E+02    0.64291E+00    0.63425E+02  0.25733E-02  0.11096E+00
   0.14802E+02    0.65697E+00    0.62370E+02  0.28527E-02  0.13846E+00
   0.17372E+02    0.66842E+00    0.61471E+02  0.31180E-02  0.17043E+00
   0.20389E+02    0.67783E+00    0.60527E+02  0.33376E-02  0.20639E+00
   0.23930E+02    0.68711E+00    0.59507E+02  0.34793E-02  0.24527E+00
   0.28085E+02    0.69699E+00    0.58443E+02  0.35167E-02  0.28522E+00
   0.32963E+02    0.70715E+00    0.57356E+02  0.34369E-02  0.32366E+00
   0.38687E+02    0.71495E+00    0.56282E+02  0.32486E-02  0.35736E+00
   0.45405E+02    0.72424E+00    0.55272E+02  0.29887E-02  0.38297E+00
   0.53291E+02    0.73433E+00    0.54374E+02  0.27256E-02  0.39776E+00
   0.62545E+02    0.73909E+00    0.53633E+02  0.25518E-02  0.40072E+00
   0.73407E+02    0.74495E+00    0.53123E+02  0.25555E-02  0.39348E+00
   0.86154E+02    0.75111E+00    0.52901E+02  0.27800E-02  0.38066E+00

   0.11167E+04    0.55829E+00    0.72081E+02  0.14922E-01  0.22752E+00
   0.13107E+04    0.52161E+00    0.76632E+02  0.11472E-01  0.20685E+00
   0.15383E+04    0.48596E+00    0.81313E+02  0.82265E-02  0.17282E+00
   0.18054E+04    0.45141E+00    0.86078E+02  0.54871E-02  0.13267E+00
   0.21190E+04    0.42047E+00    0.91483E+02  0.33966E-02  0.93617E-01
   0.24869E+04    0.39290E+00    0.97962E+02  0.19474E-02  0.60735E-01
   0.29188E+04    0.37004E+00    0.10442E+03  0.10324E-02  0.36232E-01
   0.34257E+04    0.35129E+00    0.11086E+03  0.50540E-03  0.19875E-01
   0.40206E+04    0.33645E+00    0.11728E+03  0.22817E-03  0.10023E-01
   0.47189E+04    0.33596E+00    0.12368E+03  0.94898E-04  0.46464E-02
   0.55383E+04    0.33574E+00    0.12600E+03  0.36329E-04  0.19790E-02
