   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.77031E+00    0.54123E+02  0.52011E-02  0.42916E+00
   0.11868E+03    0.77045E+00    0.53788E+02  0.65645E-02  0.44399E+00
   0.13928E+03    0.76730E+00    0.53545E+02  0.83642E-02  0.45608E+00
   0.16347E+03    0.76425E+00    0.53523E+02  0.10604E-01  0.45708E+00
   0.19186E+03    0.76130E+00    0.53771E+02  0.13256E-01  0.44402E+00
   0.22518E+03    0.75815E+00    0.54374E+02  0.16234E-01  0.41783E+00
   0.26429E+03    0.75511E+00    0.55190E+02  0.19361E-01  0.38128E+00
   0.31018E+03    0.75213E+00    0.56083E+02  0.22360E-01  0.33809E+00
   0.36405E+03    0.74575E+00    0.57005E+02  0.24883E-01  0.29403E+00
   0.42727E+03    0.73812E+00    0.58074E+02  0.26556E-01  0.25881E+00
   0.50147E+03    0.73227E+00    0.59370E+02  0.27067E-01  0.24458E+00
   0.58855E+03    0.71558E+00    0.60925E+02  0.26243E-01  0.25547E+00
   0.69076E+03    0.68810E+00    0.62746E+02  0.24114E-01  0.27930E+00
   0.81072E+03    0.65435E+00    0.64743E+02  0.20924E-01  0.29749E+00
   0.95151E+03    0.61914E+00    0.67730E+02  0.17085E-01  0.29696E+00

   0.21667E+01    0.32935E+00    0.11313E+03  0.13580E-02  0.10561E-01
   0.25430E+01    0.33821E+00    0.10544E+03  0.16175E-02  0.14095E-01
   0.29846E+01    0.35098E+00    0.97740E+02  0.18186E-02  0.18247E-01
   0.35029E+01    0.37179E+00    0.90038E+02  0.19529E-02  0.23224E-01
   0.41112E+01    0.40118E+00    0.82330E+02  0.20322E-02  0.29397E-01
   0.48252E+01    0.42870E+00    0.74616E+02  0.20832E-02  0.37305E-01
   0.56631E+01    0.47322E+00    0.71526E+02  0.21382E-02  0.47614E-01
   0.66466E+01    0.52703E+00    0.69751E+02  0.22251E-02  0.61087E-01
   0.78008E+01    0.56212E+00    0.67961E+02  0.23619E-02  0.78537E-01
   0.91555E+01    0.59666E+00    0.66154E+02  0.25554E-02  0.10079E+00
   0.10745E+02    0.63373E+00    0.64747E+02  0.28018E-02  0.12861E+00
   0.12612E+02    0.65227E+00    0.63838E+02  0.30882E-02  0.16256E+00
   0.14802E+02    0.66763E+00    0.62900E+02  0.33935E-02  0.20280E+00
   0.17372E+02    0.68047E+00    0.62148E+02  0.36896E-02  0.24877E+00
   0.20389E+02    0.69127E+00    0.61382E+02  0.39438E-02  0.29890E+00
   0.23930E+02    0.70182E+00    0.60574E+02  0.41231E-02  0.35030E+00
   0.28085E+02    0.71269E+00    0.59749E+02  0.42010E-02  0.39875E+00
   0.32963E+02    0.72351E+00    0.58925E+02  0.41650E-02  0.43903E+00
   0.38687E+02    0.73154E+00    0.58116E+02  0.40255E-02  0.46590E+00
   0.45405E+02    0.74069E+00    0.57337E+02  0.38221E-02  0.47576E+00
   0.53291E+02    0.75038E+00    0.56590E+02  0.36292E-02  0.46870E+00
   0.62545E+02    0.75464E+00    0.55875E+02  0.35568E-02  0.45025E+00
   0.73407E+02    0.76020E+00    0.55218E+02  0.37330E-02  0.43113E+00
   0.86154E+02    0.76653E+00    0.54659E+02  0.42634E-02  0.42271E+00

   0.11167E+04    0.57879E+00    0.71930E+02  0.13082E-01  0.27377E+00
   0.13107E+04    0.53414E+00    0.76564E+02  0.93646E-02  0.23200E+00
   0.15383E+04    0.49259E+00    0.81310E+02  0.62478E-02  0.18048E+00
   0.18054E+04    0.45427E+00    0.86110E+02  0.38745E-02  0.12886E+00
   0.21190E+04    0.42128E+00    0.91524E+02  0.22280E-02  0.84447E-01
   0.24869E+04    0.39282E+00    0.97997E+02  0.11854E-02  0.50796E-01
   0.29188E+04    0.36971E+00    0.10445E+03  0.58251E-03  0.28044E-01
   0.34257E+04    0.35100E+00    0.11087E+03  0.26393E-03  0.14208E-01
   0.40206E+04    0.33626E+00    0.11728E+03  0.11011E-03  0.66038E-02
   0.47189E+04    0.33586E+00    0.12368E+03  0.42246E-04  0.28151E-02
   0.55383E+04    0.33570E+00    0.12600E+03  0.14892E-04  0.11002E-02
