   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.75300E+00    0.51127E+02  0.39216E-02  0.39102E+00
   0.11868E+03    0.75238E+00    0.51249E+02  0.47382E-02  0.38663E+00
   0.13928E+03    0.74698E+00    0.51541E+02  0.58415E-02  0.38710E+00
   0.16347E+03    0.73999E+00    0.52045E+02  0.72749E-02  0.38815E+00
   0.19186E+03    0.73136E+00    0.52730E+02  0.90878E-02  0.38443E+00
   0.22518E+03    0.72091E+00    0.53636E+02  0.11291E-01  0.37175E+00
   0.26429E+03    0.70928E+00    0.54627E+02  0.13824E-01  0.34785E+00
   0.31018E+03    0.69708E+00    0.55610E+02  0.16530E-01  0.31270E+00
   0.36405E+03    0.68197E+00    0.56602E+02  0.19164E-01  0.26925E+00
   0.42727E+03    0.66755E+00    0.57766E+02  0.21411E-01  0.22509E+00
   0.50147E+03    0.65815E+00    0.59193E+02  0.22936E-01  0.19357E+00
   0.58855E+03    0.64230E+00    0.60882E+02  0.23450E-01  0.18775E+00
   0.69076E+03    0.62034E+00    0.62799E+02  0.22785E-01  0.20458E+00
   0.81072E+03    0.59609E+00    0.64825E+02  0.20951E-01  0.22630E+00
   0.95151E+03    0.57284E+00    0.67776E+02  0.18158E-01  0.23738E+00

   0.21667E+01    0.32332E+00    0.11309E+03  0.11266E-02  0.82979E-02
   0.25430E+01    0.33109E+00    0.10538E+03  0.13522E-02  0.11122E-01
   0.29846E+01    0.34304E+00    0.97665E+02  0.15357E-02  0.14457E-01
   0.35029E+01    0.36334E+00    0.89942E+02  0.16709E-02  0.18459E-01
   0.41112E+01    0.39246E+00    0.82213E+02  0.17680E-02  0.23406E-01
   0.48252E+01    0.41982E+00    0.74470E+02  0.18498E-02  0.29696E-01
   0.56631E+01    0.46416E+00    0.71345E+02  0.19437E-02  0.37817E-01
   0.66466E+01    0.51761E+00    0.69521E+02  0.20737E-02  0.48315E-01
   0.78008E+01    0.55205E+00    0.67669E+02  0.22559E-02  0.61761E-01
   0.91555E+01    0.58559E+00    0.65781E+02  0.24960E-02  0.78724E-01
   0.10745E+02    0.62133E+00    0.64274E+02  0.27902E-02  0.99722E-01
   0.12612E+02    0.63819E+00    0.63236E+02  0.31249E-02  0.12516E+00
   0.14802E+02    0.65166E+00    0.62137E+02  0.34774E-02  0.15521E+00
   0.17372E+02    0.66250E+00    0.61184E+02  0.38168E-02  0.18970E+00
   0.20389E+02    0.67131E+00    0.60178E+02  0.41061E-02  0.22793E+00
   0.23930E+02    0.68007E+00    0.59089E+02  0.43065E-02  0.26855E+00
   0.28085E+02    0.68958E+00    0.57945E+02  0.43846E-02  0.30946E+00
   0.32963E+02    0.69959E+00    0.56766E+02  0.43208E-02  0.34789E+00
   0.38687E+02    0.70752E+00    0.55587E+02  0.41182E-02  0.38063E+00
   0.45405E+02    0.71726E+00    0.54453E+02  0.38110E-02  0.40459E+00
   0.53291E+02    0.72814E+00    0.53407E+02  0.34711E-02  0.41761E+00
   0.62545E+02    0.73400E+00    0.52493E+02  0.32086E-02  0.41936E+00
   0.73407E+02    0.74120E+00    0.51785E+02  0.31507E-02  0.41215E+00
   0.86154E+02    0.74878E+00    0.51353E+02  0.33851E-02  0.40078E+00

   0.11167E+04    0.54500E+00    0.71898E+02  0.14778E-01  0.23070E+00
   0.13107E+04    0.51167E+00    0.76455E+02  0.11255E-01  0.20651E+00
   0.15383E+04    0.47913E+00    0.81148E+02  0.79972E-02  0.17007E+00
   0.18054E+04    0.44710E+00    0.85936E+02  0.52865E-02  0.12886E+00
   0.21190E+04    0.41798E+00    0.91373E+02  0.32437E-02  0.89832E-01
   0.24869E+04    0.39158E+00    0.97884E+02  0.18435E-02  0.57620E-01
   0.29188E+04    0.36940E+00    0.10437E+03  0.96890E-03  0.34002E-01
   0.34257E+04    0.35101E+00    0.11083E+03  0.47019E-03  0.18457E-01
   0.40206E+04    0.33633E+00    0.11726E+03  0.21043E-03  0.92129E-02
   0.47189E+04    0.33592E+00    0.12367E+03  0.86753E-04  0.42275E-02
   0.55383E+04    0.33573E+00    0.12599E+03  0.32917E-04  0.17825E-02
