   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.77336E+00    0.54389E+02  0.70312E-02  0.52171E+00
   0.11868E+03    0.77050E+00    0.54442E+02  0.77628E-02  0.52755E+00
   0.13928E+03    0.76340E+00    0.54878E+02  0.86827E-02  0.53451E+00
   0.16347E+03    0.75579E+00    0.55754E+02  0.99465E-02  0.52861E+00
   0.19186E+03    0.74836E+00    0.56972E+02  0.11780E-01  0.50398E+00
   0.22518E+03    0.74187E+00    0.58439E+02  0.14344E-01  0.46498E+00
   0.26429E+03    0.73782E+00    0.59837E+02  0.17625E-01  0.42228E+00
   0.31018E+03    0.73708E+00    0.60906E+02  0.21412E-01  0.38506E+00
   0.36405E+03    0.73676E+00    0.61556E+02  0.25327E-01  0.35409E+00
   0.42727E+03    0.73874E+00    0.61952E+02  0.28879E-01  0.32420E+00
   0.50147E+03    0.74482E+00    0.62308E+02  0.31524E-01  0.29687E+00
   0.58855E+03    0.74049E+00    0.62828E+02  0.32762E-01  0.28865E+00
   0.69076E+03    0.72359E+00    0.63694E+02  0.32260E-01  0.31457E+00
   0.81072E+03    0.69665E+00    0.64955E+02  0.29961E-01  0.36077E+00
   0.95151E+03    0.66345E+00    0.67480E+02  0.26139E-01  0.39699E+00

   0.21667E+01    0.33188E+00    0.11316E+03  0.13436E-02  0.10543E-01
   0.25430E+01    0.34137E+00    0.10547E+03  0.16012E-02  0.14081E-01
   0.29846E+01    0.35474E+00    0.97780E+02  0.18019E-02  0.18253E-01
   0.35029E+01    0.37607E+00    0.90092E+02  0.19385E-02  0.23282E-01
   0.41112E+01    0.40590E+00    0.82407E+02  0.20238E-02  0.29570E-01
   0.48252E+01    0.43384E+00    0.74721E+02  0.20864E-02  0.37703E-01
   0.56631E+01    0.47878E+00    0.71670E+02  0.21610E-02  0.48429E-01
   0.66466E+01    0.53310E+00    0.69943E+02  0.22792E-02  0.62630E-01
   0.78008E+01    0.56874E+00    0.68215E+02  0.24642E-02  0.81298E-01
   0.91555E+01    0.60396E+00    0.66487E+02  0.27291E-02  0.10550E+00
   0.10745E+02    0.64179E+00    0.65181E+02  0.30775E-02  0.13631E+00
   0.12612E+02    0.66114E+00    0.64391E+02  0.35030E-02  0.17468E+00
   0.14802E+02    0.67734E+00    0.63595E+02  0.39892E-02  0.22118E+00
   0.17372E+02    0.69096E+00    0.62995E+02  0.45074E-02  0.27568E+00
   0.20389E+02    0.70235E+00    0.62387E+02  0.50174E-02  0.33692E+00
   0.23930E+02    0.71324E+00    0.61725E+02  0.54709E-02  0.40213E+00
   0.28085E+02    0.72412E+00    0.61008E+02  0.58191E-02  0.46682E+00
   0.32963E+02    0.73456E+00    0.60225E+02  0.60257E-02  0.52495E+00
   0.38687E+02    0.74198E+00    0.59365E+02  0.60815E-02  0.56968E+00
   0.45405E+02    0.75029E+00    0.58432E+02  0.60193E-02  0.59499E+00
   0.53291E+02    0.75904E+00    0.57442E+02  0.59203E-02  0.59788E+00
   0.62545E+02    0.76234E+00    0.56435E+02  0.59000E-02  0.58087E+00
   0.73407E+02    0.76681E+00    0.55517E+02  0.60638E-02  0.55344E+00
   0.86154E+02    0.77167E+00    0.54826E+02  0.64515E-02  0.52995E+00

   0.11167E+04    0.62044E+00    0.71477E+02  0.21340E-01  0.40195E+00
   0.13107E+04    0.56961E+00    0.76102E+02  0.16250E-01  0.37056E+00
   0.15383E+04    0.52013E+00    0.80943E+02  0.11508E-01  0.31096E+00
   0.18054E+04    0.47380E+00    0.85869E+02  0.75603E-02  0.23796E+00
   0.21190E+04    0.43396E+00    0.91392E+02  0.45980E-02  0.16637E+00
   0.24869E+04    0.40035E+00    0.97940E+02  0.25840E-02  0.10643E+00
   0.29188E+04    0.37381E+00    0.10443E+03  0.13399E-02  0.62361E-01
   0.34257E+04    0.35304E+00    0.11087E+03  0.64020E-03  0.33483E-01
   0.40206E+04    0.33719E+00    0.11729E+03  0.28157E-03  0.16479E-01
   0.47189E+04    0.33625E+00    0.12369E+03  0.11388E-03  0.74341E-02
   0.55383E+04    0.33584E+00    0.12600E+03  0.42325E-04  0.30738E-02
