 LATITUDE   30.0 DEG   DATE (MONTH/DAY/YEAR) =  1/  1/   1                    *
NN     1  111       ALTITUDE
-6.370E+01-5.870E+01-5.370E+01-4.870E+01-4.370E+01-3.970E+01-3.670E+01-3.370E+01
-3.070E+01-2.770E+01-2.470E+01-2.170E+01-1.870E+01-1.570E+01-1.370E+01-1.170E+01
-9.700E+00-7.700E+00-5.700E+00-3.700E+00-1.700E+00 3.000E-01 2.300E+00 4.300E+00
 9.196E+18 8.032E+18 6.987E+18 6.066E+18 4.582E+18 3.296E+18 2.305E+18 1.649E+18
 1.199E+18 8.831E+17 6.249E+17 4.457E+17 3.200E+17 2.313E+17 1.689E+17 1.246E+17
 8.897E+16 6.395E+16 4.613E+16 3.334E+16 2.412E+16 1.746E+16 1.265E+16 9.165E+15
 6.644E+15 4.818E+15 3.495E+15 2.536E+15 1.840E+15 1.336E+15 9.704E+14 7.048E+14
 5.123E+14 3.723E+14 2.709E+14 1.972E+14 1.436E+14 1.047E+14 7.641E+13 5.582E+13
 3.927E+13 2.770E+13 1.959E+13 1.338E+13 8.856E+12 5.635E+12 3.624E+12 2.341E+12
 1.521E+12 9.981E+11 6.634E+11 4.404E+11 2.961E+11 2.011E+11 1.387E+11 9.595E+10
 6.693E+10 4.689E+10 3.292E+10 2.326E+10 1.651E+10 1.174E+10 8.357E+09 5.983E+09
 4.276E+09 3.069E+09 2.196E+09 1.576E+09 1.133E+09 8.123E+08 5.834E+08
NN     1  111       EDDY DIF
 2.877E+04 2.779E+04 2.681E+04 2.584E+04 2.485E+04 2.407E+04 2.349E+04 2.290E+04
 2.231E+04 2.172E+04 2.113E+04 2.054E+04 1.995E+04 1.936E+04 1.897E+04 1.857E+04
 1.818E+04 1.778E+04 1.739E+04 1.699E+04 1.659E+04 1.619E+04 1.579E+04 1.540E+04
 1.499E+04 1.459E+04 1.419E+04 1.379E+04 1.340E+04 1.301E+04 1.262E+04 1.224E+04
 1.186E+04 1.149E+04 7.213E+02 7.647E+02 8.125E+02 8.645E+02 9.209E+02 9.824E+02
 1.048E+03 1.118E+03 1.191E+03 1.268E+03 1.430E+03 1.649E+03 1.940E+03 2.268E+03
 2.638E+03 3.056E+03 3.617E+03 4.264E+03 5.008E+03 5.860E+03 6.834E+03 7.951E+03
 9.431E+03 1.118E+04 1.323E+04 1.672E+04 2.139E+04 2.734E+04 3.493E+04 4.462E+04
 5.698E+04 7.274E+04 9.284E+04 1.185E+05 1.510E+05 1.925E+05 2.452E+05 3.121E+05
 3.969E+05 4.778E+05 5.416E+05 6.133E+05 6.938E+05 7.838E+05 8.838E+05 9.942E+05
 1.131E+06 1.280E+06 1.441E+06 1.630E+06 1.843E+06 2.071E+06 2.322E+06 2.615E+06
 2.951E+06 3.332E+06 3.765E+06 4.272E+06 4.849E+06 5.509E+06 6.250E+06 7.107E+06
 8.083E+06 9.203E+06 1.050E+07 1.196E+07 1.363E+07 1.555E+07 1.774E+07 2.022E+07
 2.307E+07 2.629E+07 3.001E+07 3.423E+07 3.903E+07 4.455E+07 5.083E+07
NN     1  111       WIND VEL
 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38
 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38
 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38
 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38
 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38
 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38
 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38
 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38
 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38
 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38
 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38
 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38
 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38
 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38 1.000E-38
NN   001  111       H       
 3.422E+03 1.374E+04 3.346E+04 5.217E+04 9.801E+04 1.375E+05 1.708E+05 2.171E+05
 2.751E+05 3.552E+05 4.588E+05 6.034E+05 8.046E+05 1.082E+06 1.330E+06 1.642E+06
 2.029E+06 2.494E+06 3.015E+06 3.618E+06 4.236E+06 4.886E+06 5.499E+06 6.116E+06
 6.738E+06 7.392E+06 8.024E+06 8.647E+06 9.272E+06 9.881E+06 1.047E+07 1.103E+07
