 Galileo Probe Jupiter data from 
 Seiff et al (1997, Science 276, 102-104) 
 "Thermal Structure of Jupiter's Upper 
 Atmosphere Derived from the Galileo Probe."

 384
 z[km]    p[hPa]     T[K]   rho[kg/m3]
  434.45  8.6460e-05 457.00 4.8430e-09
  430.16  9.1550e-05 429.00 5.4770e-09
  425.87  9.7260e-05 410.00 6.1050e-09
  421.59  0.00010350 401.10 6.6590e-09
  417.32  0.00011030 395.60 7.2130e-09
  413.06  0.00011770 386.60 7.8980e-09
  408.81  0.00012580 379.10 8.6280e-09
  404.57  0.00013450 378.20 9.2830e-09
  400.34  0.00014380 383.00 9.8330e-09
  396.12  0.00015380 369.00 1.0960e-08
  391.90  0.00016510 349.50 1.2470e-08
  387.70  0.00017810 328.00 1.4380e-08
  383.51  0.00019310 306.40 1.6740e-08
  379.32  0.00021030 292.30 1.9190e-08
  375.15  0.00023010 279.40 2.2040e-08
  370.98  0.00025260 271.00 2.5030e-08
  366.83  0.00027810 261.30 2.8680e-08
  362.68  0.00030800 244.40 3.4110e-08
  358.54  0.00034330 233.50 3.9950e-08
  354.42  0.00038310 233.70 4.4710e-08
  350.30  0.00043060 211.70 5.5730e-08
  346.19  0.00048920 198.80 6.7590e-08
  342.09  0.00055620 203.70 7.5190e-08
  338.00  0.00063240 200.50 8.7050e-08
  333.92  0.00072110 196.10 1.0170e-07
  329.85  0.00082330 196.20 1.1630e-07
  325.78  0.00093870 199.20 1.3100e-07
  321.73  0.0010690  199.40 1.4930e-07
  317.69  0.0012200  196.50 1.7330e-07
  313.65  0.0013890  202.80 1.9160e-07
  309.63  0.0015760  208.00 2.1250e-07
  305.62  0.0017830  211.80 2.3610e-07
  301.61  0.0020190  201.10 2.8180e-07
  297.62  0.0023040  188.10 3.4400e-07
  293.63  0.0026580  173.30 4.3130e-07
  289.65  0.0031020  161.50 5.4030e-07
  285.69  0.0036560  154.20 6.6750e-07
  281.73  0.0043120  156.80 7.7460e-07
  277.78  0.0050850  155.90 9.1940e-07
  273.85  0.0059680  162.80 1.0340e-06
  269.92  0.0069740  163.20 1.2060e-06
  266.00  0.0081940  154.60 1.4970e-06
  262.09  0.0096830  151.80 1.8020e-06
  258.19  0.011440   153.90 2.0990e-06
  254.30  0.013460   157.30 2.4180e-06
  250.43  0.015760   163.20 2.7270e-06
  246.56  0.018380   163.40 3.1780e-06
  242.70  0.021480   159.10 3.8150e-06
  238.85  0.025260   153.50 4.6480e-06
  235.01  0.029610   159.90 5.2320e-06
  231.19  0.034670   158.20 6.1930e-06
  227.37  0.040510   161.60 7.0850e-06
  223.57  0.047160   163.60 8.1470e-06
  219.77  0.055030   159.40 9.7610e-06
  215.99  0.064110   162.90 1.1120e-05
  212.22  0.074690   160.60 1.3150e-05
  208.46  0.086940   162.30 1.5150e-05
  204.71  0.10110    161.40 1.7720e-05
  200.98  0.11770    160.10 2.0780e-05
  197.26  0.13750    155.20 2.5040e-05
  193.55  0.16010    162.20 2.7920e-05
  189.87  0.18540    165.10 3.1760e-05
  186.19  0.21510    161.00 3.7790e-05
  182.53  0.24850    167.40 4.1970e-05
  178.89  0.28770    159.50 5.1000e-05
  175.27  0.33370    160.70 5.8730e-05
  171.67  0.38580    164.40 6.6350e-05
  168.10  0.44430    167.30 7.5110e-05
  164.54  0.50950    171.80 8.3830e-05
  161.01  0.58320    170.50 9.6740e-05
  157.51  0.66700    171.00 0.00011030
  154.03  0.76190    170.90 0.00012610
  150.59  0.86920    170.10 0.00014450
  147.18  0.99470    163.10 0.00017240
  143.81  1.1370     166.90 0.00019250
  140.48  1.2960     165.10 0.00022190
  137.20  1.4800     159.90 0.00026170
  133.97  1.6900     159.80 0.00029900
