 LIMAYE.DAT
 S. S. Limaye:  "Jupiter:  New Estimates of the Mean Zonal Flow 
 at the Cloud Level,"  Icarus 65, 335-352 (1986).
  Latitude          North           South
  gra   cen     [u]  rms  N     [u]  rms  N
 48.25 44.10   28.5  4.9 125   -3.7  4.0 121
 48.08 43.93   27.6  4.6 126   -2.0  4.7 121
 47.91 43.76   25.5  4.6 126   -0.4  5.0 121
 47.74 43.58   22.9  4.2 126    1.2  5.8 122
 47.57 43.41   19.9  4.8 127    2.6  5.3 122
 47.40 43.24   16.7  4.4 127    3.9  5.4 122
 47.23 43.07   13.5  3.8 126    5.1  5.3 122
 47.06 42.91   10.6  3.6 126    6.3  5.3 122
 46.89 42.74    8.0  3.4 125    7.8  6.1 121
 46.73 42.57    6.1  3.2 126    9.2  5.9 121
 46.56 42.40    4.6  2.9 126   10.6  6.2 121
 46.39 42.24    3.3  2.6 126   12.1  5.4 121
 46.22 42.07    2.1  2.9 126   13.7  4.8 121
 46.06 41.91    1.0  3.2 127   15.2  4.9 122
 45.89 41.74    0.2  3.4 126   16.5  5.0 121
 45.73 41.58   -0.4  3.4 125   17.9  4.7 122
 45.56 41.41   -1.0  3.4 125   19.4  5.0 122
 45.40 41.25   -1.4  3.4 127   21.0  5.0 122
 45.23 41.09   -1.4  3.4 126   22.6  5.2 122
 45.07 40.92   -1.1  3.9 127   24.6  5.2 121
 44.91 40.76   -0.2  3.9 126   26.8  5.4 122
 44.74 40.60    0.7  4.3 126   28.9  6.3 123
 44.58 40.44    2.0  4.2 126   31.2  5.2 119
 44.42 40.28    3.4  4.5 126   34.0  5.9 119
 44.26 40.12    4.8  4.9 126   36.8  6.0 119
 44.09 39.96    6.5  5.1 126   39.2  6.3 119
 43.93 39.80    8.7  4.5 126   41.0  5.1 119
 43.77 39.64   11.5  5.4 126   42.0  5.3 119
 43.61 39.48   14.7  5.9 126   42.1  5.5 120
 43.45 39.33   17.6  5.9 127   41.3  5.6 121
 43.29 39.17   19.8  5.1 126   39.6  5.3 120
 43.13 39.01   21.3  5.6 127   37.1  5.5 119
 42.97 38.86   21.8  5.0 127   33.9  5.6 121
