 Update of Table VIII* in
   Karkoschka E, 1994, Spectrophotometry of the Jovian Planets
    and Titan at 300-nm to 1000-nm Wavelength: the Methane
    Spectrum.  Icarus 111, 174-192.
 *NOTE: This file has entries with Wav < 430.4 deleted, to reduce CH4=.0000 entries
 Wav:     Wavelength in vacuum [nm]
 Wav_m:   Wavelength as measured [nm]
 CH4:     Cold temperature methane absorption coeff. [1/(km amagat)]
 Jup:     Full-disk albedo for Jupiter
 Sat:     Full-disk albedo for Saturn
 Ura:     Full-disk albedo for Uranus
 Nep:     Full-disk albedo for Neptune
 Tit:     Full-disk albedo for Titan
 No. rows: 1550
 Wav    Wav_m     CH4   Jup   Sat   Ura   Nep   Tit
 460.0  459.86   .0048 .4619 .3639 .5519 .5295 .1301
 460.4  460.26   .0036 .4620 .3645 .5626 .5425 .1300
 460.8  460.66   .0023 .4655 .3670 .5748 .5598 .1309
 461.2  461.06   .0013 .4700 .3707 .5903 .5767 .1324
 461.6  461.46   .0009 .4692 .3710 .5972 .5843 .1324
 462.0  461.86   .0006 .4684 .3704 .5992 .5872 .1323
 462.4  462.26   .0004 .4688 .3710 .6009 .5890 .1328
 462.8  462.66   .0003 .4691 .3719 .6024 .5903 .1330
 463.2  463.06   .0003 .4699 .3726 .6045 .5921 .1334
 463.6  463.46   .0003 .4700 .3732 .6066 .5934 .1337
 464.0  463.86   .0004 .4703 .3739 .6067 .5919 .1342
 464.4  464.26   .0004 .4710 .3742 .6075 .5937 .1348
 464.8  464.66   .0005 .4716 .3750 .6087 .5933 .1344
 465.2  465.06   .0007 .4718 .3760 .6050 .5899 .1349
 465.6  465.46   .0008 .4720 .3764 .6010 .5864 .1353
 466.0  465.86   .0008 .4730 .3777 .5999 .5845 .1357
 466.4  466.26   .0008 .4720 .3769 .6019 .5859 .1356
 466.8  466.66   .0008 .4717 .3767 .6070 .5899 .1352
 467.2  467.06   .0006 .4748 .3799 .6072 .5904 .1360
 467.6  467.46   .0005 .4761 .3814 .6064 .5905 .1370
 468.0  467.86   .0004 .4748 .3806 .6091 .5936 .1371
 468.4  468.26   .0003 .4752 .3815 .6124 .5954 .1373
 468.8  468.66   .0003 .4756 .3819 .6120 .5959 .1377
 469.2  469.06   .0002 .4761 .3823 .6135 .5975 .1382
 469.6  469.46   .0002 .4766 .3835 .6134 .5968 .1385
 470.0  469.86   .0002 .4755 .3830 .6140 .5958 .1388
 470.4  470.26   .0003 .4761 .3835 .6148 .5961 .1395
 470.8  470.66   .0003 .4777 .3853 .6151 .5960 .1396
 471.2  471.06   .0003 .4782 .3859 .6144 .5959 .1398
 471.6  471.46   .0003 .4789 .3866 .6123 .5941 .1405
 472.0  471.86   .0004 .4790 .3873 .6109 .5918 .1406
 472.4  472.26   .0004 .4790 .3875 .6092 .5912 .1410
 472.8  472.66   .0004 .4791 .3875 .6138 .5949 .1413
 473.2  473.06   .0005 .4800 .3888 .6172 .5965 .1415
 473.6  473.46   .0005 .4809 .3899 .6161 .5959 .1420
 474.0  473.86   .0005 .4802 .3898 .6152 .5932 .1419
 474.4  474.26   .0006 .4803 .3904 .6093 .5875 .1420
 474.8  474.66   .0006 .4831 .3928 .6087 .5862 .1433
 475.2  475.06   .0007 .4829 .3929 .6090 .5849 .1443
 475.6  475.46   .0009 .4817 .3927 .6075 .5824 .1438
 476.0  475.86   .0011 .4821 .3932 .6067 .5814 .1441
 476.4  476.26   .0013 .4829 .3933 .6098 .5833 .1445
 476.8  476.66   .0015 .4840 .3948 .6100 .5816 .1448
 477.2  477.06   .0018 .4839 .3952 .6031 .5751 .1450
 477.6  477.46   .0020 .4853 .3963 .5999 .5706 .1456
 478.0  477.86   .0022 .4858 .3970 .5959 .5662 .1462
 478.4  478.26   .0026 .4850 .3966 .5938 .5622 .1463
 478.8  478.66   .0031 .4853 .3968 .5916 .5587 .1466
 479.2  479.06   .0036 .4872 .3988 .5850 .5515 .1469
 479.6  479.46   .0043 .4870 .3993 .5760 .5419 .1470
 480.0  479.86   .0051 .4863 .3986 .5717 .5350 .1472
 480.4  480.26   .0057 .4868 .3995 .5697 .5307 .1479
 480.8  480.66   .0064 .4867 .3998 .5624 .5230 .1480
 481.2  481.06   .0072 .4874 .4006 .5540 .5142 .1486
 481.6  481.46   .0078 .4885 .4020 .5491 .5075 .1491
 482.0  481.86   .0088 .4873 .4015 .5434 .5010 .1493
 482.4  482.26   .0095 .4864 .4010 .5399 .4974 .1493
 482.8  482.66   .0096 .4877 .4024 .5407 .4969 .1499
 483.2  483.06   .0103 .4874 .4029 .5358 .4906 .1501
 483.6  483.45   .0114 .4857 .4026 .5273 .4830 .1504
