   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.74708E+00    0.51251E+02  0.50900E-02  0.43436E+00
   0.11868E+03    0.73841E+00    0.51823E+02  0.62028E-02  0.42755E+00
   0.13928E+03    0.72592E+00    0.52625E+02  0.76417E-02  0.42191E+00
   0.16347E+03    0.71294E+00    0.53436E+02  0.94915E-02  0.41411E+00
   0.19186E+03    0.69929E+00    0.54276E+02  0.11780E-01  0.40005E+00
   0.22518E+03    0.68418E+00    0.55168E+02  0.14453E-01  0.37629E+00
   0.26429E+03    0.66735E+00    0.56171E+02  0.17355E-01  0.34082E+00
   0.31018E+03    0.64837E+00    0.57198E+02  0.20223E-01  0.29412E+00
   0.36405E+03    0.62410E+00    0.58868E+02  0.22703E-01  0.24154E+00
   0.42727E+03    0.59814E+00    0.60730E+02  0.24402E-01  0.19679E+00
   0.50147E+03    0.57613E+00    0.62225E+02  0.24972E-01  0.18037E+00
   0.58855E+03    0.54870E+00    0.64558E+02  0.24220E-01  0.19717E+00
   0.69076E+03    0.51901E+00    0.67544E+02  0.22179E-01  0.22532E+00
   0.81072E+03    0.49313E+00    0.70718E+02  0.19117E-01  0.24296E+00
   0.95151E+03    0.47535E+00    0.73595E+02  0.15471E-01  0.24042E+00

   0.21667E+01    0.33586E+00    0.12013E+03  0.27354E-02  0.17386E-01
   0.25430E+01    0.34622E+00    0.11505E+03  0.33890E-02  0.23585E-01
   0.29846E+01    0.36025E+00    0.10996E+03  0.39520E-02  0.30633E-01
   0.35029E+01    0.38197E+00    0.10325E+03  0.43619E-02  0.38367E-01
   0.41112E+01    0.41188E+00    0.95184E+02  0.45836E-02  0.46678E-01
   0.48252E+01    0.43959E+00    0.89220E+02  0.46157E-02  0.55573E-01
   0.56631E+01    0.48408E+00    0.81934E+02  0.44876E-02  0.65234E-01
   0.66466E+01    0.53779E+00    0.72570E+02  0.42488E-02  0.76060E-01
   0.78008E+01    0.57282E+00    0.69124E+02  0.39566E-02  0.88660E-01
   0.91555E+01    0.60744E+00    0.65320E+02  0.36619E-02  0.10381E+00
   0.10745E+02    0.64486E+00    0.61096E+02  0.34002E-02  0.12235E+00
   0.12612E+02    0.66389E+00    0.59595E+02  0.31869E-02  0.14506E+00
   0.14802E+02    0.67993E+00    0.58097E+02  0.30175E-02  0.17250E+00
   0.17372E+02    0.69347E+00    0.56841E+02  0.28741E-02  0.20483E+00
   0.20389E+02    0.70484E+00    0.55830E+02  0.27330E-02  0.24167E+00
   0.23930E+02    0.71567E+00    0.54866E+02  0.25759E-02  0.28190E+00
   0.28085E+02    0.72628E+00    0.53926E+02  0.24008E-02  0.32363E+00
   0.32963E+02    0.73608E+00    0.53054E+02  0.22329E-02  0.36415E+00
   0.38687E+02    0.74225E+00    0.52482E+02  0.21322E-02  0.40017E+00
   0.45405E+02    0.74844E+00    0.51882E+02  0.21797E-02  0.42840E+00
   0.53291E+02    0.75405E+00    0.51231E+02  0.24299E-02  0.44631E+00
   0.62545E+02    0.75309E+00    0.51323E+02  0.28746E-02  0.45319E+00
   0.73407E+02    0.75235E+00    0.51214E+02  0.34734E-02  0.45078E+00
   0.86154E+02    0.75141E+00    0.51087E+02  0.42041E-02  0.44299E+00

   0.11167E+04    0.45936E+00    0.76653E+02  0.11732E-01  0.21774E+00
   0.13107E+04    0.44203E+00    0.80813E+02  0.83198E-02  0.18087E+00
   0.15383E+04    0.42681E+00    0.84978E+02  0.55085E-02  0.13811E+00
   0.18054E+04    0.41084E+00    0.89699E+02  0.33991E-02  0.97086E-01
   0.21190E+04    0.39482E+00    0.94703E+02  0.19516E-02  0.62887E-01
   0.24869E+04    0.37795E+00    0.10030E+03  0.10407E-02  0.37549E-01
   0.29188E+04    0.36203E+00    0.10600E+03  0.51454E-03  0.20668E-01
   0.34257E+04    0.34734E+00    0.11176E+03  0.23547E-03  0.10484E-01
   0.40206E+04    0.33466E+00    0.11753E+03  0.99582E-04  0.48991E-02
   0.47189E+04    0.33522E+00    0.12333E+03  0.38858E-04  0.21078E-02
   0.55383E+04    0.33546E+00    0.12913E+03  0.13971E-04  0.83447E-03
