   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.76985E+00    0.52252E+02  0.48669E-02  0.45726E+00
   0.11868E+03    0.76549E+00    0.52437E+02  0.60750E-02  0.44923E+00
   0.13928E+03    0.75759E+00    0.52855E+02  0.75968E-02  0.44496E+00
   0.16347E+03    0.74925E+00    0.53356E+02  0.94912E-02  0.43949E+00
   0.19186E+03    0.74013E+00    0.54015E+02  0.11794E-01  0.42715E+00
   0.22518E+03    0.72956E+00    0.54891E+02  0.14483E-01  0.40372E+00
   0.26429E+03    0.71745E+00    0.56031E+02  0.17448E-01  0.36726E+00
   0.31018E+03    0.70361E+00    0.57292E+02  0.20459E-01  0.31885E+00
   0.36405E+03    0.68488E+00    0.59209E+02  0.23171E-01  0.26436E+00
   0.42727E+03    0.66447E+00    0.61242E+02  0.25168E-01  0.21713E+00
   0.50147E+03    0.64699E+00    0.62778E+02  0.26062E-01  0.19617E+00
   0.58855E+03    0.62194E+00    0.65013E+02  0.25603E-01  0.20762E+00
   0.69076E+03    0.59125E+00    0.67810E+02  0.23769E-01  0.23280E+00
   0.81072E+03    0.56056E+00    0.70767E+02  0.20789E-01  0.25019E+00
   0.95151E+03    0.53442E+00    0.73467E+02  0.17086E-01  0.24902E+00

   0.21667E+01    0.34436E+00    0.12019E+03  0.25301E-02  0.16673E-01
   0.25430E+01    0.35680E+00    0.11512E+03  0.31330E-02  0.22611E-01
   0.29846E+01    0.37265E+00    0.11006E+03  0.36511E-02  0.29358E-01
   0.35029E+01    0.39575E+00    0.10338E+03  0.40265E-02  0.36764E-01
   0.41112E+01    0.42646E+00    0.95337E+02  0.42266E-02  0.44735E-01
   0.48252E+01    0.45439E+00    0.89405E+02  0.42505E-02  0.53305E-01
   0.56631E+01    0.49861E+00    0.82153E+02  0.41251E-02  0.62701E-01
   0.66466E+01    0.55173E+00    0.72827E+02  0.38970E-02  0.73378E-01
   0.78008E+01    0.58597E+00    0.69427E+02  0.36195E-02  0.86030E-01
   0.91555E+01    0.61982E+00    0.65679E+02  0.33415E-02  0.10155E+00
   0.10745E+02    0.65654E+00    0.61517E+02  0.30979E-02  0.12094E+00
   0.12612E+02    0.67510E+00    0.60100E+02  0.29058E-02  0.14519E+00
   0.14802E+02    0.69085E+00    0.58705E+02  0.27647E-02  0.17505E+00
   0.17372E+02    0.70428E+00    0.57572E+02  0.26614E-02  0.21091E+00
   0.20389E+02    0.71561E+00    0.56707E+02  0.25763E-02  0.25249E+00
   0.23930E+02    0.72641E+00    0.55906E+02  0.24912E-02  0.29859E+00
   0.28085E+02    0.73704E+00    0.55141E+02  0.23968E-02  0.34696E+00
   0.32963E+02    0.74689E+00    0.54446E+02  0.22990E-02  0.39416E+00
   0.38687E+02    0.75319E+00    0.54035E+02  0.22243E-02  0.43593E+00
   0.45405E+02    0.75981E+00    0.53559E+02  0.22219E-02  0.46783E+00
   0.53291E+02    0.76628E+00    0.52967E+02  0.23532E-02  0.48646E+00
   0.62545E+02    0.76683E+00    0.53032E+02  0.26681E-02  0.49084E+00
   0.73407E+02    0.76832E+00    0.52791E+02  0.31877E-02  0.48345E+00
   0.86154E+02    0.77041E+00    0.52425E+02  0.39163E-02  0.47001E+00

   0.11167E+04    0.50767E+00    0.76423E+02  0.13168E-01  0.22812E+00
   0.13107E+04    0.47878E+00    0.80563E+02  0.94968E-02  0.19243E+00
   0.15383E+04    0.45274E+00    0.84763E+02  0.63971E-02  0.14968E+00
   0.18054E+04    0.42777E+00    0.89543E+02  0.40169E-02  0.10745E+00
   0.21190E+04    0.40503E+00    0.94606E+02  0.23467E-02  0.71213E-01
   0.24869E+04    0.38363E+00    0.10025E+03  0.12731E-02  0.43570E-01
   0.29188E+04    0.36494E+00    0.10598E+03  0.64009E-03  0.24597E-01
   0.34257E+04    0.34872E+00    0.11175E+03  0.29775E-03  0.12804E-01
   0.40206E+04    0.33526E+00    0.11753E+03  0.12793E-03  0.61406E-02
   0.47189E+04    0.33546E+00    0.12333E+03  0.50689E-04  0.27106E-02
   0.55383E+04    0.33554E+00    0.12913E+03  0.18497E-04  0.11003E-02
