   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.77259E+00    0.52459E+02  0.70035E-02  0.51725E+00
   0.11868E+03    0.76655E+00    0.52306E+02  0.87852E-02  0.52088E+00
   0.13928E+03    0.75655E+00    0.52474E+02  0.11010E-01  0.52583E+00
   0.16347E+03    0.74562E+00    0.52831E+02  0.13685E-01  0.52276E+00
   0.19186E+03    0.73337E+00    0.53451E+02  0.16775E-01  0.50488E+00
   0.22518E+03    0.71933E+00    0.54379E+02  0.20170E-01  0.46903E+00
   0.26429E+03    0.70378E+00    0.55632E+02  0.23649E-01  0.41601E+00
   0.31018E+03    0.68707E+00    0.57037E+02  0.26874E-01  0.35156E+00
   0.36405E+03    0.66674E+00    0.59087E+02  0.29412E-01  0.28850E+00
   0.42727E+03    0.64637E+00    0.61208E+02  0.30821E-01  0.24709E+00
   0.50147E+03    0.63079E+00    0.62760E+02  0.30757E-01  0.24313E+00
   0.58855E+03    0.60912E+00    0.64940E+02  0.29093E-01  0.26661E+00
   0.69076E+03    0.58265E+00    0.67635E+02  0.25982E-01  0.29211E+00
   0.81072E+03    0.55611E+00    0.70486E+02  0.21836E-01  0.30158E+00
   0.95151E+03    0.53337E+00    0.73109E+02  0.17223E-01  0.28842E+00

   0.21667E+01    0.35163E+00    0.12023E+03  0.30737E-02  0.21113E-01
   0.25430E+01    0.36611E+00    0.11518E+03  0.38021E-02  0.28622E-01
   0.29846E+01    0.38394E+00    0.11015E+03  0.44251E-02  0.37152E-01
   0.35029E+01    0.40877E+00    0.10349E+03  0.48724E-02  0.46519E-01
   0.41112E+01    0.44082E+00    0.95486E+02  0.51048E-02  0.56631E-01
   0.48252E+01    0.46961E+00    0.89597E+02  0.51218E-02  0.67576E-01
   0.56631E+01    0.51423E+00    0.82395E+02  0.49574E-02  0.79712E-01
   0.66466E+01    0.56735E+00    0.73133E+02  0.46697E-02  0.93716E-01
   0.78008E+01    0.60132E+00    0.69808E+02  0.43265E-02  0.11059E+00
   0.91555E+01    0.63479E+00    0.66150E+02  0.39907E-02  0.13158E+00
   0.10745E+02    0.67112E+00    0.62102E+02  0.37101E-02  0.15807E+00
   0.12612E+02    0.68938E+00    0.60818E+02  0.35118E-02  0.19129E+00
   0.14802E+02    0.70489E+00    0.59582E+02  0.34018E-02  0.23207E+00
   0.17372E+02    0.71814E+00    0.58629E+02  0.33686E-02  0.28043E+00
   0.20389E+02    0.72924E+00    0.57958E+02  0.33898E-02  0.33518E+00
   0.23930E+02    0.73966E+00    0.57350E+02  0.34385E-02  0.39363E+00
   0.28085E+02    0.74968E+00    0.56762E+02  0.34907E-02  0.45146E+00
   0.32963E+02    0.75871E+00    0.56196E+02  0.35326E-02  0.50306E+00
   0.38687E+02    0.76395E+00    0.55840E+02  0.35675E-02  0.54245E+00
   0.45405E+02    0.76935E+00    0.55322E+02  0.36244E-02  0.56488E+00
   0.53291E+02    0.77450E+00    0.54574E+02  0.37659E-02  0.56873E+00
   0.62545E+02    0.77369E+00    0.54375E+02  0.40860E-02  0.55718E+00
   0.73407E+02    0.77386E+00    0.53784E+02  0.46868E-02  0.53839E+00
   0.86154E+02    0.77462E+00    0.53021E+02  0.56454E-02  0.52274E+00

   0.11167E+04    0.50887E+00    0.76042E+02  0.12721E-01  0.25459E+00
   0.13107E+04    0.48106E+00    0.80214E+02  0.87816E-02  0.20732E+00
   0.15383E+04    0.45519E+00    0.84480E+02  0.56557E-02  0.15575E+00
   0.18054E+04    0.42985E+00    0.89339E+02  0.33928E-02  0.10792E+00
   0.21190E+04    0.40653E+00    0.94475E+02  0.18926E-02  0.68946E-01
   0.24869E+04    0.38460E+00    0.10017E+03  0.98017E-03  0.40590E-01
   0.29188E+04    0.36549E+00    0.10594E+03  0.47052E-03  0.22007E-01
   0.34257E+04    0.34900E+00    0.11173E+03  0.20902E-03  0.10981E-01
   0.40206E+04    0.33539E+00    0.11752E+03  0.85791E-04  0.50387E-02
   0.47189E+04    0.33551E+00    0.12332E+03  0.32486E-04  0.21248E-02
   0.55383E+04    0.33557E+00    0.12913E+03  0.11333E-04  0.82279E-03
