   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.75759E+00    0.51160E+02  0.14759E-01  0.71738E+00
   0.11868E+03    0.74589E+00    0.51180E+02  0.18371E-01  0.72792E+00
   0.13928E+03    0.72816E+00    0.51600E+02  0.22530E-01  0.72523E+00
   0.16347E+03    0.70725E+00    0.52256E+02  0.27054E-01  0.70091E+00
   0.19186E+03    0.68292E+00    0.53196E+02  0.31650E-01  0.65113E+00
   0.22518E+03    0.65528E+00    0.54435E+02  0.35906E-01  0.57715E+00
   0.26429E+03    0.62593E+00    0.55960E+02  0.39337E-01  0.48699E+00
   0.31018E+03    0.59698E+00    0.57551E+02  0.41456E-01  0.39819E+00
   0.36405E+03    0.56794E+00    0.59648E+02  0.41875E-01  0.33895E+00
   0.42727E+03    0.54428E+00    0.61638E+02  0.40401E-01  0.33319E+00
   0.50147E+03    0.53180E+00    0.62885E+02  0.37098E-01  0.36911E+00
   0.58855E+03    0.51951E+00    0.64644E+02  0.32304E-01  0.41068E+00
   0.69076E+03    0.50724E+00    0.66897E+02  0.26579E-01  0.43061E+00
   0.81072E+03    0.49744E+00    0.69390E+02  0.20592E-01  0.41745E+00
   0.95151E+03    0.49139E+00    0.71822E+02  0.14973E-01  0.37245E+00

   0.21667E+01    0.36806E+00    0.12035E+03  0.55698E-02  0.39994E-01
   0.25430E+01    0.38617E+00    0.11534E+03  0.68929E-02  0.54200E-01
   0.29846E+01    0.40694E+00    0.11035E+03  0.80278E-02  0.70306E-01
   0.35029E+01    0.43360E+00    0.10373E+03  0.88473E-02  0.87948E-01
   0.41112E+01    0.46622E+00    0.95772E+02  0.92819E-02  0.10693E+00
   0.48252E+01    0.49438E+00    0.89923E+02  0.93314E-02  0.12738E+00
   0.56631E+01    0.53737E+00    0.82761E+02  0.90590E-02  0.14992E+00
   0.66466E+01    0.58820E+00    0.73537E+02  0.85716E-02  0.17569E+00
   0.78008E+01    0.61960E+00    0.70252E+02  0.79937E-02  0.20634E+00
   0.91555E+01    0.65055E+00    0.66640E+02  0.74404E-02  0.24375E+00
   0.10745E+02    0.68458E+00    0.62638E+02  0.69978E-02  0.28969E+00
   0.12612E+02    0.70086E+00    0.61400E+02  0.67107E-02  0.34529E+00
   0.14802E+02    0.71465E+00    0.60202E+02  0.65811E-02  0.41042E+00
   0.17372E+02    0.72635E+00    0.59266E+02  0.65752E-02  0.48311E+00
   0.20389E+02    0.73597E+00    0.58576E+02  0.66363E-02  0.55917E+00
   0.23930E+02    0.74486E+00    0.57896E+02  0.67027E-02  0.63228E+00
   0.28085E+02    0.75324E+00    0.57161E+02  0.67277E-02  0.69474E+00
   0.32963E+02    0.76050E+00    0.56370E+02  0.66999E-02  0.73907E+00
   0.38687E+02    0.76390E+00    0.55718E+02  0.66638E-02  0.76030E+00
   0.45405E+02    0.76746E+00    0.54859E+02  0.67364E-02  0.75847E+00
   0.53291E+02    0.77073E+00    0.53769E+02  0.71065E-02  0.74020E+00
   0.62545E+02    0.76796E+00    0.53277E+02  0.79870E-02  0.71778E+00
   0.73407E+02    0.76586E+00    0.52492E+02  0.95315E-02  0.70419E+00
   0.86154E+02    0.76368E+00    0.51661E+02  0.11794E-01  0.70559E+00

   0.11167E+04    0.48143E+00    0.74751E+02  0.10188E-01  0.30553E+00
   0.13107E+04    0.46483E+00    0.79072E+02  0.64711E-02  0.23039E+00
   0.15383E+04    0.44661E+00    0.83579E+02  0.38286E-02  0.15967E+00
   0.18054E+04    0.42588E+00    0.88698E+02  0.21060E-02  0.10170E+00
   0.21190E+04    0.40501E+00    0.94062E+02  0.10755E-02  0.59522E-01
   0.24869E+04    0.38417E+00    0.99929E+02  0.50915E-03  0.32003E-01
   0.29188E+04    0.36546E+00    0.10581E+03  0.22318E-03  0.15803E-01
   0.34257E+04    0.34906E+00    0.11167E+03  0.90480E-04  0.71656E-02
   0.40206E+04    0.33545E+00    0.11749E+03  0.33887E-04  0.29822E-02
   0.47189E+04    0.33555E+00    0.12331E+03  0.11712E-04  0.11389E-02
   0.55383E+04    0.33558E+00    0.12913E+03  0.37310E-05  0.39890E-03
