   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.77290E+00    0.48713E+02  0.79129E-02  0.60923E+00
   0.11868E+03    0.77421E+00    0.49872E+02  0.92645E-02  0.61793E+00
   0.13928E+03    0.77358E+00    0.51166E+02  0.11208E-01  0.61917E+00
   0.16347E+03    0.77434E+00    0.52302E+02  0.13914E-01  0.60795E+00
   0.19186E+03    0.77571E+00    0.53261E+02  0.17374E-01  0.58033E+00
   0.22518E+03    0.77588E+00    0.54090E+02  0.21401E-01  0.53474E+00
   0.26429E+03    0.77317E+00    0.54923E+02  0.25650E-01  0.47333E+00
   0.31018E+03    0.76563E+00    0.55775E+02  0.29650E-01  0.40333E+00
   0.36405E+03    0.74893E+00    0.57360E+02  0.32849E-01  0.33858E+00
   0.42727E+03    0.72581E+00    0.59274E+02  0.34703E-01  0.29832E+00
   0.50147E+03    0.70163E+00    0.60945E+02  0.34803E-01  0.29494E+00
   0.58855E+03    0.66728E+00    0.63526E+02  0.33003E-01  0.31724E+00
   0.69076E+03    0.62648E+00    0.66767E+02  0.29487E-01  0.34040E+00
   0.81072E+03    0.58633E+00    0.70151E+02  0.24748E-01  0.34573E+00
   0.95151E+03    0.55234E+00    0.73177E+02  0.19461E-01  0.32609E+00

   0.21667E+01    0.29755E+00    0.11990E+03  0.58582E-02  0.32626E-01
   0.25430E+01    0.29876E+00    0.11473E+03  0.72522E-02  0.44209E-01
   0.29846E+01    0.30492E+00    0.10955E+03  0.84479E-02  0.57370E-01
   0.35029E+01    0.32094E+00    0.10274E+03  0.93101E-02  0.71785E-01
   0.41112E+01    0.34780E+00    0.94566E+02  0.97634E-02  0.87183E-01
   0.48252E+01    0.37516E+00    0.88489E+02  0.98043E-02  0.10344E+00
   0.56631E+01    0.42160E+00    0.81080E+02  0.94944E-02  0.12065E+00
   0.66466E+01    0.47887E+00    0.71582E+02  0.89385E-02  0.13918E+00
   0.78008E+01    0.51825E+00    0.67987E+02  0.82548E-02  0.15964E+00
   0.91555E+01    0.55736E+00    0.64010E+02  0.75473E-02  0.18279E+00
   0.10745E+02    0.59882E+00    0.59580E+02  0.68856E-02  0.20936E+00
   0.12612E+02    0.62137E+00    0.57835E+02  0.62961E-02  0.23986E+00
   0.14802E+02    0.64042E+00    0.56053E+02  0.57667E-02  0.27438E+00
   0.17372E+02    0.65676E+00    0.54472E+02  0.52613E-02  0.31248E+00
   0.20389E+02    0.67106E+00    0.53105E+02  0.47410E-02  0.35314E+00
   0.23930E+02    0.68528E+00    0.51770E+02  0.41901E-02  0.39483E+00
   0.28085E+02    0.70004E+00    0.50467E+02  0.36462E-02  0.43566E+00
   0.32963E+02    0.71476E+00    0.49270E+02  0.32328E-02  0.47359E+00
   0.38687E+02    0.72650E+00    0.48446E+02  0.31476E-02  0.50679E+00
   0.45405E+02    0.73876E+00    0.47710E+02  0.35084E-02  0.53404E+00
   0.53291E+02    0.75072E+00    0.47067E+02  0.42155E-02  0.55521E+00
   0.62545E+02    0.75629E+00    0.47343E+02  0.50822E-02  0.57147E+00
   0.73407E+02    0.76236E+00    0.47590E+02  0.59818E-02  0.58492E+00
   0.86154E+02    0.76880E+00    0.47964E+02  0.68918E-02  0.59744E+00

   0.11167E+04    0.51966E+00    0.76335E+02  0.14306E-01  0.28404E+00
   0.13107E+04    0.48658E+00    0.80568E+02  0.98129E-02  0.22819E+00
   0.15383E+04    0.45771E+00    0.84793E+02  0.62700E-02  0.16906E+00
   0.18054E+04    0.43087E+00    0.89567E+02  0.37262E-02  0.11550E+00
   0.21190E+04    0.40691E+00    0.94618E+02  0.20565E-02  0.72764E-01
   0.24869E+04    0.38472E+00    0.10025E+03  0.10526E-02  0.42256E-01
   0.29188E+04    0.36553E+00    0.10598E+03  0.49891E-03  0.22610E-01
   0.34257E+04    0.34902E+00    0.11175E+03  0.21868E-03  0.11139E-01
   0.40206E+04    0.33539E+00    0.11753E+03  0.88519E-04  0.50496E-02
   0.47189E+04    0.33552E+00    0.12332E+03  0.33045E-04  0.21044E-02
   0.55383E+04    0.33557E+00    0.12913E+03  0.11362E-04  0.80564E-03
