   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.72383E+00    0.49864E+02  0.11445E-01  0.57866E+00
   0.11868E+03    0.70719E+00    0.50606E+02  0.13912E-01  0.57694E+00
   0.13928E+03    0.68470E+00    0.51623E+02  0.16785E-01  0.56927E+00
   0.16347E+03    0.66005E+00    0.52682E+02  0.20026E-01  0.54962E+00
   0.19186E+03    0.63364E+00    0.53765E+02  0.23494E-01  0.51363E+00
   0.22518E+03    0.60579E+00    0.54860E+02  0.26925E-01  0.45994E+00
   0.26429E+03    0.57788E+00    0.55983E+02  0.29962E-01  0.39198E+00
   0.31018E+03    0.55141E+00    0.56999E+02  0.32198E-01  0.32093E+00
   0.36405E+03    0.52526E+00    0.58494E+02  0.33249E-01  0.26915E+00
   0.42727E+03    0.50438E+00    0.60004E+02  0.32837E-01  0.26203E+00
   0.50147E+03    0.49456E+00    0.60999E+02  0.30874E-01  0.29565E+00
   0.58855E+03    0.48503E+00    0.62772E+02  0.27514E-01  0.33781E+00
   0.69076E+03    0.47609E+00    0.65256E+02  0.23142E-01  0.36192E+00
   0.81072E+03    0.47039E+00    0.68112E+02  0.18303E-01  0.35638E+00
   0.95151E+03    0.46915E+00    0.70930E+02  0.13566E-01  0.32165E+00

   0.21667E+01    0.32419E+00    0.12006E+03  0.58141E-02  0.35467E-01
   0.25430E+01    0.33178E+00    0.11495E+03  0.71995E-02  0.48079E-01
   0.29846E+01    0.34347E+00    0.10983E+03  0.83896E-02  0.62400E-01
   0.35029E+01    0.36351E+00    0.10309E+03  0.92509E-02  0.78083E-01
   0.41112E+01    0.39257E+00    0.94987E+02  0.97087E-02  0.94864E-01
   0.48252E+01    0.42027E+00    0.88989E+02  0.97600E-02  0.11268E+00
   0.56631E+01    0.46546E+00    0.81669E+02  0.94667E-02  0.13177E+00
   0.66466E+01    0.52035E+00    0.72265E+02  0.89340E-02  0.15271E+00
   0.78008E+01    0.55676E+00    0.68776E+02  0.82819E-02  0.17642E+00
   0.91555E+01    0.59280E+00    0.64922E+02  0.76177E-02  0.20397E+00
   0.10745E+02    0.63143E+00    0.60637E+02  0.70154E-02  0.23639E+00
   0.12612E+02    0.65146E+00    0.59063E+02  0.65068E-02  0.27437E+00
   0.14802E+02    0.66827E+00    0.57481E+02  0.60846E-02  0.31790E+00
   0.17372E+02    0.68242E+00    0.56123E+02  0.57148E-02  0.36607E+00
   0.20389E+02    0.69430E+00    0.55002E+02  0.53558E-02  0.41689E+00
   0.23930E+02    0.70563E+00    0.53916E+02  0.49799E-02  0.46733E+00
   0.28085E+02    0.71679E+00    0.52851E+02  0.45964E-02  0.51363E+00
   0.32963E+02    0.72712E+00    0.51854E+02  0.42733E-02  0.55187E+00
   0.38687E+02    0.73366E+00    0.51166E+02  0.41470E-02  0.57890E+00
   0.45405E+02    0.73991E+00    0.50465E+02  0.43796E-02  0.59329E+00
   0.53291E+02    0.74501E+00    0.49734E+02  0.50568E-02  0.59624E+00
   0.62545E+02    0.74267E+00    0.49779E+02  0.61502E-02  0.59164E+00
   0.73407E+02    0.73931E+00    0.49667E+02  0.75937E-02  0.58484E+00
   0.86154E+02    0.73418E+00    0.49592E+02  0.93538E-02  0.58021E+00

   0.11167E+04    0.46429E+00    0.74192E+02  0.93952E-02  0.26628E+00
   0.13107E+04    0.45253E+00    0.78757E+02  0.60658E-02  0.20239E+00
   0.15383E+04    0.43843E+00    0.83419E+02  0.36436E-02  0.14134E+00
   0.18054E+04    0.42086E+00    0.88625E+02  0.20329E-02  0.90705E-01
   0.21190E+04    0.40216E+00    0.94032E+02  0.10520E-02  0.53503E-01
   0.24869E+04    0.38268E+00    0.99917E+02  0.50437E-03  0.29004E-01
   0.29188E+04    0.36474E+00    0.10581E+03  0.22377E-03  0.14447E-01
   0.34257E+04    0.34875E+00    0.11167E+03  0.91774E-04  0.66099E-02
   0.40206E+04    0.33532E+00    0.11749E+03  0.34758E-04  0.27771E-02
   0.47189E+04    0.33550E+00    0.12331E+03  0.12144E-04  0.10710E-02
   0.55383E+04    0.33556E+00    0.12913E+03  0.39101E-05  0.37901E-03
