   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.78716E+00    0.49630E+02  0.59901E-02  0.57434E+00
   0.11868E+03    0.79093E+00    0.50394E+02  0.72358E-02  0.57454E+00
   0.13928E+03    0.79311E+00    0.51338E+02  0.89428E-02  0.57200E+00
   0.16347E+03    0.79707E+00    0.52225E+02  0.11245E-01  0.56210E+00
   0.19186E+03    0.80226E+00    0.53064E+02  0.14179E-01  0.54031E+00
   0.22518E+03    0.80710E+00    0.53904E+02  0.17658E-01  0.50370E+00
   0.26429E+03    0.81002E+00    0.54845E+02  0.21463E-01  0.45217E+00
   0.31018E+03    0.80884E+00    0.55851E+02  0.25240E-01  0.38990E+00
   0.36405E+03    0.79841E+00    0.57583E+02  0.28521E-01  0.32718E+00
   0.42727E+03    0.78036E+00    0.59602E+02  0.30790E-01  0.28114E+00
   0.50147E+03    0.75876E+00    0.61340E+02  0.31599E-01  0.26773E+00
   0.58855E+03    0.72355E+00    0.63958E+02  0.30693E-01  0.28316E+00
   0.69076E+03    0.67825E+00    0.67228E+02  0.28114E-01  0.30501E+00
   0.81072E+03    0.63060E+00    0.70640E+02  0.24207E-01  0.31330E+00
   0.95151E+03    0.58742E+00    0.73686E+02  0.19542E-01  0.29940E+00

   0.21667E+01    0.31964E+00    0.12003E+03  0.45480E-02  0.27256E-01
   0.25430E+01    0.32608E+00    0.11491E+03  0.56343E-02  0.36961E-01
   0.29846E+01    0.33670E+00    0.10978E+03  0.65695E-02  0.47992E-01
   0.35029E+01    0.35591E+00    0.10303E+03  0.72493E-02  0.60086E-01
   0.41112E+01    0.38442E+00    0.94909E+02  0.76152E-02  0.73038E-01
   0.48252E+01    0.41186E+00    0.88893E+02  0.76649E-02  0.86800E-01
   0.56631E+01    0.45706E+00    0.81548E+02  0.74464E-02  0.10155E+00
   0.66466E+01    0.51218E+00    0.72120E+02  0.70416E-02  0.11775E+00
   0.78008E+01    0.54896E+00    0.68602E+02  0.65438E-02  0.13612E+00
   0.91555E+01    0.58544E+00    0.64711E+02  0.60356E-02  0.15755E+00
   0.10745E+02    0.62452E+00    0.60386E+02  0.55731E-02  0.18299E+00
   0.12612E+02    0.64506E+00    0.58760E+02  0.51784E-02  0.21321E+00
   0.14802E+02    0.66243E+00    0.57117E+02  0.48420E-02  0.24860E+00
   0.17372E+02    0.67730E+00    0.55691E+02  0.45327E-02  0.28899E+00
   0.20389E+02    0.69019E+00    0.54493E+02  0.42125E-02  0.33354E+00
   0.23930E+02    0.70291E+00    0.53331E+02  0.38538E-02  0.38063E+00
   0.28085E+02    0.71602E+00    0.52194E+02  0.34566E-02  0.42789E+00
   0.32963E+02    0.72900E+00    0.51141E+02  0.30664E-02  0.47237E+00
   0.38687E+02    0.73906E+00    0.50421E+02  0.27859E-02  0.51092E+00
   0.45405E+02    0.74994E+00    0.49729E+02  0.27499E-02  0.54080E+00
   0.53291E+02    0.76106E+00    0.49052E+02  0.30258E-02  0.56057E+00
   0.62545E+02    0.76652E+00    0.49195E+02  0.35548E-02  0.57077E+00
   0.73407E+02    0.77323E+00    0.49209E+02  0.42388E-02  0.57406E+00
   0.86154E+02    0.78106E+00    0.49262E+02  0.50350E-02  0.57426E+00

   0.11167E+04    0.54533E+00    0.76839E+02  0.14758E-01  0.26450E+00
   0.13107E+04    0.50389E+00    0.81030E+02  0.10405E-01  0.21588E+00
   0.15383E+04    0.46844E+00    0.85182E+02  0.68358E-02  0.16288E+00
   0.18054E+04    0.43697E+00    0.89866E+02  0.41780E-02  0.11367E+00
   0.21190E+04    0.41007E+00    0.94827E+02  0.23716E-02  0.73381E-01
   0.24869E+04    0.38622E+00    0.10038E+03  0.12483E-02  0.43800E-01
   0.29188E+04    0.36617E+00    0.10605E+03  0.60829E-03  0.24150E-01
   0.34257E+04    0.34926E+00    0.11179E+03  0.27401E-03  0.12285E-01
   0.40206E+04    0.33548E+00    0.11754E+03  0.11393E-03  0.57581E-02
   0.47189E+04    0.33554E+00    0.12333E+03  0.43666E-04  0.24831E-02
   0.55383E+04    0.33558E+00    0.12914E+03  0.15408E-04  0.98393E-03
