   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.76520E+00    0.50222E+02  0.11082E-01  0.68571E+00
   0.11868E+03    0.75663E+00    0.50334E+02  0.13693E-01  0.69115E+00
   0.13928E+03    0.74360E+00    0.50871E+02  0.16845E-01  0.69362E+00
   0.16347E+03    0.72946E+00    0.51644E+02  0.20529E-01  0.68243E+00
   0.19186E+03    0.71425E+00    0.52668E+02  0.24665E-01  0.64956E+00
   0.22518E+03    0.69776E+00    0.53931E+02  0.29037E-01  0.59161E+00
   0.26429E+03    0.68049E+00    0.55427E+02  0.33273E-01  0.51176E+00
   0.31018E+03    0.66277E+00    0.56976E+02  0.36870E-01  0.42213E+00
   0.36405E+03    0.64205E+00    0.59096E+02  0.39265E-01  0.34580E+00
   0.42727E+03    0.62191E+00    0.61243E+02  0.39965E-01  0.31138E+00
   0.50147E+03    0.60717E+00    0.62809E+02  0.38683E-01  0.32592E+00
   0.58855E+03    0.58709E+00    0.65002E+02  0.35448E-01  0.36173E+00
   0.69076E+03    0.56300E+00    0.67709E+02  0.30637E-01  0.38784E+00
   0.81072E+03    0.53958E+00    0.70563E+02  0.24889E-01  0.38799E+00
   0.95151E+03    0.52038E+00    0.73179E+02  0.18953E-01  0.35895E+00

   0.21667E+01    0.35470E+00    0.12025E+03  0.50865E-02  0.34611E-01
   0.25430E+01    0.36975E+00    0.11522E+03  0.63014E-02  0.46962E-01
   0.29846E+01    0.38796E+00    0.11018E+03  0.73483E-02  0.61011E-01
   0.35029E+01    0.41290E+00    0.10353E+03  0.81118E-02  0.76449E-01
   0.41112E+01    0.44477E+00    0.95536E+02  0.85283E-02  0.93100E-01
   0.48252E+01    0.47314E+00    0.89648E+02  0.85974E-02  0.11106E+00
   0.56631E+01    0.51714E+00    0.82446E+02  0.83767E-02  0.13082E+00
   0.66466E+01    0.56953E+00    0.73175E+02  0.79632E-02  0.15333E+00
   0.78008E+01    0.60276E+00    0.69839E+02  0.74699E-02  0.17997E+00
   0.91555E+01    0.63552E+00    0.66166E+02  0.70007E-02  0.21242E+00
   0.10745E+02    0.67120E+00    0.62096E+02  0.66319E-02  0.25236E+00
   0.12612E+02    0.68887E+00    0.60775E+02  0.64019E-02  0.30106E+00
   0.14802E+02    0.70385E+00    0.59481E+02  0.63097E-02  0.35892E+00
   0.17372E+02    0.71659E+00    0.58444E+02  0.63214E-02  0.42498E+00
   0.20389E+02    0.72724E+00    0.57653E+02  0.63821E-02  0.49652E+00
   0.23930E+02    0.73723E+00    0.56882E+02  0.64311E-02  0.56893E+00
   0.28085E+02    0.74688E+00    0.56075E+02  0.64180E-02  0.63605E+00
   0.32963E+02    0.75559E+00    0.55241E+02  0.63204E-02  0.69099E+00
   0.38687E+02    0.76062E+00    0.54571E+02  0.61619E-02  0.72776E+00
   0.45405E+02    0.76587E+00    0.53720E+02  0.60295E-02  0.74314E+00
   0.53291E+02    0.77091E+00    0.52654E+02  0.60815E-02  0.73853E+00
   0.62545E+02    0.76985E+00    0.52194E+02  0.65137E-02  0.72069E+00
   0.73407E+02    0.76942E+00    0.51443E+02  0.74736E-02  0.70024E+00
   0.86154E+02    0.76904E+00    0.50657E+02  0.90032E-02  0.68726E+00

   0.11167E+04    0.49941E+00    0.76091E+02  0.13497E-01  0.30648E+00
   0.13107E+04    0.47475E+00    0.80236E+02  0.89708E-02  0.24133E+00
   0.15383E+04    0.45135E+00    0.84480E+02  0.55555E-02  0.17517E+00
   0.18054E+04    0.42774E+00    0.89325E+02  0.32008E-02  0.11714E+00
   0.21190E+04    0.40550E+00    0.94456E+02  0.17134E-02  0.72136E-01
   0.24869E+04    0.38416E+00    0.10015E+03  0.85094E-03  0.40882E-01
   0.29188E+04    0.36533E+00    0.10593E+03  0.39160E-03  0.21312E-01
   0.34257E+04    0.34896E+00    0.11172E+03  0.16677E-03  0.10214E-01
   0.40206E+04    0.33538E+00    0.11752E+03  0.65631E-04  0.44974E-02
   0.47189E+04    0.33552E+00    0.12332E+03  0.23838E-04  0.18185E-02
   0.55383E+04    0.33557E+00    0.12913E+03  0.79801E-05  0.67482E-03
