  37  15
  p[mbar]: 101.11 118.69 139.28 163.46 191.87 225.16 264.30 310.17 364.08 427.27 501.42 588.57 690.72 810.77 951.48
 lat[deg]
   -90.0    53.31  53.21  53.27  53.39  53.69  54.29  55.28  56.55  58.61  60.85  62.59  64.95  67.75  70.62  73.19
   -85.0    53.26  53.13  53.17  53.28  53.57  54.18  55.19  56.49  58.59  60.87  62.64  65.01  67.82  70.69  73.24
   -80.0    53.20  53.04  53.06  53.14  53.43  54.05  55.09  56.43  58.57  60.89  62.70  65.10  67.92  70.78  73.33
   -75.0    53.12  52.94  52.95  53.03  53.32  53.95  55.02  56.38  58.56  60.92  62.76  65.18  68.02  70.89  73.43
   -70.0    52.95  52.82  52.86  52.99  53.33  53.99  55.08  56.45  58.61  60.96  62.79  65.22  68.08  70.97  73.53
   -65.0    52.65  52.64  52.82  53.08  53.52  54.25  55.34  56.67  58.76  61.01  62.76  65.16  68.02  70.95  73.57
   -60.0    52.27  52.42  52.79  53.22  53.80  54.60  55.69  56.95  58.90  61.02  62.67  65.01  67.88  70.87  73.56
   -55.0    51.92  52.23  52.75  53.32  54.01  54.86  55.93  57.11  58.96  60.97  62.54  64.85  67.74  70.78  73.53
   -50.0    51.64  52.06  52.70  53.38  54.12  54.99  56.03  57.14  58.91  60.85  62.38  64.69  67.61  70.69  73.49
   -45.0    51.41  51.92  52.65  53.39  54.16  55.01  56.00  57.05  58.76  60.67  62.18  64.50  67.44  70.56  73.39
   -40.0    51.25  51.83  52.61  53.38  54.14  54.95  55.89  56.88  58.55  60.44  61.95  64.28  67.22  70.34  73.18
   -35.0    51.18  51.80  52.60  53.37  54.11  54.87  55.77  56.73  58.38  60.27  61.78  64.09  67.02  70.11  72.92
   -30.0    51.17  51.80  52.62  53.38  54.10  54.85  55.72  56.67  58.32  60.21  61.71  64.00  66.90  69.95  72.75
   -25.0    51.20  51.84  52.66  53.42  54.13  54.87  55.73  56.68  58.33  60.21  61.70  63.97  66.84  69.87  72.65
   -20.0    51.30  51.94  52.76  53.50  54.21  54.93  55.79  56.73  58.37  60.24  61.71  63.96  66.80  69.81  72.57
   -15.0    51.55  52.19  52.98  53.69  54.36  55.06  55.89  56.81  58.43  60.27  61.71  63.93  66.74  69.73  72.49
   -10.0    51.99  52.59  53.33  53.99  54.60  55.24  56.02  56.90  58.48  60.28  61.68  63.86  66.65  69.64  72.40
    -5.0    52.43  53.00  53.68  54.27  54.82  55.40  56.13  56.96  58.50  60.26  61.63  63.78  66.56  69.55  72.33
     0.0    52.70  53.25  53.90  54.45  54.95  55.49  56.18  56.97  58.47  60.21  61.56  63.71  66.50  69.50  72.30
     5.0    52.69  53.25  53.92  54.47  54.96  55.48  56.15  56.92  58.40  60.13  61.49  63.66  66.47  69.50  72.33
    10.0    52.31  52.94  53.66  54.27  54.80  55.35  56.02  56.78  58.27  60.01  61.40  63.62  66.48  69.57  72.42
    15.0    51.60  52.34  53.17  53.88  54.50  55.09  55.80  56.58  58.08  59.85  61.30  63.59  66.54  69.69  72.58
    20.0    50.68  51.54  52.51  53.35  54.08  54.75  55.50  56.31  57.85  59.67  61.20  63.59  66.64  69.87  72.80
    25.0    49.85  50.79  51.87  52.82  53.64  54.39  55.20  56.05  57.64  59.53  61.14  63.63  66.78  70.09  73.07
    30.0    49.47  50.41  51.51  52.48  53.35  54.15  55.00  55.91  57.55  59.49  61.16  63.72  66.93  70.29  73.30
    35.0    49.53  50.40  51.43  52.37  53.21  54.03  54.92  55.88  57.56  59.55  61.26  63.86  67.09  70.47  73.48
    40.0    49.91  50.64  51.55  52.39  53.18  53.99  54.92  55.93  57.67  59.71  61.45  64.05  67.29  70.65  73.65
    45.0    50.49  51.06  51.81  52.53  53.26  54.05  55.00  56.07  57.88  59.96  61.72  64.31  67.52  70.84  73.80
    50.0    51.08  51.51  52.13  52.76  53.44  54.22  55.21  56.32  58.16  60.25  62.00  64.55  67.71  70.99  73.91
    55.0    51.48  51.82  52.39  52.99  53.67  54.48  55.50  56.63  58.47  60.53  62.23  64.72  67.82  71.05  73.94
    60.0    51.66  51.98  52.54  53.16  53.87  54.72  55.77  56.91  58.75  60.78  62.42  64.85  67.88  71.06  73.90
    65.0    51.75  52.07  52.63  53.25  53.98  54.85  55.92  57.09  58.95  60.98  62.60  64.98  67.94  71.05  73.83
    70.0    51.87  52.20  52.75  53.34  54.03  54.87  55.93  57.12  59.01  61.08  62.71  65.08  67.99  71.02  73.73
    75.0    52.08  52.43  52.95  53.48  54.08  54.85  55.87  57.06  58.97  61.08  62.74  65.10  67.97  70.95  73.61
    80.0    52.32  52.66  53.15  53.61  54.15  54.85  55.83  57.00  58.93  61.05  62.72  65.07  67.92  70.85  73.49
    85.0    52.51  52.84  53.30  53.72  54.20  54.86  55.81  56.97  58.90  61.03  62.69  65.02  67.85  70.77  73.39
    90.0    52.66  52.97  53.40  53.79  54.24  54.88  55.82  56.97  58.90  61.02  62.67  64.98  67.79  70.69  73.31
