   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.78010E+00    0.51568E+02  0.51354E-02  0.49795E+00
   0.11868E+03    0.77851E+00    0.51849E+02  0.62697E-02  0.48956E+00
   0.13928E+03    0.77412E+00    0.52420E+02  0.77223E-02  0.48447E+00
   0.16347E+03    0.77023E+00    0.53100E+02  0.95893E-02  0.47764E+00
   0.19186E+03    0.76646E+00    0.53921E+02  0.11939E-01  0.46327E+00
   0.22518E+03    0.76177E+00    0.54908E+02  0.14768E-01  0.43715E+00
   0.26429E+03    0.75556E+00    0.56094E+02  0.17961E-01  0.39749E+00
   0.31018E+03    0.74685E+00    0.57356E+02  0.21268E-01  0.34568E+00
   0.36405E+03    0.73179E+00    0.59261E+02  0.24311E-01  0.28804E+00
   0.42727E+03    0.71297E+00    0.61303E+02  0.26630E-01  0.23810E+00
   0.50147E+03    0.69484E+00    0.62885E+02  0.27789E-01  0.21471E+00
   0.58855E+03    0.66695E+00    0.65197E+02  0.27497E-01  0.22429E+00
   0.69076E+03    0.63171E+00    0.68070E+02  0.25702E-01  0.24882E+00
   0.81072E+03    0.59524E+00    0.71078E+02  0.22629E-01  0.26622E+00
   0.95151E+03    0.56279E+00    0.73787E+02  0.18721E-01  0.26487E+00

   0.21667E+01    0.34181E+00    0.12017E+03  0.28175E-02  0.18368E-01
   0.25430E+01    0.35371E+00    0.11510E+03  0.34901E-02  0.24921E-01
   0.29846E+01    0.36916E+00    0.11004E+03  0.40691E-02  0.32376E-01
   0.35029E+01    0.39203E+00    0.10334E+03  0.44902E-02  0.40569E-01
   0.41112E+01    0.42273E+00    0.95300E+02  0.47176E-02  0.49400E-01
   0.48252E+01    0.45086E+00    0.89365E+02  0.47502E-02  0.58907E-01
   0.56631E+01    0.49541E+00    0.82112E+02  0.46187E-02  0.69333E-01
   0.66466E+01    0.54894E+00    0.72783E+02  0.43753E-02  0.81173E-01
   0.78008E+01    0.58363E+00    0.69382E+02  0.40801E-02  0.95180E-01
   0.91555E+01    0.61794E+00    0.65633E+02  0.37880E-02  0.11232E+00
   0.10745E+02    0.65505E+00    0.61471E+02  0.35384E-02  0.13366E+00
   0.12612E+02    0.67398E+00    0.60051E+02  0.33502E-02  0.16023E+00
   0.14802E+02    0.69003E+00    0.58651E+02  0.32223E-02  0.19284E+00
   0.17372E+02    0.70373E+00    0.57509E+02  0.31379E-02  0.23180E+00
   0.20389E+02    0.71535E+00    0.56628E+02  0.30723E-02  0.27672E+00
   0.23930E+02    0.72645E+00    0.55801E+02  0.30010E-02  0.32627E+00
   0.28085E+02    0.73749E+00    0.54998E+02  0.29087E-02  0.37795E+00
   0.32963E+02    0.74786E+00    0.54244E+02  0.27974E-02  0.42813E+00
   0.38687E+02    0.75483E+00    0.53757E+02  0.26941E-02  0.47235E+00
   0.45405E+02    0.76231E+00    0.53185E+02  0.26539E-02  0.50607E+00
   0.53291E+02    0.76982E+00    0.52485E+02  0.27496E-02  0.52592E+00
   0.62545E+02    0.77162E+00    0.52444E+02  0.30396E-02  0.53101E+00
   0.73407E+02    0.77462E+00    0.52119E+02  0.35400E-02  0.52401E+00
   0.86154E+02    0.77847E+00    0.51714E+02  0.42387E-02  0.51075E+00

   0.11167E+04    0.52971E+00    0.76714E+02  0.14520E-01  0.24312E+00
   0.13107E+04    0.49502E+00    0.80798E+02  0.10538E-01  0.20583E+00
   0.15383E+04    0.46402E+00    0.84933E+02  0.71420E-02  0.16091E+00
   0.18054E+04    0.43513E+00    0.89655E+02  0.45111E-02  0.11626E+00
   0.21190E+04    0.40952E+00    0.94673E+02  0.26504E-02  0.77648E-01
   0.24869E+04    0.38619E+00    0.10028E+03  0.14456E-02  0.47926E-01
   0.29188E+04    0.36629E+00    0.10600E+03  0.73056E-03  0.27318E-01
   0.34257E+04    0.34938E+00    0.11176E+03  0.34150E-03  0.14366E-01
   0.40206E+04    0.33555E+00    0.11753E+03  0.14741E-03  0.69616E-02
   0.47189E+04    0.33558E+00    0.12333E+03  0.58671E-04  0.31052E-02
   0.55383E+04    0.33559E+00    0.12913E+03  0.21503E-04  0.12734E-02
