   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.73706E+00    0.52630E+02  0.12971E-01  0.68185E+00
   0.11868E+03    0.72122E+00    0.52522E+02  0.16574E-01  0.68626E+00
   0.13928E+03    0.69855E+00    0.52583E+02  0.20784E-01  0.68479E+00
   0.16347E+03    0.67168E+00    0.52720E+02  0.25448E-01  0.66766E+00
   0.19186E+03    0.63997E+00    0.53082E+02  0.30285E-01  0.62811E+00
   0.22518E+03    0.60324E+00    0.53796E+02  0.34885E-01  0.56351E+00
   0.26429E+03    0.56309E+00    0.54948E+02  0.38746E-01  0.47742E+00
   0.31018E+03    0.52222E+00    0.56397E+02  0.41338E-01  0.38389E+00
   0.36405E+03    0.48153E+00    0.58620E+02  0.42213E-01  0.31307E+00
   0.42727E+03    0.44844E+00    0.60973E+02  0.41108E-01  0.30079E+00
   0.50147E+03    0.43087E+00    0.62732E+02  0.38034E-01  0.34074E+00
   0.58855E+03    0.41935E+00    0.65017E+02  0.33312E-01  0.38827E+00
   0.69076E+03    0.41416E+00    0.67687E+02  0.27524E-01  0.41102E+00
   0.81072E+03    0.41674E+00    0.70407E+02  0.21383E-01  0.39799E+00
   0.95151E+03    0.42633E+00    0.72861E+02  0.15574E-01  0.35268E+00

   0.21667E+01    0.34200E+00    0.12017E+03  0.53741E-02  0.35654E-01
   0.25430E+01    0.35390E+00    0.11509E+03  0.66455E-02  0.48287E-01
   0.29846E+01    0.36932E+00    0.11003E+03  0.77305E-02  0.62598E-01
   0.35029E+01    0.39214E+00    0.10333E+03  0.85045E-02  0.78242E-01
   0.41112E+01    0.42277E+00    0.95280E+02  0.88980E-02  0.94995E-01
   0.48252E+01    0.45079E+00    0.89340E+02  0.89076E-02  0.11290E+00
   0.56631E+01    0.49524E+00    0.82077E+02  0.85897E-02  0.13237E+00
   0.66466E+01    0.54868E+00    0.72742E+02  0.80413E-02  0.15428E+00
   0.78008E+01    0.58332E+00    0.69331E+02  0.73739E-02  0.17992E+00
   0.91555E+01    0.61757E+00    0.65571E+02  0.66889E-02  0.21091E+00
   0.10745E+02    0.65464E+00    0.61402E+02  0.60598E-02  0.24886E+00
   0.12612E+02    0.67351E+00    0.59976E+02  0.55244E-02  0.29512E+00
   0.14802E+02    0.68951E+00    0.58575E+02  0.50875E-02  0.35023E+00
   0.17372E+02    0.70306E+00    0.57445E+02  0.47308E-02  0.41355E+00
   0.20389E+02    0.71444E+00    0.56598E+02  0.44287E-02  0.48274E+00
   0.23930E+02    0.72510E+00    0.55836E+02  0.41642E-02  0.55358E+00
   0.28085E+02    0.73533E+00    0.55140E+02  0.39436E-02  0.62012E+00
   0.32963E+02    0.74449E+00    0.54544E+02  0.38089E-02  0.67547E+00
   0.38687E+02    0.74959E+00    0.54262E+02  0.38427E-02  0.71330E+00
   0.45405E+02    0.75435E+00    0.53932E+02  0.41557E-02  0.73000E+00
   0.53291E+02    0.75810E+00    0.53479E+02  0.48556E-02  0.72677E+00
   0.62545E+02    0.75487E+00    0.53644E+02  0.60249E-02  0.71059E+00
   0.73407E+02    0.75123E+00    0.53431E+02  0.77290E-02  0.69239E+00
   0.86154E+02    0.74652E+00    0.52988E+02  0.10028E-01  0.68193E+00

   0.11167E+04    0.43273E+00    0.75653E+02  0.10609E-01  0.28675E+00
   0.13107E+04    0.43106E+00    0.79757E+02  0.67436E-02  0.21433E+00
   0.15383E+04    0.42492E+00    0.84039E+02  0.39932E-02  0.14742E+00
   0.18054E+04    0.41300E+00    0.88973E+02  0.21994E-02  0.93363E-01
   0.21190E+04    0.39794E+00    0.94207E+02  0.11254E-02  0.54442E-01
   0.24869E+04    0.38059E+00    0.99997E+02  0.53428E-03  0.29226E-01
   0.29188E+04    0.36379E+00    0.10584E+03  0.23511E-03  0.14439E-01
   0.34257E+04    0.34834E+00    0.11168E+03  0.95794E-04  0.65622E-02
   0.40206E+04    0.33516E+00    0.11749E+03  0.36099E-04  0.27424E-02
   0.47189E+04    0.33544E+00    0.12331E+03  0.12568E-04  0.10533E-02
   0.55383E+04    0.33555E+00    0.12913E+03  0.40377E-05  0.37163E-03
