   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.79767E+00    0.50179E+02  0.11446E-01  0.69375E+00
   0.11868E+03    0.79962E+00    0.50600E+02  0.14217E-01  0.69712E+00
   0.13928E+03    0.79878E+00    0.51389E+02  0.17529E-01  0.68716E+00
   0.16347E+03    0.79848E+00    0.52326E+02  0.21320E-01  0.65794E+00
   0.19186E+03    0.79834E+00    0.53400E+02  0.25416E-01  0.60843E+00
   0.22518E+03    0.79757E+00    0.54587E+02  0.29505E-01  0.54314E+00
   0.26429E+03    0.79568E+00    0.55868E+02  0.33156E-01  0.47167E+00
   0.31018E+03    0.79165E+00    0.57069E+02  0.35883E-01  0.40701E+00
   0.36405E+03    0.78124E+00    0.58725E+02  0.37228E-01  0.36330E+00
   0.42727E+03    0.76632E+00    0.60344E+02  0.36865E-01  0.35134E+00
   0.50147E+03    0.75034E+00    0.61398E+02  0.34696E-01  0.36926E+00
   0.58855E+03    0.72199E+00    0.63192E+02  0.30905E-01  0.39930E+00
   0.69076E+03    0.68322E+00    0.65685E+02  0.25949E-01  0.41862E+00
   0.81072E+03    0.64045E+00    0.68547E+02  0.20459E-01  0.41127E+00
   0.95151E+03    0.59975E+00    0.71368E+02  0.15098E-01  0.37310E+00

   0.21667E+01    0.35519E+00    0.12026E+03  0.66004E-02  0.44960E-01
   0.25430E+01    0.37029E+00    0.11522E+03  0.81740E-02  0.60962E-01
   0.29846E+01    0.38847E+00    0.11019E+03  0.95279E-02  0.79122E-01
   0.35029E+01    0.41329E+00    0.10354E+03  0.10511E-01  0.99016E-01
   0.41112E+01    0.44496E+00    0.95541E+02  0.11041E-01  0.12036E+00
   0.48252E+01    0.47304E+00    0.89650E+02  0.11116E-01  0.14321E+00
   0.56631E+01    0.51668E+00    0.82441E+02  0.10809E-01  0.16806E+00
   0.66466E+01    0.56868E+00    0.73164E+02  0.10244E-01  0.19592E+00
   0.78008E+01    0.60149E+00    0.69815E+02  0.95606E-02  0.22823E+00
   0.91555E+01    0.63381E+00    0.66124E+02  0.88891E-02  0.26662E+00
   0.10745E+02    0.66904E+00    0.62028E+02  0.83202E-02  0.31251E+00
   0.12612E+02    0.68623E+00    0.60666E+02  0.78950E-02  0.36657E+00
   0.14802E+02    0.70077E+00    0.59313E+02  0.76053E-02  0.42822E+00
   0.17372E+02    0.71314E+00    0.58195E+02  0.74045E-02  0.49512E+00
   0.20389E+02    0.72353E+00    0.57302E+02  0.72264E-02  0.56306E+00
   0.23930E+02    0.73358E+00    0.56403E+02  0.70070E-02  0.62622E+00
   0.28085E+02    0.74367E+00    0.55454E+02  0.67072E-02  0.67808E+00
   0.32963E+02    0.75339E+00    0.54474E+02  0.63319E-02  0.71294E+00
   0.38687E+02    0.76015E+00    0.53685E+02  0.59480E-02  0.72787E+00
   0.45405E+02    0.76801E+00    0.52765E+02  0.56956E-02  0.72447E+00
   0.53291E+02    0.77663E+00    0.51709E+02  0.57711E-02  0.70948E+00
   0.62545E+02    0.78026E+00    0.51353E+02  0.63506E-02  0.69311E+00
   0.73407E+02    0.78577E+00    0.50805E+02  0.75030E-02  0.68446E+00
   0.86154E+02    0.79268E+00    0.50297E+02  0.92092E-02  0.68635E+00

   0.11167E+04    0.55781E+00    0.74617E+02  0.10397E-01  0.31083E+00
   0.13107E+04    0.51482E+00    0.79142E+02  0.66648E-02  0.23738E+00
   0.15383E+04    0.47692E+00    0.83742E+02  0.39688E-02  0.16614E+00
   0.18054E+04    0.44290E+00    0.88870E+02  0.21917E-02  0.10657E+00
   0.21190E+04    0.41383E+00    0.94200E+02  0.11207E-02  0.62663E-01
   0.24869E+04    0.38840E+00    0.10002E+03  0.52995E-03  0.33777E-01
   0.29188E+04    0.36732E+00    0.10586E+03  0.23150E-03  0.16691E-01
   0.34257E+04    0.34982E+00    0.11170E+03  0.93324E-04  0.75597E-02
   0.40206E+04    0.33573E+00    0.11751E+03  0.34684E-04  0.31378E-02
   0.47189E+04    0.33565E+00    0.12332E+03  0.11873E-04  0.11932E-02
   0.55383E+04    0.33561E+00    0.12913E+03  0.37403E-05  0.41557E-03
