  37  15
  p[mbar]: 101.11 118.69 139.28 163.46 191.87 225.16 264.30 310.17 364.08 427.27 501.42 588.57 690.72 810.77 951.48
 lat[deg]
   -90.0   0.7725 0.7671 0.7584 0.7477 0.7342 0.7175 0.6966 0.6729 0.6441 0.6147 0.5923 0.5665 0.5398 0.5167 0.4998
   -85.0   0.7719 0.7665 0.7577 0.7469 0.7335 0.7169 0.6962 0.6727 0.6442 0.6149 0.5926 0.5668 0.5399 0.5166 0.4996
   -80.0   0.7712 0.7657 0.7569 0.7460 0.7327 0.7163 0.6958 0.6726 0.6444 0.6154 0.5931 0.5672 0.5402 0.5167 0.4994
   -75.0   0.7703 0.7647 0.7559 0.7450 0.7318 0.7156 0.6954 0.6727 0.6448 0.6160 0.5939 0.5680 0.5407 0.5169 0.4994
   -70.0   0.7692 0.7636 0.7547 0.7438 0.7308 0.7149 0.6952 0.6729 0.6454 0.6170 0.5950 0.5689 0.5414 0.5174 0.4995
   -65.0   0.7680 0.7624 0.7534 0.7426 0.7299 0.7143 0.6950 0.6732 0.6463 0.6182 0.5963 0.5702 0.5424 0.5180 0.4998
   -60.0   0.7668 0.7611 0.7521 0.7414 0.7289 0.7138 0.6950 0.6739 0.6474 0.6198 0.5980 0.5718 0.5437 0.5189 0.5003
   -55.0   0.7654 0.7598 0.7508 0.7403 0.7282 0.7135 0.6954 0.6748 0.6489 0.6217 0.6000 0.5738 0.5453 0.5201 0.5011
   -50.0   0.7641 0.7586 0.7497 0.7394 0.7277 0.7135 0.6961 0.6761 0.6508 0.6240 0.6024 0.5761 0.5473 0.5217 0.5023
   -45.0   0.7630 0.7575 0.7488 0.7388 0.7276 0.7140 0.6973 0.6780 0.6532 0.6268 0.6053 0.5789 0.5498 0.5237 0.5039
   -40.0   0.7621 0.7569 0.7483 0.7387 0.7280 0.7151 0.6991 0.6804 0.6562 0.6301 0.6087 0.5822 0.5528 0.5262 0.5060
   -35.0   0.7615 0.7566 0.7483 0.7392 0.7291 0.7168 0.7016 0.6834 0.6598 0.6339 0.6127 0.5861 0.5563 0.5293 0.5086
   -30.0   0.7613 0.7567 0.7488 0.7403 0.7308 0.7192 0.7048 0.6871 0.6640 0.6385 0.6173 0.5906 0.5605 0.5330 0.5118
   -25.0   0.7614 0.7573 0.7498 0.7420 0.7331 0.7224 0.7087 0.6917 0.6691 0.6439 0.6228 0.5960 0.5655 0.5374 0.5155
   -20.0   0.7620 0.7583 0.7514 0.7442 0.7361 0.7263 0.7134 0.6971 0.6751 0.6503 0.6293 0.6022 0.5712 0.5425 0.5198
   -15.0   0.7628 0.7597 0.7534 0.7471 0.7398 0.7309 0.7191 0.7036 0.6823 0.6579 0.6369 0.6096 0.5780 0.5483 0.5246
   -10.0   0.7641 0.7616 0.7559 0.7505 0.7442 0.7365 0.7257 0.7112 0.6907 0.6667 0.6458 0.6181 0.5857 0.5550 0.5300
    -5.0   0.7656 0.7637 0.7589 0.7544 0.7492 0.7427 0.7332 0.7199 0.7002 0.6768 0.6560 0.6277 0.5943 0.5622 0.5357
     0.0   0.7674 0.7662 0.7622 0.7587 0.7547 0.7495 0.7413 0.7293 0.7106 0.6877 0.6669 0.6380 0.6033 0.5698 0.5416
     5.0   0.7694 0.7688 0.7656 0.7631 0.7602 0.7563 0.7494 0.7387 0.7210 0.6987 0.6777 0.6481 0.6122 0.5771 0.5472
    10.0   0.7714 0.7713 0.7689 0.7671 0.7653 0.7626 0.7569 0.7474 0.7305 0.7087 0.6877 0.6574 0.6202 0.5836 0.5520
