   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.78565E+00    0.53262E+02  0.46222E-02  0.48194E+00
   0.11868E+03    0.78751E+00    0.53433E+02  0.60044E-02  0.47550E+00
   0.13928E+03    0.78711E+00    0.53732E+02  0.77699E-02  0.47293E+00
   0.16347E+03    0.78731E+00    0.54016E+02  0.99606E-02  0.46763E+00
   0.19186E+03    0.78731E+00    0.54403E+02  0.12584E-01  0.45350E+00
   0.22518E+03    0.78591E+00    0.55009E+02  0.15586E-01  0.42702E+00
   0.26429E+03    0.78260E+00    0.55940E+02  0.18827E-01  0.38763E+00
   0.31018E+03    0.77683E+00    0.57089E+02  0.22053E-01  0.33813E+00
   0.36405E+03    0.76518E+00    0.58981E+02  0.24902E-01  0.28593E+00
   0.42727E+03    0.75044E+00    0.61033E+02  0.26947E-01  0.24423E+00
   0.50147E+03    0.73658E+00    0.62574E+02  0.27796E-01  0.22762E+00
   0.58855E+03    0.71217E+00    0.64770E+02  0.27206E-01  0.23747E+00
   0.69076E+03    0.67846E+00    0.67478E+02  0.25167E-01  0.25750E+00
   0.81072E+03    0.64074E+00    0.70338E+02  0.21932E-01  0.26976E+00
   0.95151E+03    0.60403E+00    0.72975E+02  0.17958E-01  0.26461E+00

   0.21667E+01    0.34084E+00    0.12016E+03  0.27796E-02  0.18323E-01
   0.25430E+01    0.35262E+00    0.11509E+03  0.34390E-02  0.24838E-01
   0.29846E+01    0.36803E+00    0.11002E+03  0.40034E-02  0.32238E-01
   0.35029E+01    0.39097E+00    0.10332E+03  0.44085E-02  0.40356E-01
   0.41112E+01    0.42184E+00    0.95281E+02  0.46186E-02  0.49093E-01
   0.48252E+01    0.45021E+00    0.89346E+02  0.46320E-02  0.58492E-01
   0.56631E+01    0.49505E+00    0.82094E+02  0.44782E-02  0.68808E-01
   0.66466E+01    0.54889E+00    0.72771E+02  0.42073E-02  0.80551E-01
   0.78008E+01    0.58385E+00    0.69378E+02  0.38771E-02  0.94495E-01
   0.91555E+01    0.61837E+00    0.65634E+02  0.35397E-02  0.11163E+00
   0.10745E+02    0.65564E+00    0.61486E+02  0.32326E-02  0.13308E+00
   0.12612E+02    0.67469E+00    0.60080E+02  0.29733E-02  0.15991E+00
   0.14802E+02    0.69082E+00    0.58701E+02  0.27615E-02  0.19298E+00
   0.17372E+02    0.70454E+00    0.57586E+02  0.25835E-02  0.23265E+00
   0.20389E+02    0.71614E+00    0.56744E+02  0.24206E-02  0.27853E+00
   0.23930E+02    0.72717E+00    0.55975E+02  0.22574E-02  0.32918E+00
   0.28085E+02    0.73804E+00    0.55255E+02  0.20893E-02  0.38184E+00
   0.32963E+02    0.74823E+00    0.54621E+02  0.19288E-02  0.43246E+00
   0.38687E+02    0.75499E+00    0.54291E+02  0.18094E-02  0.47604E+00
   0.45405E+02    0.76228E+00    0.53923E+02  0.17851E-02  0.50758E+00
   0.53291E+02    0.76980E+00    0.53463E+02  0.19154E-02  0.52355E+00
   0.62545E+02    0.77194E+00    0.53679E+02  0.22423E-02  0.52359E+00
   0.73407E+02    0.77586E+00    0.53593E+02  0.27861E-02  0.51161E+00
   0.86154E+02    0.78144E+00    0.53357E+02  0.35671E-02  0.49513E+00

   0.11167E+04    0.56437E+00    0.75927E+02  0.13782E-01  0.24076E+00
   0.13107E+04    0.52193E+00    0.80127E+02  0.98930E-02  0.20273E+00
   0.15383E+04    0.48328E+00    0.84424E+02  0.66283E-02  0.15789E+00
   0.18054E+04    0.44782E+00    0.89311E+02  0.41369E-02  0.11369E+00
   0.21190E+04    0.41721E+00    0.94468E+02  0.24005E-02  0.75645E-01
   0.24869E+04    0.39047E+00    0.10017E+03  0.12925E-02  0.46461E-01
   0.29188E+04    0.36847E+00    0.10594E+03  0.64464E-03  0.26313E-01
   0.34257E+04    0.35040E+00    0.11174E+03  0.29727E-03  0.13725E-01
   0.40206E+04    0.33599E+00    0.11752E+03  0.12655E-03  0.65855E-02
   0.47189E+04    0.33576E+00    0.12332E+03  0.49657E-04  0.29036E-02
   0.55383E+04    0.33566E+00    0.12913E+03  0.17936E-04  0.11751E-02
