   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.74156E+00    0.50914E+02  0.61783E-02  0.51775E+00
   0.11868E+03    0.73255E+00    0.51522E+02  0.77350E-02  0.51389E+00
   0.13928E+03    0.71964E+00    0.52290E+02  0.97380E-02  0.51104E+00
   0.16347E+03    0.70584E+00    0.52977E+02  0.12242E-01  0.50464E+00
   0.19186E+03    0.69030E+00    0.53597E+02  0.15224E-01  0.48926E+00
   0.22518E+03    0.67156E+00    0.54208E+02  0.18570E-01  0.46011E+00
   0.26429E+03    0.64865E+00    0.54942E+02  0.22050E-01  0.41423E+00
   0.31018E+03    0.62093E+00    0.55801E+02  0.25329E-01  0.35243E+00
   0.36405E+03    0.58586E+00    0.57485E+02  0.27981E-01  0.28304E+00
   0.42727E+03    0.54854E+00    0.59565E+02  0.29559E-01  0.22703E+00
   0.50147E+03    0.51670E+00    0.61450E+02  0.29707E-01  0.21361E+00
   0.58855E+03    0.48317E+00    0.64250E+02  0.28273E-01  0.24253E+00
   0.69076E+03    0.45252E+00    0.67668E+02  0.25381E-01  0.27928E+00
   0.81072E+03    0.43114E+00    0.71141E+02  0.21424E-01  0.29752E+00
   0.95151E+03    0.42220E+00    0.74153E+02  0.16960E-01  0.28836E+00

   0.21667E+01    0.33337E+00    0.12012E+03  0.35623E-02  0.22408E-01
   0.25430E+01    0.34307E+00    0.11503E+03  0.44138E-02  0.30395E-01
   0.29846E+01    0.35652E+00    0.10994E+03  0.51474E-02  0.39474E-01
   0.35029E+01    0.37777E+00    0.10322E+03  0.56815E-02  0.49433E-01
   0.41112E+01    0.40736E+00    0.95141E+02  0.59706E-02  0.60121E-01
   0.48252E+01    0.43492E+00    0.89167E+02  0.60128E-02  0.71535E-01
   0.56631E+01    0.47942E+00    0.81867E+02  0.58460E-02  0.83884E-01
   0.66466E+01    0.53327E+00    0.72489E+02  0.55348E-02  0.97643E-01
   0.78008E+01    0.56848E+00    0.69027E+02  0.51531E-02  0.11354E+00
   0.91555E+01    0.60333E+00    0.65205E+02  0.47668E-02  0.13248E+00
   0.10745E+02    0.64087E+00    0.60954E+02  0.44216E-02  0.15545E+00
   0.12612E+02    0.66006E+00    0.59424E+02  0.41364E-02  0.18331E+00
   0.14802E+02    0.67615E+00    0.57891E+02  0.39047E-02  0.21661E+00
   0.17372E+02    0.68975E+00    0.56592E+02  0.37020E-02  0.25539E+00
   0.20389E+02    0.70114E+00    0.55534E+02  0.34972E-02  0.29898E+00
   0.23930E+02    0.71198E+00    0.54516E+02  0.32656E-02  0.34589E+00
   0.28085E+02    0.72264E+00    0.53522E+02  0.30028E-02  0.39373E+00
   0.32963E+02    0.73249E+00    0.52596E+02  0.27383E-02  0.43928E+00
   0.38687E+02    0.73863E+00    0.51978E+02  0.25463E-02  0.47886E+00
   0.45405E+02    0.74473E+00    0.51349E+02  0.25341E-02  0.50899E+00
   0.53291E+02    0.75014E+00    0.50688E+02  0.27827E-02  0.52737E+00
   0.62545E+02    0.74887E+00    0.50801E+02  0.32933E-02  0.53392E+00
   0.73407E+02    0.74770E+00    0.50742E+02  0.40264E-02  0.53129E+00
   0.86154E+02    0.74631E+00    0.50684E+02  0.49723E-02  0.52429E+00

   0.11167E+04    0.41746E+00    0.77195E+02  0.12565E-01  0.25470E+00
   0.13107E+04    0.41169E+00    0.81247E+02  0.86965E-02  0.20580E+00
   0.15383E+04    0.40664E+00    0.85273E+02  0.56148E-02  0.15256E+00
   0.18054E+04    0.39853E+00    0.89867E+02  0.33768E-02  0.10397E+00
   0.21190E+04    0.38794E+00    0.94785E+02  0.18889E-02  0.65211E-01
   0.24869E+04    0.37443E+00    0.10033E+03  0.98143E-03  0.37670E-01
   0.29188E+04    0.36037E+00    0.10601E+03  0.47291E-03  0.20047E-01
   0.34257E+04    0.34663E+00    0.11176E+03  0.21102E-03  0.98287E-02
   0.40206E+04    0.33438E+00    0.11753E+03  0.87064E-04  0.44390E-02
   0.47189E+04    0.33512E+00    0.12332E+03  0.33165E-04  0.18462E-02
   0.55383E+04    0.33542E+00    0.12913E+03  0.11648E-04  0.70685E-03
