   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.77737E+00    0.51005E+02  0.16506E-01  0.86959E+00
   0.11868E+03    0.77826E+00    0.51582E+02  0.20600E-01  0.85323E+00
   0.13928E+03    0.77583E+00    0.52199E+02  0.25243E-01  0.81864E+00
   0.16347E+03    0.77304E+00    0.52706E+02  0.30167E-01  0.76441E+00
   0.19186E+03    0.76918E+00    0.53207E+02  0.34945E-01  0.69162E+00
   0.22518E+03    0.76310E+00    0.53805E+02  0.39028E-01  0.60566E+00
   0.26429E+03    0.75444E+00    0.54599E+02  0.41829E-01  0.52022E+00
   0.31018E+03    0.74273E+00    0.55492E+02  0.42854E-01  0.46150E+00
   0.36405E+03    0.72490E+00    0.57049E+02  0.41819E-01  0.45723E+00
   0.42727E+03    0.70427E+00    0.58757E+02  0.38743E-01  0.50261E+00
   0.50147E+03    0.68569E+00    0.60030E+02  0.33969E-01  0.55827E+00
   0.58855E+03    0.65875E+00    0.62104E+02  0.28097E-01  0.58626E+00
   0.69076E+03    0.62542E+00    0.64875E+02  0.21854E-01  0.56802E+00
   0.81072E+03    0.59126E+00    0.67971E+02  0.15934E-01  0.50450E+00
   0.95151E+03    0.56090E+00    0.70967E+02  0.10857E-01  0.41038E+00

   0.21667E+01    0.30763E+00    0.11997E+03  0.13738E-01  0.78736E-01
   0.25430E+01    0.31062E+00    0.11482E+03  0.16973E-01  0.10634E+00
   0.29846E+01    0.31791E+00    0.10966E+03  0.19718E-01  0.13743E+00
   0.35029E+01    0.33419E+00    0.10285E+03  0.21652E-01  0.17112E+00
   0.41112E+01    0.36044E+00    0.94680E+02  0.22592E-01  0.20661E+00
   0.48252E+01    0.38645E+00    0.88598E+02  0.22527E-01  0.24346E+00
   0.56631E+01    0.43109E+00    0.81175E+02  0.21597E-01  0.28170E+00
   0.66466E+01    0.48642E+00    0.71657E+02  0.20044E-01  0.32191E+00
   0.78008E+01    0.52404E+00    0.68036E+02  0.18143E-01  0.36513E+00
   0.91555E+01    0.56179E+00    0.64031E+02  0.16139E-01  0.41254E+00
   0.10745E+02    0.60241E+00    0.59576E+02  0.14205E-01  0.46503E+00
   0.12612E+02    0.62465E+00    0.57818E+02  0.12427E-01  0.52265E+00
   0.14802E+02    0.64381E+00    0.56045E+02  0.10815E-01  0.58414E+00
   0.17372E+02    0.66058E+00    0.54509E+02  0.93374E-02  0.64676E+00
   0.20389E+02    0.67545E+00    0.53242E+02  0.79606E-02  0.70645E+00
   0.23930E+02    0.69016E+00    0.52078E+02  0.66910E-02  0.75849E+00
   0.28085E+02    0.70517E+00    0.51035E+02  0.56096E-02  0.79874E+00
   0.32963E+02    0.71987E+00    0.50191E+02  0.48934E-02  0.82509E+00
   0.38687E+02    0.73128E+00    0.49801E+02  0.47635E-02  0.83874E+00
   0.45405E+02    0.74307E+00    0.49539E+02  0.53143E-02  0.84436E+00
   0.53291E+02    0.75459E+00    0.49349E+02  0.64618E-02  0.84824E+00
   0.62545E+02    0.75998E+00    0.49966E+02  0.81206E-02  0.85492E+00
   0.73407E+02    0.76618E+00    0.50361E+02  0.10301E-01  0.86422E+00
   0.86154E+02    0.77302E+00    0.50629E+02  0.13074E-01  0.87134E+00

   0.11167E+04    0.52937E+00    0.74339E+02  0.68937E-02  0.30584E+00
   0.13107E+04    0.49555E+00    0.78948E+02  0.40681E-02  0.20894E+00
   0.15383E+04    0.46487E+00    0.83606E+02  0.22260E-02  0.13091E+00
   0.18054E+04    0.43594E+00    0.88780E+02  0.11272E-02  0.75229E-01
   0.21190E+04    0.41013E+00    0.94143E+02  0.52724E-03  0.39657E-01
   0.24869E+04    0.38658E+00    0.99989E+02  0.22749E-03  0.19174E-01
   0.29188E+04    0.36650E+00    0.10585E+03  0.90438E-04  0.85014E-02
   0.34257E+04    0.34948E+00    0.11169E+03  0.33090E-04  0.34557E-02
   0.40206E+04    0.33560E+00    0.11750E+03  0.11134E-04  0.12874E-02
   0.47189E+04    0.33560E+00    0.12332E+03  0.34427E-05  0.43941E-03
   0.55383E+04    0.33560E+00    0.12913E+03  0.97757E-06  0.13736E-03
