   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.76009E+00    0.51140E+02  0.59258E-02  0.47201E+00
   0.11868E+03    0.75578E+00    0.51763E+02  0.74583E-02  0.46883E+00
   0.13928E+03    0.74822E+00    0.52561E+02  0.94429E-02  0.46446E+00
   0.16347E+03    0.74046E+00    0.53298E+02  0.11917E-01  0.45399E+00
   0.19186E+03    0.73167E+00    0.53994E+02  0.14832E-01  0.43321E+00
   0.22518E+03    0.72048E+00    0.54708E+02  0.18037E-01  0.39987E+00
   0.26429E+03    0.70619E+00    0.55545E+02  0.21273E-01  0.35443E+00
   0.31018E+03    0.68829E+00    0.56468E+02  0.24189E-01  0.30144E+00
   0.36405E+03    0.66400E+00    0.58112E+02  0.26380E-01  0.25132E+00
   0.42727E+03    0.63760E+00    0.60008E+02  0.27460E-01  0.22053E+00
   0.50147E+03    0.61524E+00    0.61548E+02  0.27162E-01  0.22084E+00
   0.58855E+03    0.58778E+00    0.63889E+02  0.25426E-01  0.24272E+00
   0.69076E+03    0.55796E+00    0.66832E+02  0.22443E-01  0.26466E+00
   0.81072E+03    0.53119E+00    0.69931E+02  0.18622E-01  0.27120E+00
   0.95151E+03    0.51104E+00    0.72748E+02  0.14486E-01  0.25681E+00

   0.21667E+01    0.33901E+00    0.12016E+03  0.36373E-02  0.23256E-01
   0.25430E+01    0.34991E+00    0.11508E+03  0.45063E-02  0.31531E-01
   0.29846E+01    0.36428E+00    0.11000E+03  0.52545E-02  0.40926E-01
   0.35029E+01    0.38604E+00    0.10329E+03  0.57986E-02  0.51212E-01
   0.41112E+01    0.41569E+00    0.95227E+02  0.60917E-02  0.62230E-01
   0.48252E+01    0.44290E+00    0.89264E+02  0.61320E-02  0.73968E-01
   0.56631E+01    0.48672E+00    0.81972E+02  0.59577E-02  0.86643E-01
   0.66466E+01    0.53969E+00    0.72601E+02  0.56347E-02  0.10074E+00
   0.78008E+01    0.57399E+00    0.69145E+02  0.52383E-02  0.11698E+00
   0.91555E+01    0.60798E+00    0.65327E+02  0.48359E-02  0.13629E+00
   0.10745E+02    0.64482E+00    0.61086E+02  0.44742E-02  0.15962E+00
   0.12612E+02    0.66345E+00    0.59566E+02  0.41731E-02  0.18773E+00
   0.14802E+02    0.67923E+00    0.58046E+02  0.39266E-02  0.22103E+00
   0.17372E+02    0.69265E+00    0.56762E+02  0.37113E-02  0.25930E+00
   0.20389E+02    0.70403E+00    0.55721E+02  0.34965E-02  0.30155E+00
   0.23930E+02    0.71497E+00    0.54718E+02  0.32586E-02  0.34589E+00
   0.28085E+02    0.72587E+00    0.53737E+02  0.29934E-02  0.38955E+00
   0.32963E+02    0.73616E+00    0.52821E+02  0.27290E-02  0.42910E+00
   0.38687E+02    0.74298E+00    0.52208E+02  0.25337E-02  0.46101E+00
   0.45405E+02    0.75010E+00    0.51579E+02  0.25049E-02  0.48245E+00
   0.53291E+02    0.75696E+00    0.50916E+02  0.27178E-02  0.49229E+00
   0.62545E+02    0.75763E+00    0.51022E+02  0.31789E-02  0.49195E+00
   0.73407E+02    0.75903E+00    0.50960E+02  0.38589E-02  0.48534E+00
   0.86154E+02    0.76088E+00    0.50902E+02  0.47568E-02  0.47751E+00

   0.11167E+04    0.49092E+00    0.75801E+02  0.10542E-01  0.22387E+00
   0.13107E+04    0.46807E+00    0.80037E+02  0.71628E-02  0.17957E+00
   0.15383E+04    0.44669E+00    0.84338E+02  0.45366E-02  0.13258E+00
   0.18054E+04    0.42483E+00    0.89223E+02  0.26743E-02  0.90122E-01
   0.21190E+04    0.40386E+00    0.94385E+02  0.14651E-02  0.56402E-01
   0.24869E+04    0.38332E+00    0.10011E+03  0.74492E-03  0.32497E-01
   0.29188E+04    0.36494E+00    0.10590E+03  0.35099E-03  0.17232E-01
   0.34257E+04    0.34879E+00    0.11171E+03  0.15304E-03  0.84070E-02
   0.40206E+04    0.33532E+00    0.11751E+03  0.61659E-04  0.37716E-02
   0.47189E+04    0.33549E+00    0.12332E+03  0.22924E-04  0.15551E-02
   0.55383E+04    0.33556E+00    0.12913E+03  0.78539E-05  0.58893E-03
