   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.75650E+00    0.53721E+02  0.74963E-02  0.51301E+00
   0.11868E+03    0.74799E+00    0.53646E+02  0.97495E-02  0.51665E+00
   0.13928E+03    0.73463E+00    0.53676E+02  0.12504E-01  0.52119E+00
   0.16347E+03    0.71882E+00    0.53697E+02  0.15726E-01  0.51750E+00
   0.19186E+03    0.69944E+00    0.53852E+02  0.19302E-01  0.49895E+00
   0.22518E+03    0.67527E+00    0.54280E+02  0.23022E-01  0.46217E+00
   0.26429E+03    0.64647E+00    0.55109E+02  0.26572E-01  0.40742E+00
   0.31018E+03    0.61407E+00    0.56260E+02  0.29553E-01  0.34034E+00
   0.36405E+03    0.57735E+00    0.58268E+02  0.31534E-01  0.27566E+00
   0.42727E+03    0.54267E+00    0.60537E+02  0.32137E-01  0.23858E+00
   0.50147E+03    0.51772E+00    0.62355E+02  0.31143E-01  0.24595E+00
   0.58855E+03    0.49399E+00    0.64816E+02  0.28579E-01  0.27906E+00
   0.69076E+03    0.47355E+00    0.67713E+02  0.24744E-01  0.30692E+00
   0.81072E+03    0.46019E+00    0.70646E+02  0.20147E-01  0.31207E+00
   0.95151E+03    0.45527E+00    0.73242E+02  0.15385E-01  0.29082E+00

   0.21667E+01    0.34491E+00    0.12018E+03  0.33493E-02  0.22580E-01
   0.25430E+01    0.35764E+00    0.11512E+03  0.41404E-02  0.30584E-01
   0.29846E+01    0.37387E+00    0.11006E+03  0.48146E-02  0.39658E-01
   0.35029E+01    0.39739E+00    0.10338E+03  0.52943E-02  0.49591E-01
   0.41112E+01    0.42856E+00    0.95340E+02  0.55360E-02  0.60261E-01
   0.48252E+01    0.45695E+00    0.89416E+02  0.55376E-02  0.71728E-01
   0.56631E+01    0.50159E+00    0.82177E+02  0.53344E-02  0.84315E-01
   0.66466E+01    0.55502E+00    0.72867E+02  0.49867E-02  0.98665E-01
   0.78008E+01    0.58954E+00    0.69488E+02  0.45641E-02  0.11574E+00
   0.91555E+01    0.62362E+00    0.65768E+02  0.41300E-02  0.13674E+00
   0.10745E+02    0.66052E+00    0.61647E+02  0.37308E-02  0.16298E+00
   0.12612E+02    0.67922E+00    0.60274E+02  0.33904E-02  0.19565E+00
   0.14802E+02    0.69506E+00    0.58935E+02  0.31122E-02  0.23555E+00
   0.17372E+02    0.70846E+00    0.57874E+02  0.28852E-02  0.28271E+00
   0.20389E+02    0.71966E+00    0.57100E+02  0.26931E-02  0.33602E+00
   0.23930E+02    0.73015E+00    0.56411E+02  0.25242E-02  0.39294E+00
   0.28085E+02    0.74024E+00    0.55784E+02  0.23797E-02  0.44932E+00
   0.32963E+02    0.74926E+00    0.55250E+02  0.22814E-02  0.49972E+00
   0.38687E+02    0.75443E+00    0.55020E+02  0.22741E-02  0.53824E+00
   0.45405E+02    0.75954E+00    0.54735E+02  0.24207E-02  0.56012E+00
   0.53291E+02    0.76413E+00    0.54328E+02  0.27860E-02  0.56367E+00
   0.62545E+02    0.76241E+00    0.54545E+02  0.34248E-02  0.55205E+00
   0.73407E+02    0.76132E+00    0.54392E+02  0.43866E-02  0.53343E+00
   0.86154E+02    0.76049E+00    0.54019E+02  0.57248E-02  0.51815E+00

   0.11167E+04    0.45008E+00    0.76085E+02  0.10995E-01  0.24858E+00
   0.13107E+04    0.44020E+00    0.80156E+02  0.73394E-02  0.19523E+00
   0.15383E+04    0.42899E+00    0.84356E+02  0.45690E-02  0.14109E+00
   0.18054E+04    0.41437E+00    0.89192E+02  0.26488E-02  0.93894E-01
   0.21190E+04    0.39813E+00    0.94344E+02  0.14281E-02  0.57558E-01
   0.24869E+04    0.38040E+00    0.10007E+03  0.71515E-03  0.32502E-01
   0.29188E+04    0.36357E+00    0.10587E+03  0.33216E-03  0.16903E-01
   0.34257E+04    0.34820E+00    0.11169E+03  0.14289E-03  0.80925E-02
   0.40206E+04    0.33508E+00    0.11750E+03  0.56854E-04  0.35654E-02
   0.47189E+04    0.33541E+00    0.12331E+03  0.20892E-04  0.14447E-02
   0.55383E+04    0.33553E+00    0.12913E+03  0.70803E-05  0.53811E-03
