   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.77682E+00    0.53189E+02  0.55699E-02  0.45515E+00
   0.11868E+03    0.77177E+00    0.52909E+02  0.70461E-02  0.45241E+00
   0.13928E+03    0.76188E+00    0.52789E+02  0.88659E-02  0.45573E+00
   0.16347E+03    0.74937E+00    0.52750E+02  0.11023E-01  0.45779E+00
   0.19186E+03    0.73292E+00    0.52947E+02  0.13494E-01  0.45109E+00
   0.22518E+03    0.71120E+00    0.53525E+02  0.16223E-01  0.43022E+00
   0.26429E+03    0.68427E+00    0.54596E+02  0.19093E-01  0.39226E+00
   0.31018E+03    0.65310E+00    0.56038E+02  0.21892E-01  0.33762E+00
   0.36405E+03    0.61680E+00    0.58341E+02  0.24303E-01  0.27258E+00
   0.42727E+03    0.58148E+00    0.60868E+02  0.25941E-01  0.21364E+00
   0.50147E+03    0.55456E+00    0.62873E+02  0.26448E-01  0.18778E+00
   0.58855E+03    0.52740E+00    0.65440E+02  0.25611E-01  0.20474E+00
   0.69076E+03    0.50219E+00    0.68363E+02  0.23452E-01  0.23680E+00
   0.81072E+03    0.48315E+00    0.71259E+02  0.20238E-01  0.25672E+00
   0.95151E+03    0.47230E+00    0.73769E+02  0.16416E-01  0.25386E+00

   0.21667E+01    0.34893E+00    0.12022E+03  0.23079E-02  0.15650E-01
   0.25430E+01    0.36257E+00    0.11516E+03  0.28550E-02  0.21212E-01
   0.29846E+01    0.37956E+00    0.11011E+03  0.33228E-02  0.27524E-01
   0.35029E+01    0.40359E+00    0.10344E+03  0.36581E-02  0.34449E-01
   0.41112E+01    0.43498E+00    0.95422E+02  0.38314E-02  0.41911E-01
   0.48252E+01    0.46329E+00    0.89513E+02  0.38416E-02  0.49966E-01
   0.56631E+01    0.50762E+00    0.82286E+02  0.37133E-02  0.58868E-01
   0.66466E+01    0.56061E+00    0.72990E+02  0.34892E-02  0.69110E-01
   0.78008E+01    0.59461E+00    0.69627E+02  0.32185E-02  0.81437E-01
   0.91555E+01    0.62821E+00    0.65923E+02  0.29468E-02  0.96813E-01
   0.10745E+02    0.66470E+00    0.61820E+02  0.27084E-02  0.11634E+00
   0.12612E+02    0.68314E+00    0.60476E+02  0.25222E-02  0.14113E+00
   0.14802E+02    0.69887E+00    0.59172E+02  0.23930E-02  0.17209E+00
   0.17372E+02    0.71233E+00    0.58151E+02  0.23145E-02  0.20972E+00
   0.20389E+02    0.72373E+00    0.57419E+02  0.22752E-02  0.25377E+00
   0.23930E+02    0.73457E+00    0.56771E+02  0.22634E-02  0.30292E+00
   0.28085E+02    0.74518E+00    0.56177E+02  0.22722E-02  0.35450E+00
   0.32963E+02    0.75494E+00    0.55658E+02  0.23021E-02  0.40448E+00
   0.38687E+02    0.76105E+00    0.55416E+02  0.23634E-02  0.44777E+00
   0.45405E+02    0.76744E+00    0.55082E+02  0.24786E-02  0.47923E+00
   0.53291E+02    0.77368E+00    0.54578E+02  0.26855E-02  0.49515E+00
   0.62545E+02    0.77405E+00    0.54651E+02  0.30379E-02  0.49506E+00
   0.73407E+02    0.77546E+00    0.54309E+02  0.35995E-02  0.48294E+00
   0.86154E+02    0.77754E+00    0.53715E+02  0.44291E-02  0.46675E+00

   0.11167E+04    0.46165E+00    0.76505E+02  0.12489E-01  0.22914E+00
   0.13107E+04    0.44731E+00    0.80466E+02  0.88969E-02  0.18962E+00
   0.15383E+04    0.43289E+00    0.84566E+02  0.59235E-02  0.14439E+00
   0.18054E+04    0.41623E+00    0.89323E+02  0.36795E-02  0.10139E+00
   0.21190E+04    0.39885E+00    0.94415E+02  0.21286E-02  0.65747E-01
   0.24869E+04    0.38059E+00    0.10011E+03  0.11446E-02  0.39386E-01
   0.29188E+04    0.36357E+00    0.10589E+03  0.57105E-03  0.21795E-01
   0.34257E+04    0.34815E+00    0.11170E+03  0.26382E-03  0.11137E-01
   0.40206E+04    0.33504E+00    0.11750E+03  0.11267E-03  0.52505E-02
   0.47189E+04    0.33539E+00    0.12331E+03  0.44408E-04  0.22821E-02
   0.55383E+04    0.33552E+00    0.12913E+03  0.16129E-04  0.91361E-03
