   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.75936E+00    0.51879E+02  0.86359E-02  0.54148E+00
   0.11868E+03    0.75230E+00    0.52576E+02  0.10373E-01  0.53372E+00
   0.13928E+03    0.74217E+00    0.53578E+02  0.12461E-01  0.51752E+00
   0.16347E+03    0.73299E+00    0.54617E+02  0.14915E-01  0.49100E+00
   0.19186E+03    0.72511E+00    0.55621E+02  0.17660E-01  0.45494E+00
   0.22518E+03    0.71844E+00    0.56503E+02  0.20515E-01  0.41127E+00
   0.26429E+03    0.71285E+00    0.57225E+02  0.23202E-01  0.36249E+00
   0.31018E+03    0.70768E+00    0.57664E+02  0.25373E-01  0.31443E+00
   0.36405E+03    0.69875E+00    0.58469E+02  0.26666E-01  0.28185E+00
   0.42727E+03    0.68792E+00    0.59296E+02  0.26779E-01  0.28478E+00
   0.50147E+03    0.67848E+00    0.59754E+02  0.25556E-01  0.32296E+00
   0.58855E+03    0.65880E+00    0.61225E+02  0.23060E-01  0.36952E+00
   0.69076E+03    0.63020E+00    0.63681E+02  0.19582E-01  0.39680E+00
   0.81072E+03    0.59825E+00    0.66732E+02  0.15584E-01  0.39052E+00
   0.95151E+03    0.56811E+00    0.69876E+02  0.11582E-01  0.35064E+00

   0.21667E+01    0.33428E+00    0.12012E+03  0.55839E-02  0.35854E-01
   0.25430E+01    0.34441E+00    0.11503E+03  0.69063E-02  0.48561E-01
   0.29846E+01    0.35836E+00    0.10994E+03  0.80359E-02  0.62961E-01
   0.35029E+01    0.38018E+00    0.10323E+03  0.88439E-02  0.78701E-01
   0.41112E+01    0.41038E+00    0.95165E+02  0.92584E-02  0.95532E-01
   0.48252E+01    0.43852E+00    0.89204E+02  0.92765E-02  0.11344E+00
   0.56631E+01    0.48355E+00    0.81926E+02  0.89576E-02  0.13275E+00
   0.66466E+01    0.53787E+00    0.72571E+02  0.84028E-02  0.15417E+00
   0.78008E+01    0.57349E+00    0.69140E+02  0.77280E-02  0.17875E+00
   0.91555E+01    0.60870E+00    0.65357E+02  0.70375E-02  0.20774E+00
   0.10745E+02    0.64662E+00    0.61156E+02  0.64055E-02  0.24226E+00
   0.12612E+02    0.66618E+00    0.59691E+02  0.58670E-02  0.28301E+00
   0.14802E+02    0.68271E+00    0.58237E+02  0.54212E-02  0.32982E+00
   0.17372E+02    0.69675E+00    0.57036E+02  0.50424E-02  0.38132E+00
   0.20389E+02    0.70861E+00    0.56097E+02  0.46968E-02  0.43473E+00
   0.23930E+02    0.71993E+00    0.55215E+02  0.43607E-02  0.48599E+00
   0.28085E+02    0.73109E+00    0.54367E+02  0.40376E-02  0.53023E+00
   0.32963E+02    0.74152E+00    0.53584E+02  0.37725E-02  0.56278E+00
   0.38687E+02    0.74834E+00    0.53088E+02  0.36548E-02  0.58055E+00
   0.45405E+02    0.75534E+00    0.52538E+02  0.37895E-02  0.58348E+00
   0.53291E+02    0.76186E+00    0.51897E+02  0.42368E-02  0.57527E+00
   0.62545E+02    0.76195E+00    0.51967E+02  0.49820E-02  0.56251E+00
   0.73407E+02    0.76228E+00    0.51821E+02  0.59757E-02  0.55173E+00
   0.86154E+02    0.76246E+00    0.51677E+02  0.71885E-02  0.54561E+00

   0.11167E+04    0.53555E+00    0.73492E+02  0.80157E-02  0.28739E+00
   0.13107E+04    0.50020E+00    0.78363E+02  0.51531E-02  0.21532E+00
   0.15383E+04    0.46798E+00    0.83240E+02  0.30714E-02  0.14768E+00
   0.18054E+04    0.43783E+00    0.88570E+02  0.16945E-02  0.92800E-01
   0.21190E+04    0.41117E+00    0.94034E+02  0.86426E-03  0.53463E-01
   0.24869E+04    0.38710E+00    0.99936E+02  0.40706E-03  0.28246E-01
   0.29188E+04    0.36674E+00    0.10582E+03  0.17688E-03  0.13688E-01
   0.34257E+04    0.34958E+00    0.11168E+03  0.70849E-04  0.60828E-02
   0.40206E+04    0.33564E+00    0.11750E+03  0.26139E-04  0.24788E-02
   0.47189E+04    0.33561E+00    0.12332E+03  0.88756E-05  0.92597E-03
   0.55383E+04    0.33560E+00    0.12913E+03  0.27716E-05  0.31700E-03
