   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.76222E+00    0.51140E+02  0.66442E-02  0.49585E+00
   0.11868E+03    0.75861E+00    0.51823E+02  0.83371E-02  0.49285E+00
   0.13928E+03    0.75178E+00    0.52677E+02  0.10516E-01  0.48707E+00
   0.16347E+03    0.74464E+00    0.53466E+02  0.13205E-01  0.47334E+00
   0.19186E+03    0.73635E+00    0.54207E+02  0.16328E-01  0.44791E+00
   0.22518E+03    0.72551E+00    0.54971E+02  0.19696E-01  0.40950E+00
   0.26429E+03    0.71152E+00    0.55865E+02  0.23014E-01  0.36004E+00
   0.31018E+03    0.69408E+00    0.56838E+02  0.25898E-01  0.30570E+00
   0.36405E+03    0.67063E+00    0.58506E+02  0.27931E-01  0.25809E+00
   0.42727E+03    0.64549E+00    0.60377E+02  0.28740E-01  0.23278E+00
   0.50147E+03    0.62472E+00    0.61829E+02  0.28095E-01  0.23753E+00
   0.58855E+03    0.59877E+00    0.64029E+02  0.25988E-01  0.26044E+00
   0.69076E+03    0.57001E+00    0.66813E+02  0.22666E-01  0.28117E+00
   0.81072E+03    0.54342E+00    0.69766E+02  0.18579E-01  0.28546E+00
   0.95151E+03    0.52248E+00    0.72485E+02  0.14276E-01  0.26825E+00

   0.21667E+01    0.33571E+00    0.12014E+03  0.40736E-02  0.25855E-01
   0.25430E+01    0.34598E+00    0.11505E+03  0.50459E-02  0.35059E-01
   0.29846E+01    0.35991E+00    0.10996E+03  0.58825E-02  0.45513E-01
   0.35029E+01    0.38151E+00    0.10325E+03  0.64899E-02  0.56967E-01
   0.41112E+01    0.41129E+00    0.95181E+02  0.68160E-02  0.69244E-01
   0.48252E+01    0.43886E+00    0.89215E+02  0.68586E-02  0.82333E-01
   0.56631E+01    0.48323E+00    0.81925E+02  0.66610E-02  0.96467E-01
   0.66466E+01    0.53684E+00    0.72559E+02  0.62968E-02  0.11217E+00
   0.78008E+01    0.57176E+00    0.69106E+02  0.58505E-02  0.13023E+00
   0.91555E+01    0.60630E+00    0.65295E+02  0.53975E-02  0.15164E+00
   0.10745E+02    0.64361E+00    0.61062E+02  0.49898E-02  0.17736E+00
   0.12612E+02    0.66261E+00    0.59548E+02  0.46492E-02  0.20817E+00
   0.14802E+02    0.67861E+00    0.58031E+02  0.43691E-02  0.24439E+00
   0.17372E+02    0.69217E+00    0.56748E+02  0.41229E-02  0.28560E+00
   0.20389E+02    0.70363E+00    0.55702E+02  0.38771E-02  0.33054E+00
   0.23930E+02    0.71464E+00    0.54692E+02  0.36059E-02  0.37696E+00
   0.28085E+02    0.72560E+00    0.53696E+02  0.33071E-02  0.42172E+00
   0.32963E+02    0.73597E+00    0.52761E+02  0.30152E-02  0.46117E+00
   0.38687E+02    0.74291E+00    0.52124E+02  0.28099E-02  0.49170E+00
   0.45405E+02    0.75017E+00    0.51475E+02  0.27994E-02  0.51080E+00
   0.53291E+02    0.75723E+00    0.50796E+02  0.30593E-02  0.51797E+00
   0.62545E+02    0.75821E+00    0.50907E+02  0.35879E-02  0.51548E+00
   0.73407E+02    0.76001E+00    0.50865E+02  0.43505E-02  0.50795E+00
   0.86154E+02    0.76238E+00    0.50848E+02  0.53487E-02  0.50047E+00

   0.11167E+04    0.50074E+00    0.75506E+02  0.10258E-01  0.23223E+00
   0.13107E+04    0.47578E+00    0.79763E+02  0.68792E-02  0.18498E+00
   0.15383E+04    0.45225E+00    0.84118E+02  0.42987E-02  0.13553E+00
   0.18054E+04    0.42850E+00    0.89068E+02  0.24990E-02  0.91345E-01
   0.21190E+04    0.40608E+00    0.94287E+02  0.13497E-02  0.56625E-01
   0.24869E+04    0.38455E+00    0.10005E+03  0.67630E-03  0.32282E-01
   0.29188E+04    0.36557E+00    0.10587E+03  0.31396E-03  0.16921E-01
   0.34257E+04    0.34908E+00    0.11170E+03  0.13485E-03  0.81517E-02
   0.40206E+04    0.33544E+00    0.11750E+03  0.53518E-04  0.36080E-02
   0.47189E+04    0.33554E+00    0.12332E+03  0.19598E-04  0.14665E-02
   0.55383E+04    0.33558E+00    0.12913E+03  0.66133E-05  0.54708E-03
