   15
   p(mbar)        fp             T(K)         sigma_fp     sigma_T
   0.10112E+03    0.77429E+00    0.51887E+02  0.47949E-02  0.49536E+00
   0.11868E+03    0.77248E+00    0.52209E+02  0.59168E-02  0.48686E+00
   0.13928E+03    0.76842E+00    0.52787E+02  0.73898E-02  0.48171E+00
   0.16347E+03    0.76556E+00    0.53431E+02  0.93088E-02  0.47489E+00
   0.19186E+03    0.76371E+00    0.54170E+02  0.11729E-01  0.46084E+00
   0.22518E+03    0.76193E+00    0.55028E+02  0.14631E-01  0.43557E+00
   0.26429E+03    0.75945E+00    0.56051E+02  0.17888E-01  0.39740E+00
   0.31018E+03    0.75491E+00    0.57133E+02  0.21246E-01  0.34750E+00
   0.36405E+03    0.74375E+00    0.58875E+02  0.24327E-01  0.29172E+00
   0.42727E+03    0.72780E+00    0.60806E+02  0.26675E-01  0.24317E+00
   0.50147E+03    0.71081E+00    0.62363E+02  0.27855E-01  0.22040E+00
   0.58855E+03    0.68207E+00    0.64749E+02  0.27573E-01  0.23005E+00
   0.69076E+03    0.64419E+00    0.67789E+02  0.25778E-01  0.25446E+00
   0.81072E+03    0.60400E+00    0.71010E+02  0.22690E-01  0.27135E+00
   0.95151E+03    0.56762E+00    0.73924E+02  0.18757E-01  0.26884E+00

   0.21667E+01    0.34287E+00    0.12018E+03  0.28329E-02  0.18541E-01
   0.25430E+01    0.35497E+00    0.11511E+03  0.35087E-02  0.25151E-01
   0.29846E+01    0.37058E+00    0.11005E+03  0.40902E-02  0.32668E-01
   0.35029E+01    0.39351E+00    0.10336E+03  0.45125E-02  0.40923E-01
   0.41112E+01    0.42419E+00    0.95315E+02  0.47394E-02  0.49813E-01
   0.48252E+01    0.45220E+00    0.89380E+02  0.47698E-02  0.59374E-01
   0.56631E+01    0.49659E+00    0.82125E+02  0.46343E-02  0.69851E-01
   0.66466E+01    0.54991E+00    0.72797E+02  0.43849E-02  0.81739E-01
   0.78008E+01    0.58438E+00    0.69396E+02  0.40819E-02  0.95793E-01
   0.91555E+01    0.61847E+00    0.65645E+02  0.37797E-02  0.11298E+00
   0.10745E+02    0.65537E+00    0.61479E+02  0.35175E-02  0.13437E+00
   0.12612E+02    0.67408E+00    0.60056E+02  0.33136E-02  0.16099E+00
   0.14802E+02    0.68994E+00    0.58654E+02  0.31665E-02  0.19364E+00
   0.17372E+02    0.70346E+00    0.57508E+02  0.30592E-02  0.23262E+00
   0.20389E+02    0.71488E+00    0.56623E+02  0.29674E-02  0.27756E+00
   0.23930E+02    0.72577E+00    0.55793E+02  0.28679E-02  0.32708E+00
   0.28085E+02    0.73649E+00    0.54991E+02  0.27475E-02  0.37868E+00
   0.32963E+02    0.74650E+00    0.54243E+02  0.26109E-02  0.42871E+00
   0.38687E+02    0.75304E+00    0.53768E+02  0.24882E-02  0.47267E+00
   0.45405E+02    0.75996E+00    0.53222E+02  0.24355E-02  0.50601E+00
   0.53291E+02    0.76682E+00    0.52560E+02  0.25223E-02  0.52532E+00
   0.62545E+02    0.76788E+00    0.52571E+02  0.27978E-02  0.52980E+00
   0.73407E+02    0.77008E+00    0.52310E+02  0.32707E-02  0.52217E+00
   0.86154E+02    0.77322E+00    0.51973E+02  0.39319E-02  0.50843E+00

   0.11167E+04    0.53128E+00    0.77001E+02  0.14529E-01  0.24544E+00
   0.13107E+04    0.49439E+00    0.81156E+02  0.10524E-01  0.20645E+00
   0.15383E+04    0.46232E+00    0.85286E+02  0.71140E-02  0.16023E+00
   0.18054E+04    0.43321E+00    0.89951E+02  0.44792E-02  0.11489E+00
   0.21190E+04    0.40790E+00    0.94891E+02  0.26219E-02  0.76154E-01
   0.24869E+04    0.38503E+00    0.10043E+03  0.14241E-02  0.46664E-01
   0.29188E+04    0.36557E+00    0.10608E+03  0.71645E-03  0.26419E-01
   0.34257E+04    0.34898E+00    0.11180E+03  0.33330E-03  0.13808E-01
   0.40206E+04    0.33535E+00    0.11755E+03  0.14315E-03  0.66540E-02
   0.47189E+04    0.33549E+00    0.12334E+03  0.56679E-04  0.29531E-02
   0.55383E+04    0.33556E+00    0.12914E+03  0.20662E-04  0.12054E-02
